PL_Code,Description,Active_Months,Months_With_Demand,Months_Without_Demand,Mean_Monthly_Demand,Demand_Variance,Std_Deviation,CV,CV2,ADI,Intermittency_Pct,Demand_Class
469062580055,RELEASED CATENARY WIRE 65 sqmm,44,4,40,15.1216,3571.164,59.7592,3.9519,0.4784,11.0,90.91,Intermittent
469863050743,RODOMETER,17,7,10,1.0588,5.1838,2.2768,2.1503,1.2037,2.4286,58.82,Lumpy
470200493776,V Belt for LC GATE Motor,24,3,21,1.4583,19.2156,4.3836,3.0059,0.2073,8.0,87.5,Intermittent
470501710375,UPS 1 KVA,9,0,9,0.0,0.0,0.0,,,,100.0,Dead
47200250,TRANSFORMERS 230/110V 1 KVA TO RDSO SPECIFICATION NO.RDSO/SPECN.262/1981 AND TO DRG NO 262/85 CONFOR....,47,8,39,0.8936,6.0537,2.4604,2.7533,0.4331,5.875,82.98,Intermittent
500500680030,HALF SPLIT DWC PIPE,53,6,47,264.6415,791895.6575,889.8852,3.3626,0.3691,8.8333,88.68,Intermittent
501000243442,CT BOX (FRP TYPE),29,4,25,0.8621,7.1946,2.6823,3.1114,0.4272,7.25,86.21,Intermittent
501000263740,GI Pipe 50mm Dia 3.65mm Thick,54,15,39,53.6481,28374.3078,168.4468,3.1398,1.9656,3.6,72.22,Lumpy
501000423936,CAT 6 Cable consisting of each drum/box of 305 Meters,42,1,41,0.0714,0.2143,0.4629,6.4807,0.0,42.0,97.62,Intermittent
501300041401,"OFC patch cord 7 mtrs length (SC-LC,single mode, duplex)",33,1,32,0.303,3.0303,1.7408,5.7446,0.0,33.0,96.97,Intermittent
501400350020,Scanner EPSON V39,11,0,11,0.0,0.0,0.0,,,,100.0,Dead
50232319,MAGNETIC TELEPHONE WITH ELECTRO DYNAMIC TRANDUCERS CONFIRMING TO RDSO SPECN.NO.IRS-TC-36/97.(Amendme....,53,29,24,5.0566,41.0929,6.4104,1.2677,0.4099,1.8276,45.28,Intermittent
502355361120,"Fire Alarm Power supply for Aspiration (AIR Sampling) Type smoke detector Power supply  (24V DC, 5A)....",10,3,7,1.5,10.5,3.2404,2.1602,0.56,3.3333,70.0,Lumpy
502355561004,Digital Handheld Water Quality Meter / Analyzer Measuring TDS Meter,38,4,34,1.1053,24.7454,4.9745,4.5007,1.1814,9.5,89.47,Lumpy
502355770020,Supply and installation of Signal post telephone with facility of paging and talk-back including voi....,53,29,24,5.6604,76.3055,8.7353,1.5432,0.8257,1.8276,45.28,Lumpy
502356050030,CABLE TERMINATION BOX (C.I),40,0,40,0.0,0.0,0.0,,,,100.0,Dead
503523410740,DIGITAL VOICE ANNOUNCIATION UNIT FOR LC GATE,40,14,26,2.525,48.3583,6.954,2.7541,1.9383,2.8571,65.0,Lumpy
503523410891,Friction Clutch Assembly for EOLB LC GATE PTJ MAKE,34,5,29,0.7353,7.352,2.7115,3.6876,1.088,6.8,85.29,Lumpy
50540324,LOW MAINTENANCE LEAD ACID  STATIONARY SECONDARY CELLS  2V/80AH CAPACITY AT  10 HRS RATE OF DISCHARGE....,54,43,11,170.5741,29099.5699,170.586,1.0001,0.578,1.2558,20.37,Erratic
50541523,LOW MAINTENANCE LEAD ACID STATIONARY SECONDARY CELLS 2V /120 AH   TO SPECIFICATION.IRS:S-88/2004 or ....,54,16,38,29.2778,5695.1101,75.466,2.5776,1.2284,3.375,70.37,Lumpy
50550081,LOW MAINTENANCE LEAD ACID STATIONARY SECONDARY CELLS 2V/ 200AH CAPACITY  AT 10 HRS. RATE OF DISCHARG....,54,33,21,75.963,8931.0929,94.5045,1.2441,0.5394,1.6364,38.89,Lumpy
508500010799,"PVC warning tape colour orange, width 250 mm (10) by printing with black letters (Southern Railway S....",20,5,15,0.3417,0.4264,0.653,1.9107,0.1171,4.0,75.0,Intermittent
508500690051,CABLE/PIPE FAULT AND MARKER LOCATOR,36,2,34,0.0556,0.054,0.2323,4.1816,0.0,18.0,94.44,Intermittent
508501090018,LAN Tester,33,1,32,0.0303,0.0303,0.1741,5.7446,0.0,33.0,96.97,Intermittent
508502470029,CABLE / PIPE ROUTE LOCATOR,32,1,31,0.0312,0.0312,0.1768,5.6569,0.0,32.0,96.88,Intermittent
508503310060,Metravi Hand Held Digital Multimeter,37,1,36,0.0811,0.2432,0.4932,6.0828,0.0,37.0,97.3,Intermittent
508503570895,Earth Leakage Detector (12  channel) as per RDSO specification no. RDSO/SPN/256/2002 or latest,17,5,12,0.6471,1.7426,1.3201,2.0401,0.4463,3.4,70.59,Intermittent
509000396559,48 Fibre OFC (Armoured) as per RDSO Spec no. RDSO/SPN/TC/110/2020 (Inspection by RDSO),20,8,12,4846.05,114366553.8395,10694.2299,2.2068,1.2506,2.5,60.0,Lumpy
509000405457,Joint closure conforming to TEC Spec. and splicing of Optic Fibre Cable 48 Fibres,20,4,16,1.7,16.4316,4.0536,2.3845,0.2803,5.0,80.0,Intermittent
509004730016,SHARP MULTIFUNCTION XEROX MACHINE MFM,46,1,45,0.0217,0.0217,0.1474,6.7823,0.0,46.0,97.83,Intermittent
509051280160,Intelligence Addressable Aspiration Type Smoke Detector,32,1,31,0.0312,0.0312,0.1768,5.6569,0.0,32.0,96.88,Intermittent
520504660025,SMALL SIZED VALVE REGULATED LEAD ACID (VRLA) BATTERY (SMF) 12V-84AH CAPACITY CONFIRMING TO JISC: 870....,48,4,44,2.375,99.5585,9.9779,4.2012,0.5235,12.0,91.67,Lumpy
521100810024,E1 Converter (V.21 to E1-Converter) with necessary connected equipment,54,6,48,0.4074,1.6799,1.2961,3.1814,0.2149,9.0,88.89,Intermittent
521102480039,232 - 485 Converter,42,1,41,0.7619,24.381,4.9377,6.4807,0.0,42.0,97.62,Intermittent
521102480040,USB TO 485 converter,42,1,41,0.7619,24.381,4.9377,6.4807,0.0,42.0,97.62,Intermittent
521104340026,External Modems for Auto hut Datalogger for networking of RTU as per RDSO specification no. IRS-S-99....,28,11,17,2.5357,24.4802,4.9477,1.9512,0.8352,2.5455,60.71,Lumpy
521501630045,MULTIFUNCTION XEROX MACHINE MFM,3,1,2,0.6667,1.3333,1.1547,1.7321,0.0,3.0,66.67,Intermittent
522002010024,FUSE ND 20 Amps,51,11,40,29.8039,6037.9608,77.7043,2.6072,0.653,4.6364,78.43,Lumpy
522002180021,TRANSFORMER 400/110V/1KVA as per RDSO Spec IRS.S.72/88 Ammendemnet 1 or latest,51,1,50,0.0196,0.0196,0.14,7.1414,0.0,51.0,98.04,Intermittent
522002180033,TRANSFORMER 400/110V/500VA,51,2,49,0.3137,3.0996,1.7606,5.6118,0.25,25.5,96.08,Intermittent
522004290085,FCOM(Part No. H001M115RI) for MSDAC G39 M/s G.G. Tronics make as per RDSO Spec RDSO/SPN/176/2013 ve....,9,2,7,1.6667,12.5,3.5355,2.1213,0.1111,4.5,77.78,Intermittent
522004290103,MDP(Part No.H001M205R1) for MSDAC G39 M/s G.G. Tronics make as per RDSO Spec RDSO/SPN/176/2013 ver 3....,9,3,6,1.3333,5.75,2.3979,1.7984,0.2917,3.0,66.67,Intermittent
522004290115,MCPU(Part no. H001M209R1) for MSDAC G39 M/s G.G. Tronics make as per RDSO Spec RDSO/SPN/176/2013 ve....,9,1,8,0.5556,2.7778,1.6667,3.0,0.0,9.0,88.89,Intermittent
522004290127,MSC(Part no.H001M221RI) for MSDAC G39 M/s G.G. Tronics make as per RDSO Spec RDSO/SPN/176/2013 ver ....,9,2,7,1.1111,5.1111,2.2608,2.0347,0.04,4.5,77.78,Intermittent
522004290139,MDC(Part no.H001M225) for MSDAC G39 M/s G.G. Tronics make as per RDSO Spec RDSO/SPN/176/2013 ver 3 o....,9,1,8,0.7778,5.4444,2.3333,3.0,0.0,9.0,88.89,Intermittent
522005520025,Complete Communication Material including network switches among other items compatible with existin....,4,0,4,0.0,0.0,0.0,,,,100.0,Dead
525500230316,SOLAR PANEL 12V/50W,47,0,47,0.0,0.0,0.0,,,,100.0,Dead
528100010050,Condenser 1000 MFD 50V,54,18,36,36.5556,6489.7233,80.5588,2.2037,0.9222,3.0,66.67,Lumpy
528100010103,"MPP Film AC Capacitor of 48 Micro farad, 600VAC, 50Hz, +/- 5% Tolerance",44,7,37,3.6364,88.7949,9.4231,2.5914,0.2031,6.2857,84.09,Intermittent
528100030023,"MPP Film AC Capacitor of 36 Micro farad, 600VAC, 50Hz, +/- 5% Tolerance",54,12,42,3.4444,76.5535,8.7495,2.5402,0.6296,4.5,77.78,Lumpy
539800218676,"Sealed maintenance free VRLA battery set of 60 cells, 2V/300 Ah capacity each  (Stackable) in combin....",15,5,10,0.6,0.9714,0.9856,1.6427,0.1728,3.0,66.67,Intermittent
539800218688,"Sealed maintenance free VRLA battery set of 60 cells, 2V/200 Ah capacity each (Stackable) in combina....",15,5,10,1.2,4.3143,2.0771,1.7309,0.2654,3.0,66.67,Intermittent
539800218690,"Sealed maintenance free VRLA battery set of 60 cells, 2V/120 Ah capacity each  (Stackable) in combin....",15,3,12,0.4,0.6857,0.8281,2.0702,0.0,5.0,80.0,Intermittent
539800456678,Back Plane Module for Siemens make MSDAC as per RDSO specn. no. RDSO/SPN/176/2013 VER.3 or latest,15,1,14,0.4,2.4,1.5492,3.873,0.0,15.0,93.33,Intermittent
539800456903,FRAUSCHER make MSDAC Back Plane BP EXB 101-2-16TE-GS01-19957,5,0,5,0.0,0.0,0.0,,,,100.0,Dead
539800639499,LED Torch Light (Flashing Unit),49,4,45,0.6531,6.4396,2.5376,3.8858,0.2891,12.25,91.84,Intermittent
539800699782,METAL 10MM CRIMPING TOOL,42,4,38,0.4762,2.6458,1.6266,3.4158,0.18,10.5,90.48,Intermittent
539801491121,Long reach socket 13mm,42,6,36,0.5952,3.4663,1.8618,3.1278,0.5072,7.0,85.71,Lumpy
539801491133,Long reach socket 10mm,42,3,39,0.3333,1.935,1.391,4.1731,0.2857,14.0,92.86,Intermittent
539801491145,Long reach socket 11mm,42,1,41,0.0476,0.0952,0.3086,6.4807,0.0,42.0,97.62,Intermittent
539801491157,Long reach socket 12mm,42,1,41,0.0476,0.0952,0.3086,6.4807,0.0,42.0,97.62,Intermittent
539801491169,Stanley 1/4 inch Drive Metric Socket Set (37- Pieces) Model-STMT82672-0-12,42,1,41,0.0238,0.0238,0.1543,6.4807,0.0,42.0,97.62,Intermittent
539801568695,Power Supply Module for MSDAC Siemens make as per RDSO Spec No. RDSO/SPN/176/2013 Ver 3.0 or latest,39,5,34,0.1795,0.309,0.5559,3.0972,0.3265,7.8,87.18,Intermittent
539801568713,SIRIUS Card for MSDAC Siemens make as per RDSO Spec No. RDSO/SPN/176/2013,38,5,33,0.3158,0.9787,0.9893,3.1327,0.3889,7.6,86.84,Intermittent
539801568725,BLEA Card for MSDAC Siemens make as per RDSO Spec No. RDSO/SPN/176/2013 Ver 3.0 or latest,38,5,33,0.2368,0.564,0.751,3.1709,0.4198,7.6,86.84,Intermittent
539802239713,25 mm Conduit PVC Pipe as per RDSO /SPN/217/2018 ver - 2 -D1 With accessories,51,10,41,30.5686,11503.8502,107.256,3.5087,1.5627,5.1,80.39,Lumpy
539802616569,19 inch 12U Rack,16,1,15,0.125,0.25,0.5,4.0,0.0,16.0,93.75,Intermittent
539802616703,19 inch 24U Rack,13,1,12,0.0769,0.0769,0.2774,3.6056,0.0,13.0,92.31,Intermittent
539802804118,HDPE PIPE 110MM DIA 5.5 MM THICK,53,21,32,300.0377,387874.9601,622.7961,2.0757,1.0712,2.5238,60.38,Lumpy
539802804167,HDPE PIPE O.D 40MM I.D 33MM,54,17,37,730.5,2258954.2547,1502.9818,2.0575,0.6228,3.1765,68.52,Lumpy
539802831377,STEU Card for MSDAC Siemens make as per RDSO Spec No. RDSO/SPN/176/2013 Ver 3.0 or latest,39,5,34,0.359,1.3414,1.1582,3.2264,0.4286,7.8,87.18,Intermittent
539802851959,APPARUATUS CASE QUARTER SIZE,51,0,51,0.0,0.0,0.0,,,,100.0,Dead
539802852010,Apparatus Case Full GRS (Make 2MM stainless Steel),43,2,41,0.1163,0.2957,0.5438,4.6764,0.04,21.5,95.35,Intermittent
539802862386,HYLUM SHEET 6MM THICKNESS (8ft X 4ft),54,13,41,0.4815,1.2732,1.1284,2.3436,0.5385,4.1538,75.93,Lumpy
539802900879,Fuse Auto changeover system (FACS Main System) as per RDSO/SPN/209/2012 Ver 1.0 or latest type capab....,17,1,16,0.1176,0.2353,0.4851,4.1231,0.0,17.0,94.12,Intermittent
539804082797,COVER MS FOR C.T.BOX,40,0,40,0.0,0.0,0.0,,,,100.0,Dead
539804752183,OFC cable 24 fibre armoured as per RDSO specification no. IRS:TC:55/2006 Rev 1 with amendment no.3 ....,25,8,17,1236.56,9840092.09,3136.8921,2.5368,1.2969,3.125,68.0,Lumpy
539805021573,"24 port Giga Bit layer 2switch, 24 x 10/100/1000 BASE-T PoE ports ? 4 x 1G (minimum) SFP+ ports with....",33,1,32,0.0606,0.1212,0.3482,5.7446,0.0,33.0,96.97,Intermittent
539805046442,CRANK HANDLE GKP MAKE,54,2,52,0.1667,1.1981,1.0946,6.5675,0.6049,27.0,96.3,Lumpy
539805046570,CRANK HANDLE FOR IRS POINT MACHINE,47,17,30,31.0638,22477.7567,149.9258,4.8264,7.6079,2.7647,63.83,Lumpy
539805350052,ELECTRONIC TIMER RELAY 30 SECONDS,52,5,47,2.0577,67.4672,8.2138,3.9918,0.5988,10.4,90.38,Lumpy
539805423687,DATA CABLE FOR TPWS,54,15,39,227.6296,468815.03,684.7007,3.008,1.7445,3.6,72.22,Lumpy
539805423699,DATA TAIL CABLE FOR TPWS,54,5,49,3.5185,136.443,11.6809,3.3198,0.0942,10.8,90.74,Intermittent
539805423857,ACCESSORIES FOR LEU MODULE (PFSK & PIND CABLE) FOR TPWS,40,1,39,0.1,0.4,0.6325,6.3246,0.0,40.0,97.5,Intermittent
539805423912,I/O Cables for TPWS,32,1,31,0.0625,0.125,0.3536,5.6569,0.0,32.0,96.88,Intermittent
539805423924,EMI Filters for TPWS,32,1,31,0.0938,0.2812,0.5303,5.6569,0.0,32.0,96.88,Intermittent
539805714955,LED based stencil type route indicator (2Way) white LED (With Housing) as per the following specific....,24,1,23,0.5833,8.1667,2.8577,4.899,0.0,24.0,95.83,Intermittent
539805721194,Junction Type Route Indicator Unit 2 Way (FRP),4,1,3,1.25,6.25,2.5,2.0,0.0,4.0,75.0,Intermittent
539805734220,Junction Type Route Indicator - 1 way,38,15,23,0.9474,1.889,1.3744,1.4508,0.2037,2.5333,60.53,Intermittent
539805736252,Junction Type Route Indicator Unit 3 Way (FRP),4,1,3,1.25,6.25,2.5,2.0,0.0,4.0,75.0,Intermittent
539805736331,Junction Type Route Indicator Unit 1 Way (FRP),3,0,3,0.0,0.0,0.0,,,,100.0,Dead
539805771483,FRP Shunt Signal unit,3,2,1,1.0,1.0,1.0,1.0,0.1111,1.5,33.33,Intermittent
539805825807,KRONE TOOL,49,1,48,0.0204,0.0204,0.1429,7.0,0.0,49.0,97.96,Intermittent
539805880508,(1) 3 POINT SAFETY NUT-22 Nos (2) SOCKET FOR 3 POINT SAFETY NUT-1 No (3) M20 X 100MM Sq.Hd BOLT-4 No....,16,1,15,0.625,6.25,2.5,4.0,0.0,16.0,93.75,Intermittent
539805880545,Fastener Cover for Switch Extension Bracket LH & RH with M20 X 100 Blot with Castle Nut,14,2,12,17.8571,2134.9011,46.205,2.5875,0.031,7.0,85.71,Intermittent
539806099363,Non-Metallic (FRP) Colour light signal housings for Railway signalling suitable for Two Aspect Compl....,51,11,40,0.7647,3.9435,1.9858,2.5969,0.6417,4.6364,78.43,Lumpy
539806099570,LED SIGNAL CURRENT REGULATOR,48,1,47,0.2083,2.0833,1.4434,6.9282,0.0,48.0,97.92,Intermittent
539809127060,CONTACT ASSEMBLY,31,1,30,2.2581,158.0645,12.5724,5.5678,0.0,31.0,96.77,Intermittent
539809943549,Battery cable 16 Sq.mm Red Cable: 10Mtrs Length Cable with Lugs on both sides and 16 Sq.mm Black Cab....,11,3,8,1.3636,8.0545,2.8381,2.0812,0.3467,3.6667,72.73,Intermittent
539809943550,Battery cable 25 Sq.mm Red Cable: 10Mtrs Length Cable with Lugs on both sides and 25 Sq.mm Black Cab....,11,1,10,1.3636,20.4545,4.5227,3.3166,0.0,11.0,90.91,Intermittent
539810160026,Fit & Forget Lead wire 5 Mtrs 4 mm dia,52,10,42,52.8846,28637.5943,169.2265,3.1999,1.1236,5.2,80.77,Lumpy
539810160051,Fit & Forget Lead wire 6 Mtrs 4 mm dia,41,7,34,65.0,94202.5,306.9243,4.7219,2.8846,5.8571,82.93,Lumpy
539810200024,FIT & FORGET LEAD WIRE 4 MTRS 4 MM DIA,54,12,42,78.8889,40061.0063,200.1525,2.5371,0.6262,4.5,77.78,Lumpy
539810200036,FIT & FORGET LEAD WIRE 3 MTR 4 MM DIA,54,27,27,96.0185,24375.8298,156.1276,1.626,0.7975,2.0,50.0,Lumpy
539810200048,FIT & FORGET LEAD WIRE 1.5 MTR 4 MM DIA,54,16,38,122.3889,115215.7138,339.4344,2.7734,1.5331,3.375,70.37,Lumpy
539810200050,FIT & FORGET BOND WIRE 2 MTRS 4MM DIA,54,23,31,62.4074,10472.5479,102.3355,1.6398,0.55,2.3478,57.41,Lumpy
539810200190,FIT & FORGET BOND WIRE 3 MTRS 4MM DIA,16,7,9,37.5,6185.8667,78.6503,2.0973,1.2417,2.2857,56.25,Lumpy
539810221015,Jacketed wire Rope 3.6 Mtrs 6mm dia,52,9,43,49.5192,21016.9212,144.9721,2.9276,0.628,5.7778,82.69,Lumpy
539810410675,"Diagnostic Tool Kit - 1Leakage clamp meter of reputed make,1 Multimeter of reputed make,1 Android ta....",4,0,4,0.0,0.0,0.0,,,,100.0,Dead
539810611024,LAMP 12V/24W/24W,47,1,46,2.1277,212.766,14.5865,6.8557,0.0,47.0,97.87,Intermittent
539810830056,Trunking and Capping as per Drg no. Proj/SG/MS/55A/2006,28,3,25,457.1429,3658835.9788,1912.8084,4.1843,0.916,9.3333,89.29,Lumpy
539811049986,2 KVA AVR suitable for M/S Amararaja Make IPS conforming to RDSO Spec:No:RDSO/SPN/165/2012 Version 3....,39,5,34,0.2821,0.5762,0.7591,2.6914,0.0331,7.8,87.18,Intermittent
539811050022,SMPS based Integrated Power Supply(IPS) system for LC gate/Auto Hut as per RDSO Specification RDSO/S....,48,16,32,0.7708,1.84,1.3565,1.7597,0.344,3.0,66.67,Intermittent
539811050046,SMPS Based IPS System up to 6 Lines in RE area with 200 AH VRLA Batteries with all accessories,35,1,34,0.0286,0.0286,0.169,5.9161,0.0,35.0,97.14,Intermittent
539811130029,FUSE ND 2 Amps,54,36,18,162.7778,81511.9497,285.503,1.7539,1.6796,1.5,33.33,Lumpy
539811150030,FUSE ND 1 AMPS,51,20,31,117.6471,99166.3529,314.9069,2.6767,2.1468,2.55,60.78,Lumpy
539811180021,"AUDIO FREQUENCY TRACK CIRCUIT END TERMINAL UNIT (Style T1 21) BOMBARDIER MAKE A""FREQUENCY RDSO SPECN....",52,3,49,0.0769,0.1116,0.3341,4.3431,0.125,17.3333,94.23,Intermittent
539811180045,AFTC ABB LMU,43,1,42,0.1395,0.8372,0.915,6.5574,0.0,43.0,97.67,Intermittent
539811180057,AFTC ABB TX SIDE (LMU),43,2,41,0.3953,3.3876,1.8405,4.6555,0.0311,21.5,95.35,Intermittent
539811180069,AFTC ABB TU SIDE (LMU),43,2,41,0.4186,3.7254,1.9301,4.6108,0.0123,21.5,95.35,Intermittent
539811180070,"ABB AFTC Track Coupling Unit E"" Frequency",43,1,42,0.0233,0.0233,0.1525,6.5574,0.0,43.0,97.67,Intermittent
539811180082,"ABB AFTC Track Coupling Unit F"" Frequency",43,1,42,0.0233,0.0233,0.1525,6.5574,0.0,43.0,97.67,Intermittent
539811180094,"ABB AFTC Track Coupling Unit G"" Frequency",43,1,42,0.0233,0.0233,0.1525,6.5574,0.0,43.0,97.67,Intermittent
539811180100,"ABB AFTC Track Coupling Unit H"" Frequency",43,1,42,0.0233,0.0233,0.1525,6.5574,0.0,43.0,97.67,Intermittent
539811190026,"AUDIO FREQUENCY TRACK CIRCUIT END TERMINAL UNIT (Style T1 21) BOMBARDIER MAKE B""FREQUENCY RDSO SPECN....",52,2,50,0.0769,0.19,0.4359,5.6672,0.25,26.0,96.15,Intermittent
539811200020,"AUDIO FREQUENCY TRACK CIRCUIT END TERMINAL UNIT (Style T1 21) BOMBARDIER MAKE C""FREQUENCY, RDSO SPEC....",52,3,49,0.0769,0.1116,0.3341,4.3431,0.125,17.3333,94.23,Intermittent
539811210025,"AUDIO FREQUENCY TRACK CIRCUIT END TERMINAL UNIT (Style T1 21) BOMBARDIER MAKE D""FREQUENCY, RDSO SPEC....",52,3,49,0.0769,0.1116,0.3341,4.3431,0.125,17.3333,94.23,Intermittent
539811230103,RJI End Post Nylon 52Kgs,12,0,12,0.0,0.0,0.0,,,,100.0,Dead
539811230115,RJI End Post Nylon 90R,12,0,12,0.0,0.0,0.0,,,,100.0,Dead
539811281019,"AFTC Lead wire for the use from TU/TCU/ETU to rail connectivity, consist to long lead wire made of 5....",50,14,36,22.2,2719.0204,52.1442,2.3488,0.7939,3.5714,72.0,Lumpy
539811550250,FRP Type Main Signal Unit 3 Aspect,21,5,16,1.4286,9.5571,3.0915,2.164,0.3,4.2,76.19,Intermittent
539811600022,Siemens Shorting Bond 2.5 Mtrs Long,44,1,43,0.2273,2.2727,1.5076,6.6332,0.0,44.0,97.73,Intermittent
539811710022,DTC-24 ALSTOM AFTC MODEM LF CARD,45,4,41,0.2222,0.904,0.9508,4.2786,0.68,11.25,91.11,Lumpy
539812073467,UTP CAT 6 cable 23 AWG as per EIA/TIA-568-C.2 standard,5,0,5,0.0,0.0,0.0,,,,100.0,Dead
539812250020,Siemens Shorting Bond 4.5 Mtrs Long,44,1,43,0.2273,2.2727,1.5076,6.6332,0.0,44.0,97.73,Intermittent
539812290028,USB to OPTO CONVERTOR (24V) DATA LOGGER,27,1,26,0.0741,0.1481,0.3849,5.1962,0.0,27.0,96.3,Intermittent
539812480024,DTC-921 ALSTOM AFTC MODEM HF CARD,45,2,43,0.3333,2.7273,1.6514,4.9543,0.1111,22.5,95.56,Intermittent
539812480036,"TX-RX Module for Digicode DTC 24 AFTC Module, Frequency F1 Alstom Make.",45,3,42,0.0889,0.1283,0.3582,4.0294,0.125,15.0,93.33,Intermittent
539812480048,"TX-RX Module for Digicode DTC 24 AFTC Module, Frequency F6 Alstom Make.",45,2,43,0.0889,0.1737,0.4168,4.6892,0.0,22.5,95.56,Intermittent
539812601022,Mainteners Head Lamp (LED),49,17,32,17.6122,1699.784,41.2284,2.3409,1.2093,2.8824,65.31,Lumpy
539812641044,ANNOUNCIATOR 12 WAY,47,3,44,0.0851,0.123,0.3508,4.1215,0.125,15.6667,93.62,Intermittent
539812690020,INSULATION FOR D BRACKET (Sets) NYLON,54,30,24,45.2778,15058.4308,122.7128,2.7102,3.5607,1.8,44.44,Lumpy
539812721052,Ni - Cad Power Pack for Magneto Telephone,31,2,29,0.9677,25.2989,5.0298,5.1975,0.7511,15.5,93.55,Lumpy
539812840016,CHOKE B TYPE,54,40,14,33.8333,2081.3491,45.6218,1.3484,1.0627,1.35,25.93,Lumpy
539812900049,LED FOR ROAD WARNING RED,49,8,41,1.1429,15.4167,3.9264,3.4356,1.051,6.125,83.67,Lumpy
539812910020,LED SIGNAL ROAD WARNING YELLOW,49,4,45,0.2857,1.5,1.2247,4.2866,0.551,12.25,91.84,Lumpy
