PL_Code,Description,Demand_Pattern,XYZ_Class,Forecast_Method,Forecast_2026_27,Forecast_Jul_2026,Forecast_Aug_2026,Forecast_Sep_2026,Forecast_Oct_2026,Forecast_Nov_2026,Forecast_Dec_2026,Forecast_Jan_2027,Forecast_Feb_2027,Forecast_Mar_2027,Forecast_Apr_2027,Forecast_May_2027,Forecast_Jun_2027,Seasonality_Modeled
462100771569,Copper tape of Size 25mm x 3mm,Lumpy,Z,TSB,797.413,66.4511,66.4511,66.4511,66.4511,66.4511,66.4511,66.4511,66.4511,66.4511,66.4511,66.4511,66.4511,No
464214132778,Splice Plate,Intermittent,Z,SBA,34.2,2.85,2.85,2.85,2.85,2.85,2.85,2.85,2.85,2.85,2.85,2.85,2.85,No
469033852322,Enameled Number Plates,Intermittent,Z,SBA,250.8,20.9,20.9,20.9,20.9,20.9,20.9,20.9,20.9,20.9,20.9,20.9,20.9,No
469041991352,GI Flat of Size 1050X25X3mm to connect all cable armours to earth,Intermittent,Z,SBA,456.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,No
469062580055,RELEASED CATENARY WIRE 65 sqmm,Intermittent,Z,SBA,757.8258,63.1521,63.1521,63.1521,63.1521,63.1521,63.1521,63.1521,63.1521,63.1521,63.1521,63.1521,63.1521,No
469863050743,RODOMETER,Lumpy,Z,TSB,17.3745,1.4479,1.4479,1.4479,1.4479,1.4479,1.4479,1.4479,1.4479,1.4479,1.4479,1.4479,1.4479,No
470200493776,V Belt for LC GATE Motor,Intermittent,Z,SBA,43.89,3.6575,3.6575,3.6575,3.6575,3.6575,3.6575,3.6575,3.6575,3.6575,3.6575,3.6575,3.6575,No
47200250,TRANSFORMERS 230/110V 1 KVA TO RDSO SPECIFICATION NO.RDSO/SPECN.262/1981 AND TO DRG NO 262/85 CONFOR....,Intermittent,Z,SBA,15.32,1.2767,1.2767,1.2767,1.2767,1.2767,1.2767,1.2767,1.2767,1.2767,1.2767,1.2767,1.2767,No
500500680030,HALF SPLIT DWC PIPE,Intermittent,Z,SBA,3954.5943,329.5495,329.5495,329.5495,329.5495,329.5495,329.5495,329.5495,329.5495,329.5495,329.5495,329.5495,329.5495,No
501000243442,CT BOX (FRP TYPE),Intermittent,Z,SBA,35.5043,2.9587,2.9587,2.9587,2.9587,2.9587,2.9587,2.9587,2.9587,2.9587,2.9587,2.9587,2.9587,No
501000263740,GI Pipe 50mm Dia 3.65mm Thick,Lumpy,Z,TSB,344.1746,28.6812,28.6812,28.6812,28.6812,28.6812,28.6812,28.6812,28.6812,28.6812,28.6812,28.6812,28.6812,No
501000423936,CAT 6 Cable consisting of each drum/box of 305 Meters,Intermittent,Z,SBA,34.2,2.85,2.85,2.85,2.85,2.85,2.85,2.85,2.85,2.85,2.85,2.85,2.85,No
501300041401,"OFC patch cord 7 mtrs length (SC-LC,single mode, duplex)",Intermittent,Z,SBA,114.0,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,No
50232319,MAGNETIC TELEPHONE WITH ELECTRO DYNAMIC TRANDUCERS CONFIRMING TO RDSO SPECN.NO.IRS-TC-36/97.(Amendme....,Intermittent,Z,SBA,59.8518,4.9876,4.9876,4.9876,4.9876,4.9876,4.9876,4.9876,4.9876,4.9876,4.9876,4.9876,4.9876,No
502355361120,"Fire Alarm Power supply for Aspiration (AIR Sampling) Type smoke detector Power supply  (24V DC, 5A)....",Lumpy,Z,TSB,24.3357,2.028,2.028,2.028,2.028,2.028,2.028,2.028,2.028,2.028,2.028,2.028,2.028,No
502355561004,Digital Handheld Water Quality Meter / Analyzer Measuring TDS Meter,Lumpy,Z,TSB,11.6418,0.9702,0.9702,0.9702,0.9702,0.9702,0.9702,0.9702,0.9702,0.9702,0.9702,0.9702,0.9702,No
502355770020,Supply and installation of Signal post telephone with facility of paging and talk-back including voi....,Lumpy,Z,TSB,76.453,6.3711,6.3711,6.3711,6.3711,6.3711,6.3711,6.3711,6.3711,6.3711,6.3711,6.3711,6.3711,No
503523410740,DIGITAL VOICE ANNOUNCIATION UNIT FOR LC GATE,Lumpy,Z,TSB,16.7082,1.3924,1.3924,1.3924,1.3924,1.3924,1.3924,1.3924,1.3924,1.3924,1.3924,1.3924,1.3924,No
503523410891,Friction Clutch Assembly for EOLB LC GATE PTJ MAKE,Lumpy,Z,TSB,7.3647,0.6137,0.6137,0.6137,0.6137,0.6137,0.6137,0.6137,0.6137,0.6137,0.6137,0.6137,0.6137,No
50540324,LOW MAINTENANCE LEAD ACID  STATIONARY SECONDARY CELLS  2V/80AH CAPACITY AT  10 HRS RATE OF DISCHARGE....,Erratic,Z,Croston,2466.12,205.51,205.51,205.51,205.51,205.51,205.51,205.51,205.51,205.51,205.51,205.51,205.51,No
50541523,LOW MAINTENANCE LEAD ACID STATIONARY SECONDARY CELLS 2V /120 AH   TO SPECIFICATION.IRS:S-88/2004 or ....,Lumpy,Z,TSB,212.2548,17.6879,17.6879,17.6879,17.6879,17.6879,17.6879,17.6879,17.6879,17.6879,17.6879,17.6879,17.6879,No
50550081,LOW MAINTENANCE LEAD ACID STATIONARY SECONDARY CELLS 2V/ 200AH CAPACITY  AT 10 HRS. RATE OF DISCHARG....,Lumpy,Z,TSB,976.5185,81.3765,81.3765,81.3765,81.3765,81.3765,81.3765,81.3765,81.3765,81.3765,81.3765,81.3765,81.3765,No
508500010799,"PVC warning tape colour orange, width 250 mm (10) by printing with black letters (Southern Railway S....",Intermittent,Z,SBA,5.6274,0.469,0.469,0.469,0.469,0.469,0.469,0.469,0.469,0.469,0.469,0.469,0.469,No
508500690051,CABLE/PIPE FAULT AND MARKER LOCATOR,Intermittent,Z,SBA,10.3636,0.8636,0.8636,0.8636,0.8636,0.8636,0.8636,0.8636,0.8636,0.8636,0.8636,0.8636,0.8636,No
508501090018,LAN Tester,Intermittent,Z,SBA,11.4,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,No
508502470029,CABLE / PIPE ROUTE LOCATOR,Intermittent,Z,SBA,11.4,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,No
508503310060,Metravi Hand Held Digital Multimeter,Intermittent,Z,SBA,34.2,2.85,2.85,2.85,2.85,2.85,2.85,2.85,2.85,2.85,2.85,2.85,2.85,No
508503570895,Earth Leakage Detector (12  channel) as per RDSO specification no. RDSO/SPN/256/2002 or latest,Intermittent,Z,SBA,3.0138,0.2511,0.2511,0.2511,0.2511,0.2511,0.2511,0.2511,0.2511,0.2511,0.2511,0.2511,0.2511,No
509000396559,48 Fibre OFC (Armoured) as per RDSO Spec no. RDSO/SPN/TC/110/2020 (Inspection by RDSO),Lumpy,Z,TSB,60026.5174,5002.2098,5002.2098,5002.2098,5002.2098,5002.2098,5002.2098,5002.2098,5002.2098,5002.2098,5002.2098,5002.2098,5002.2098,No
509000405457,Joint closure conforming to TEC Spec. and splicing of Optic Fibre Cable 48 Fibres,Intermittent,Z,SBA,25.2749,2.1062,2.1062,2.1062,2.1062,2.1062,2.1062,2.1062,2.1062,2.1062,2.1062,2.1062,2.1062,No
509004730016,SHARP MULTIFUNCTION XEROX MACHINE MFM,Intermittent,Z,SBA,11.4,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,No
509051280160,Intelligence Addressable Aspiration Type Smoke Detector,Intermittent,Z,SBA,11.4,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,No
520504660025,SMALL SIZED VALVE REGULATED LEAD ACID (VRLA) BATTERY (SMF) 12V-84AH CAPACITY CONFIRMING TO JISC: 870....,Lumpy,Z,TSB,4.1318,0.3443,0.3443,0.3443,0.3443,0.3443,0.3443,0.3443,0.3443,0.3443,0.3443,0.3443,0.3443,No
521100810024,E1 Converter (V.21 to E1-Converter) with necessary connected equipment,Intermittent,Z,SBA,28.5748,2.3812,2.3812,2.3812,2.3812,2.3812,2.3812,2.3812,2.3812,2.3812,2.3812,2.3812,2.3812,No
521102480039,232 - 485 Converter,Intermittent,Z,SBA,364.8,30.4,30.4,30.4,30.4,30.4,30.4,30.4,30.4,30.4,30.4,30.4,30.4,No
521102480040,USB TO 485 converter,Intermittent,Z,SBA,364.8,30.4,30.4,30.4,30.4,30.4,30.4,30.4,30.4,30.4,30.4,30.4,30.4,No
521104340026,External Modems for Auto hut Datalogger for networking of RTU as per RDSO specification no. IRS-S-99....,Lumpy,Z,TSB,16.938,1.4115,1.4115,1.4115,1.4115,1.4115,1.4115,1.4115,1.4115,1.4115,1.4115,1.4115,1.4115,No
521501630045,MULTIFUNCTION XEROX MACHINE MFM,Intermittent,Z,SBA,22.8,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,No
522002010024,FUSE ND 20 Amps,Lumpy,Z,TSB,85.2935,7.1078,7.1078,7.1078,7.1078,7.1078,7.1078,7.1078,7.1078,7.1078,7.1078,7.1078,7.1078,No
522002180021,TRANSFORMER 400/110V/1KVA as per RDSO Spec IRS.S.72/88 Ammendemnet 1 or latest,Intermittent,Z,SBA,11.4,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,No
522002180033,TRANSFORMER 400/110V/500VA,Intermittent,Z,SBA,15.2,1.2667,1.2667,1.2667,1.2667,1.2667,1.2667,1.2667,1.2667,1.2667,1.2667,1.2667,1.2667,No
522004290085,FCOM(Part No. H001M115RI) for MSDAC G39 M/s G.G. Tronics make as per RDSO Spec RDSO/SPN/176/2013 ve....,Intermittent,Z,SBA,45.125,3.7604,3.7604,3.7604,3.7604,3.7604,3.7604,3.7604,3.7604,3.7604,3.7604,3.7604,3.7604,No
522004290103,MDP(Part No.H001M205R1) for MSDAC G39 M/s G.G. Tronics make as per RDSO Spec RDSO/SPN/176/2013 ver 3....,Intermittent,Z,SBA,27.2894,2.2741,2.2741,2.2741,2.2741,2.2741,2.2741,2.2741,2.2741,2.2741,2.2741,2.2741,2.2741,No
522004290115,MCPU(Part no. H001M209R1) for MSDAC G39 M/s G.G. Tronics make as per RDSO Spec RDSO/SPN/176/2013 ve....,Intermittent,Z,SBA,28.5,2.375,2.375,2.375,2.375,2.375,2.375,2.375,2.375,2.375,2.375,2.375,2.375,No
522004290127,MSC(Part no.H001M221RI) for MSDAC G39 M/s G.G. Tronics make as per RDSO Spec RDSO/SPN/176/2013 ver ....,Intermittent,Z,SBA,26.448,2.204,2.204,2.204,2.204,2.204,2.204,2.204,2.204,2.204,2.204,2.204,2.204,No
522004290139,MDC(Part no.H001M225) for MSDAC G39 M/s G.G. Tronics make as per RDSO Spec RDSO/SPN/176/2013 ver 3 o....,Intermittent,Z,SBA,39.9,3.325,3.325,3.325,3.325,3.325,3.325,3.325,3.325,3.325,3.325,3.325,3.325,No
528100010050,Condenser 1000 MFD 50V,Lumpy,Z,TSB,101.1423,8.4285,8.4285,8.4285,8.4285,8.4285,8.4285,8.4285,8.4285,8.4285,8.4285,8.4285,8.4285,No
528100010103,"MPP Film AC Capacitor of 48 Micro farad, 600VAC, 50Hz, +/- 5% Tolerance",Intermittent,Z,SBA,82.1111,6.8426,6.8426,6.8426,6.8426,6.8426,6.8426,6.8426,6.8426,6.8426,6.8426,6.8426,6.8426,No
528100030023,"MPP Film AC Capacitor of 36 Micro farad, 600VAC, 50Hz, +/- 5% Tolerance",Lumpy,Z,TSB,10.5171,0.8764,0.8764,0.8764,0.8764,0.8764,0.8764,0.8764,0.8764,0.8764,0.8764,0.8764,0.8764,No
539800218676,"Sealed maintenance free VRLA battery set of 60 cells, 2V/300 Ah capacity each  (Stackable) in combin....",Intermittent,Z,SBA,15.0016,1.2501,1.2501,1.2501,1.2501,1.2501,1.2501,1.2501,1.2501,1.2501,1.2501,1.2501,1.2501,No
539800218688,"Sealed maintenance free VRLA battery set of 60 cells, 2V/200 Ah capacity each (Stackable) in combina....",Intermittent,Z,SBA,34.27,2.8558,2.8558,2.8558,2.8558,2.8558,2.8558,2.8558,2.8558,2.8558,2.8558,2.8558,2.8558,No
539800218690,"Sealed maintenance free VRLA battery set of 60 cells, 2V/120 Ah capacity each  (Stackable) in combin....",Intermittent,Z,SBA,12.5967,1.0497,1.0497,1.0497,1.0497,1.0497,1.0497,1.0497,1.0497,1.0497,1.0497,1.0497,1.0497,No
539800456678,Back Plane Module for Siemens make MSDAC as per RDSO specn. no. RDSO/SPN/176/2013 VER.3 or latest,Intermittent,Z,SBA,68.4,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,No
539800639499,LED Torch Light (Flashing Unit),Intermittent,Z,SBA,5.559,0.4633,0.4633,0.4633,0.4633,0.4633,0.4633,0.4633,0.4633,0.4633,0.4633,0.4633,0.4633,No
539800699782,METAL 10MM CRIMPING TOOL,Intermittent,Z,SBA,39.4589,3.2882,3.2882,3.2882,3.2882,3.2882,3.2882,3.2882,3.2882,3.2882,3.2882,3.2882,3.2882,No
539801491121,Long reach socket 13mm,Lumpy,Z,TSB,1.6988,0.1416,0.1416,0.1416,0.1416,0.1416,0.1416,0.1416,0.1416,0.1416,0.1416,0.1416,0.1416,No
539801491133,Long reach socket 10mm,Intermittent,Z,SBA,20.2831,1.6903,1.6903,1.6903,1.6903,1.6903,1.6903,1.6903,1.6903,1.6903,1.6903,1.6903,1.6903,No
539801491145,Long reach socket 11mm,Intermittent,Z,SBA,22.8,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,No
539801491157,Long reach socket 12mm,Intermittent,Z,SBA,22.8,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,No
539801491169,Stanley 1/4 inch Drive Metric Socket Set (37- Pieces) Model-STMT82672-0-12,Intermittent,Z,SBA,11.4,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,No
539801568695,Power Supply Module for MSDAC Siemens make as per RDSO Spec No. RDSO/SPN/176/2013 Ver 3.0 or latest,Intermittent,Z,SBA,4.7172,0.3931,0.3931,0.3931,0.3931,0.3931,0.3931,0.3931,0.3931,0.3931,0.3931,0.3931,0.3931,No
539801568713,SIRIUS Card for MSDAC Siemens make as per RDSO Spec No. RDSO/SPN/176/2013,Intermittent,Z,SBA,10.9657,0.9138,0.9138,0.9138,0.9138,0.9138,0.9138,0.9138,0.9138,0.9138,0.9138,0.9138,0.9138,No
539801568725,BLEA Card for MSDAC Siemens make as per RDSO Spec No. RDSO/SPN/176/2013 Ver 3.0 or latest,Intermittent,Z,SBA,8.5113,0.7093,0.7093,0.7093,0.7093,0.7093,0.7093,0.7093,0.7093,0.7093,0.7093,0.7093,0.7093,No
539802239713,25 mm Conduit PVC Pipe as per RDSO /SPN/217/2018 ver - 2 -D1 With accessories,Lumpy,Z,TSB,651.6892,54.3074,54.3074,54.3074,54.3074,54.3074,54.3074,54.3074,54.3074,54.3074,54.3074,54.3074,54.3074,No
539802616569,19 inch 12U Rack,Intermittent,Z,SBA,22.8,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,No
539802616703,19 inch 24U Rack,Intermittent,Z,SBA,11.4,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,No
539802804118,HDPE PIPE 110MM DIA 5.5 MM THICK,Lumpy,Z,TSB,3515.1353,292.9279,292.9279,292.9279,292.9279,292.9279,292.9279,292.9279,292.9279,292.9279,292.9279,292.9279,292.9279,No
539802804167,HDPE PIPE O.D 40MM I.D 33MM,Lumpy,Z,TSB,13921.7785,1160.1482,1160.1482,1160.1482,1160.1482,1160.1482,1160.1482,1160.1482,1160.1482,1160.1482,1160.1482,1160.1482,1160.1482,No
539802831377,STEU Card for MSDAC Siemens make as per RDSO Spec No. RDSO/SPN/176/2013 Ver 3.0 or latest,Intermittent,Z,SBA,11.628,0.969,0.969,0.969,0.969,0.969,0.969,0.969,0.969,0.969,0.969,0.969,0.969,No
539802852010,Apparatus Case Full GRS (Make 2MM stainless Steel),Intermittent,Z,SBA,33.06,2.755,2.755,2.755,2.755,2.755,2.755,2.755,2.755,2.755,2.755,2.755,2.755,No
539802862386,HYLUM SHEET 6MM THICKNESS (8ft X 4ft),Lumpy,Z,TSB,3.6936,0.3078,0.3078,0.3078,0.3078,0.3078,0.3078,0.3078,0.3078,0.3078,0.3078,0.3078,0.3078,No
539802900879,Fuse Auto changeover system (FACS Main System) as per RDSO/SPN/209/2012 Ver 1.0 or latest type capab....,Intermittent,Z,SBA,22.8,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,No
539804752183,OFC cable 24 fibre armoured as per RDSO specification no. IRS:TC:55/2006 Rev 1 with amendment no.3 ....,Lumpy,Z,TSB,18644.4937,1553.7078,1553.7078,1553.7078,1553.7078,1553.7078,1553.7078,1553.7078,1553.7078,1553.7078,1553.7078,1553.7078,1553.7078,No
539805021573,"24 port Giga Bit layer 2switch, 24 x 10/100/1000 BASE-T PoE ports ? 4 x 1G (minimum) SFP+ ports with....",Intermittent,Z,SBA,22.8,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,No
539805046442,CRANK HANDLE GKP MAKE,Lumpy,Z,TSB,0.8955,0.0746,0.0746,0.0746,0.0746,0.0746,0.0746,0.0746,0.0746,0.0746,0.0746,0.0746,0.0746,No
539805046570,CRANK HANDLE FOR IRS POINT MACHINE,Lumpy,Z,TSB,241.2479,20.104,20.104,20.104,20.104,20.104,20.104,20.104,20.104,20.104,20.104,20.104,20.104,No
539805350052,ELECTRONIC TIMER RELAY 30 SECONDS,Lumpy,Z,TSB,32.2283,2.6857,2.6857,2.6857,2.6857,2.6857,2.6857,2.6857,2.6857,2.6857,2.6857,2.6857,2.6857,No
539805423687,DATA CABLE FOR TPWS,Lumpy,Z,TSB,908.2799,75.69,75.69,75.69,75.69,75.69,75.69,75.69,75.69,75.69,75.69,75.69,75.69,No
539805423699,DATA TAIL CABLE FOR TPWS,Intermittent,Z,SBA,126.292,10.5243,10.5243,10.5243,10.5243,10.5243,10.5243,10.5243,10.5243,10.5243,10.5243,10.5243,10.5243,No
539805423857,ACCESSORIES FOR LEU MODULE (PFSK & PIND CABLE) FOR TPWS,Intermittent,Z,SBA,45.6,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,No
539805423912,I/O Cables for TPWS,Intermittent,Z,SBA,4.56,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,No
539805423924,EMI Filters for TPWS,Intermittent,Z,SBA,6.84,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,No
539805714955,LED based stencil type route indicator (2Way) white LED (With Housing) as per the following specific....,Intermittent,Z,SBA,159.6,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,No
539805721194,Junction Type Route Indicator Unit 2 Way (FRP),Intermittent,Z,SBA,57.0,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75,No
539805734220,Junction Type Route Indicator - 1 way,Intermittent,Z,SBA,10.7528,0.8961,0.8961,0.8961,0.8961,0.8961,0.8961,0.8961,0.8961,0.8961,0.8961,0.8961,0.8961,No
539805736252,Junction Type Route Indicator Unit 3 Way (FRP),Intermittent,Z,SBA,57.0,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75,No
539805771483,FRP Shunt Signal unit,Intermittent,Y,SBA,11.4,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,No
539805825807,KRONE TOOL,Intermittent,Z,SBA,5.7,0.475,0.475,0.475,0.475,0.475,0.475,0.475,0.475,0.475,0.475,0.475,0.475,No
539805880508,(1) 3 POINT SAFETY NUT-22 Nos (2) SOCKET FOR 3 POINT SAFETY NUT-1 No (3) M20 X 100MM Sq.Hd BOLT-4 No....,Intermittent,Z,SBA,114.0,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,No
539805880545,Fastener Cover for Switch Extension Bracket LH & RH with M20 X 100 Blot with Castle Nut,Intermittent,Z,SBA,1224.36,102.03,102.03,102.03,102.03,102.03,102.03,102.03,102.03,102.03,102.03,102.03,102.03,No
539806099363,Non-Metallic (FRP) Colour light signal housings for Railway signalling suitable for Two Aspect Compl....,Lumpy,Z,TSB,3.9408,0.3284,0.3284,0.3284,0.3284,0.3284,0.3284,0.3284,0.3284,0.3284,0.3284,0.3284,0.3284,No
539806099570,LED SIGNAL CURRENT REGULATOR,Intermittent,Z,SBA,4.3846,0.3654,0.3654,0.3654,0.3654,0.3654,0.3654,0.3654,0.3654,0.3654,0.3654,0.3654,0.3654,No
539809127060,CONTACT ASSEMBLY,Intermittent,Z,SBA,798.0,66.5,66.5,66.5,66.5,66.5,66.5,66.5,66.5,66.5,66.5,66.5,66.5,No
539809943549,Battery cable 16 Sq.mm Red Cable: 10Mtrs Length Cable with Lugs on both sides and 16 Sq.mm Black Cab....,Intermittent,Z,SBA,81.3545,6.7795,6.7795,6.7795,6.7795,6.7795,6.7795,6.7795,6.7795,6.7795,6.7795,6.7795,6.7795,No
539809943550,Battery cable 25 Sq.mm Red Cable: 10Mtrs Length Cable with Lugs on both sides and 25 Sq.mm Black Cab....,Intermittent,Z,SBA,171.0,14.25,14.25,14.25,14.25,14.25,14.25,14.25,14.25,14.25,14.25,14.25,14.25,No
539810160026,Fit & Forget Lead wire 5 Mtrs 4 mm dia,Lumpy,Z,TSB,251.0511,20.9209,20.9209,20.9209,20.9209,20.9209,20.9209,20.9209,20.9209,20.9209,20.9209,20.9209,20.9209,No
539810160051,Fit & Forget Lead wire 6 Mtrs 4 mm dia,Lumpy,Z,TSB,260.1191,21.6766,21.6766,21.6766,21.6766,21.6766,21.6766,21.6766,21.6766,21.6766,21.6766,21.6766,21.6766,No
539810200024,FIT & FORGET LEAD WIRE 4 MTRS 4 MM DIA,Lumpy,Z,TSB,530.04,44.17,44.17,44.17,44.17,44.17,44.17,44.17,44.17,44.17,44.17,44.17,44.17,No
539810200036,FIT & FORGET LEAD WIRE 3 MTR 4 MM DIA,Lumpy,Z,TSB,1147.456,95.6213,95.6213,95.6213,95.6213,95.6213,95.6213,95.6213,95.6213,95.6213,95.6213,95.6213,95.6213,No
539810200048,FIT & FORGET LEAD WIRE 1.5 MTR 4 MM DIA,Lumpy,Z,TSB,1219.8589,101.6549,101.6549,101.6549,101.6549,101.6549,101.6549,101.6549,101.6549,101.6549,101.6549,101.6549,101.6549,No
539810200050,FIT & FORGET BOND WIRE 2 MTRS 4MM DIA,Lumpy,Z,TSB,767.0145,63.9179,63.9179,63.9179,63.9179,63.9179,63.9179,63.9179,63.9179,63.9179,63.9179,63.9179,63.9179,No
