PL_Code_A,PL_Code_B,Description_A,Description_B,Match_Score,Match_Type
539805021573,539805024690,"24 port Giga Bit layer 2switch, 24 x 10/100/1000 BASE-T PoE ports ? 4 x 1G (minimum) SFP+ ports with....","SCH B5-29 Rack mountable 48 Fibre management system (FMS) for TUNGSTEN-NAGPUR at WJ,TKO,AJ....",0.0,Prefix8-OP
539805021573,539805022309,"24 port Giga Bit layer 2switch, 24 x 10/100/1000 BASE-T PoE ports ? 4 x 1G (minimum) SFP+ ports with....",SC TYPE rack/Wall mountable24F Fibre management system (FMS) for Utility shifting work b....,0.0,Prefix8-OP
569003011545,569003010693,Power Supply Card for Fire Alarm make Notofire,FAULT ISOLATOR DETECTOR BASE,0.0,Prefix8-OP
565094815203,565094815835,Auto Change Over Arrangement,Single RJ 11 I/O with SMB connector with shutter facility for Utility shifting work by SRI....,0.0,Prefix8-OP
539812073467,539812072232,UTP CAT 6 cable 23 AWG as per EIA/TIA-568-C.2 standard,"I/O box with RJ -45 socket dual information outlet with Surface Mount Box(SMB), and RJ45 s....",0.0,Prefix8-OP
539812073467,539812072244,UTP CAT 6 cable 23 AWG as per EIA/TIA-568-C.2 standard,"Face Plate for 2nd and 4th floor of NGO,PRS at MMC building by FLY ENTERPRISES DIGISOL",0.0,Prefix8-OP
539812073467,539812073005,UTP CAT 6 cable 23 AWG as per EIA/TIA-568-C.2 standard,"SCH A- 15 I/O box with RJ -45 socket dualinformation outlet with SurfaceMount Box (SMB), a....",0.0,Prefix8-OP
539812073467,539812072578,UTP CAT 6 cable 23 AWG as per EIA/TIA-568-C.2 standard,"I/O box with RJ -45 socket dual information outlet with Surface Mount Box (SMB), and RJ45 ....",0.0,Prefix8-OP
539812073467,539812072608,UTP CAT 6 cable 23 AWG as per EIA/TIA-568-C.2 standard,"I/O box with RJ -45 socket dual information outlet with Surface Mount Box (SMB), and RJ45 ....",0.0,Prefix8-OP
560403680160,560403681886,Standard Tool Kit for Maintanance HASSDAC systems with accessories as per technical specification co....,CORAL TELECOM DHVANI IP4LP IP Phone,0.0,Prefix8-OP
539859090172,539859090070,Loop Card for Fire Alarm make Notofire,Heat and Smoke Sensor,0.0,Prefix8-OP
565172845439,565172848234,64 Digital input stack card suitable for M/s Efftronics make Data logger as per Spec: IRS:S-99/2006 ....,"SCH B-62 Manageable Layer-2 Switches consisting of 24 x 10/100/1000 BASE-T PoE ports, 4 x ....",0.0,Prefix8-OP
569003010073,569003010693,FIRE ALARM ANALOGUE CONTROLLER FOR LHS CABLE AS PER RDSO/SPN/217/2018/ Ver - 2,FAULT ISOLATOR DETECTOR BASE,0.0,Prefix8-OP
543600010754,543600011473,Offset Bracket Small 90MM,"Standard Rack 19 size width, 6U size for Utility shifting work by SRI SRINIVASA",0.0,Prefix8-OP
543600010766,543600011473,Offset Bracket Small,"Standard Rack 19 size width, 6U size for Utility shifting work by SRI SRINIVASA",0.0,Prefix8-OP
559006210073,559006210050,Polylitin cable Truff,PVC trough of 50 mmx50 mmx1 .5mm thickness with cover onwall/Roof/Partition etc as per IS ....,0.0,Prefix8-OP
565172845440,565172848234,Analog protection strip PCB card suitable for M/s Efftronics make Data logger as per Spec:IRS:S-99/....,"SCH B-62 Manageable Layer-2 Switches consisting of 24 x 10/100/1000 BASE-T PoE ports, 4 x ....",0.0,Prefix8-OP
569003011284,569003010693,"Fire Alarm TCP/IP for Single loop addressable fire alarm control panel, Ethernet Module",FAULT ISOLATOR DETECTOR BASE,0.0,Prefix8-OP
565172844319,565172848313,DATA LOGGER 512 DIGITAL INPUT/ 32 ANALOG INPUT RELEASED,"SCH B-03 server (NETBYTES SRS5) as per clause no.10.1.1.3,10.1.2,10.1.3 Hardware to suppor....",0.0,Prefix8-OP
565172844319,565172848234,DATA LOGGER 512 DIGITAL INPUT/ 32 ANALOG INPUT RELEASED,"SCH B-62 Manageable Layer-2 Switches consisting of 24 x 10/100/1000 BASE-T PoE ports, 4 x ....",0.0,Prefix8-OP
502355361120,502355360989,"Fire Alarm Power supply for Aspiration (AIR Sampling) Type smoke detector Power supply  (24V DC, 5A)....",VOICE LOGGER SLAVE TELEPHONE,0.0,Prefix8-OP
543500020713,543500021456,CLS LADDER 4.6 Mtrs with clamp,"Covered 19(42U) Racks of size 2200mm x 600mm x 600mm for 2nd and 4th floor of NGO,PRS at M....",0.0,Prefix8-OP
565172843959,565172848313,Leased Line Modem for RTU,"SCH B-03 server (NETBYTES SRS5) as per clause no.10.1.1.3,10.1.2,10.1.3 Hardware to suppor....",0.0,Prefix8-OP
565172843959,565172848234,Leased Line Modem for RTU,"SCH B-62 Manageable Layer-2 Switches consisting of 24 x 10/100/1000 BASE-T PoE ports, 4 x ....",0.0,Prefix8-OP
509000405457,509000404404,Joint closure conforming to TEC Spec. and splicing of Optic Fibre Cable 48 Fibres,OFC Jointing Kit,0.0,Prefix8-OP
