PL_Code,PL_Code_Normalized,Description,Business_Unit,Demand_Present,Inventory_Present,Strategic_Present,Criticality_Present,Forecast_Present,Lead_Time_Present,Demand_Records,Inventory_Records,Strategic_Records,Forecast_Method,Forecastability_Class,Lead_Time_Days,Lead_Time_Source,Criticality,ABC_Class,XYZ_Class,Master_Status
47200250,47200250,TRANSFORMERS 230/110V 1 KVA TO RDSO SPECIFICATION NO.RDSO/SPECN.262/1981 AND TO DRG NO 262/85 CONFOR....,MAS,1,0,0,0,1,1,8,0,0,SBA,Very Low,31.0,Requisition_Date,,,Z,Forecast_Ready
500101070025,500101070025,"5.25 Full Range, Wooden Wall Mount Compact Cost effective Speaker; JBL Model #CS-IWS05W",MAS,0,1,0,0,0,0,0,1,0,,,,,,,,Inventory_Only
500101140210,500101140210,TV 55 INCH High Resolution Large Video Display units suitable for 24X7 working along with ....,MAS,0,1,0,0,0,0,0,1,0,,,,,,,,Inventory_Only
500103311305,500103311305,Sch B-25 cable tray (300mm width x50mm depth x1.6mm thick sizeperforated Hot dipped Galva....,MAS,0,1,0,0,0,0,0,1,0,,,,,,,,Inventory_Only
500103311482,500103311482,Sch B-46 cable tray (150mm width x 60mm depth x 1.6mm thick size) perforated Hot dipped Ga....,MAS,0,1,0,0,0,0,0,1,0,,,,,,,,Inventory_Only
500500340048,500500340048,VIDEO HANDHELD CAMCORDER,MAS,0,1,0,0,0,0,0,1,0,,,,,,,,Inventory_Only
500500680030,500500680030,HALF SPLIT DWC PIPE,MAS,1,0,0,0,1,1,6,0,0,SBA,Very Low,40.0,PO_Date,,,Z,Forecast_Ready
500501490650,500501490650,"SCH B-20 Standard Rack 19 size, 9URACK (LEGRAND) size height wall mounting type front glas....",MAS,0,1,0,0,0,0,0,1,0,,,,,,,,Inventory_Only
500502510050,500502510050,POWER BANK,MAS,0,1,0,0,0,0,0,1,0,,,,,,,,Inventory_Only
500600111902,500600111902,"DLP U PVC trunking of size 80 mmx50mm base, 1x 65 mm top flexible cover",MAS,0,1,0,0,0,0,0,1,0,,,,,,,,Inventory_Only
500600571445,500600571445,6 PIN EMERGENCY SOCKET,MAS,0,1,0,0,0,0,0,1,0,,,,,,,,Inventory_Only
500601240060,500601240060,TRANSMITTER INSET,MAS,0,1,0,0,0,0,0,1,0,,,,,,,,Inventory_Only
501000013450,501000013450,CONTROL EQUIPMENT HQ,MAS,0,1,0,0,0,0,0,1,0,,,,,,,,Inventory_Only
501000014155,501000014155,True color Indoor Video Display (IVD) with its mechanical structure of Pixel Resolution (W....,MAS,0,1,0,0,0,0,0,1,0,,,,,,,,Inventory_Only
501000103553,501000103553,WEBFIL MUX 64 KBPS G703 DATA CARD,MAS,0,1,0,0,0,0,0,1,0,,,,,,,,Inventory_Only
501000243442,501000243442,CT BOX (FRP TYPE),MAS,1,0,0,0,1,0,4,0,0,SBA,Very Low,,,,,Z,Demand_Only
501000263740,501000263740,GI Pipe 50mm Dia 3.65mm Thick,MAS,1,0,0,0,1,1,15,0,0,TSB,Very Low,282.0,PO_Date,,,Z,Forecast_Ready
501000264214,501000264214,GI PIPE 50MM DIAMETER,MAS,0,1,0,0,0,0,0,1,0,,,,,,,,Inventory_Only
501000264226,501000264226,GI PIPE 100 MM DIAMETER,MAS,0,1,0,0,0,0,0,1,0,,,,,,,,Inventory_Only
501000267963,501000267963,GI PIPE 40 MM DIAMETER,MAS,0,1,0,0,0,0,0,1,0,,,,,,,,Inventory_Only
501000423936,501000423936,CAT 6 Cable consisting of each drum/box of 305 Meters,MAS,1,0,0,0,1,1,1,0,0,SBA,Very Low,54.0,PO_Date,,,Z,Forecast_Ready
501000424023,501000424023,UTP CAT6 CABLE FOR IMPROVEMENT WORK TO NGO OFFICE COMPLEX,MAS,0,1,0,0,0,0,0,1,0,,,,,,,,Inventory_Only
501000425167,501000425167,STP (Shielded Twisted Pair) CAT6 cable (4 pair) compliant with EIA/TIA568-B.2- 1 standard,MAS,0,1,0,0,0,0,0,1,0,,,,,,,,Inventory_Only
501024510020,501024510020,WEBFIL 2W/4W E&M INTERFACE CARD (4 CIRCUITS PER CARD),MAS,0,1,0,0,0,0,0,1,0,,,,,,,,Inventory_Only
501024520024,501024520024,WEBFIL NIM CARDS,MAS,0,1,0,0,0,0,0,1,0,,,,,,,,Inventory_Only
501025160027,501025160027,WEBFIL POWER SUPPLY UNIT-PSU CARD,MAS,0,1,0,0,0,0,0,1,0,,,,,,,,Inventory_Only
501025180026,501025180026,WEBFIL TRIBUTARY INTERFACE-TRIB CARD,MAS,0,1,0,0,0,0,0,1,0,,,,,,,,Inventory_Only
501027170097,501027170097,NEC WHITE 24 BUTTON DT 530 PHONE DTK-24D-1P(WH) TEL # BE118999,MAS,0,1,0,0,0,0,0,1,0,,,,,,,,Inventory_Only
501027170127,501027170127,OPEN STAGE 15T DIGITAL PHONE (DKT) SUITABLE FOR SIEMENS HiPath 4000 EXCHANGEMAKE: UNIFY,MAS,0,1,0,0,0,0,0,1,0,,,,,,,,Inventory_Only
501027710020,501027710020,PUNCOM POWER SUPPLY - PSU CARD,MAS,0,1,0,0,0,0,0,1,0,,,,,,,,Inventory_Only
501027730029,501027730029,PUNCOM LPC CARD,MAS,0,1,0,0,0,0,0,1,0,,,,,,,,Inventory_Only
501027960084,501027960084,VMS-Video Management server/VAS-Video Analytics Server/ FRS-Video Face Recognition ServerF....,MAS,0,1,0,0,0,0,0,1,0,,,,,,,,Inventory_Only
501027960102,501027960102,Video Management System  (VMS )and Video Recording software (per camera basis) for the ser....,MAS,0,1,0,0,0,0,0,1,0,,,,,,,,Inventory_Only
501027960230,501027960230,Servers to work as IP-PBX from 48 to 500 subscribers for RBMS work,MAS,0,1,0,0,0,0,0,1,0,,,,,,,,Inventory_Only
501300041401,501300041401,"OFC patch cord 7 mtrs length (SC-LC,single mode, duplex)",MAS,1,0,0,0,1,1,1,0,0,SBA,Very Low,103.0,PO_Date,,,Z,Forecast_Ready
501300041644,501300041644,OFC PATCH CHORD LC-SC/SC-SC 5 MTRS LENGTH,MAS,0,1,0,0,0,0,0,1,0,,,,,,,,Inventory_Only
501300043185,501300043185,SCH B-23 Single Mode duplex OFC Patch Cord (length-5m) (LC-SC/SC-SC/LC-LC) for CCTV Camer....,MAS,0,1,0,0,0,0,0,1,0,,,,,,,,Inventory_Only
501300520510,501300520510,CONTROL TELEPHONE 8 WAY LINE CORD,MAS,0,1,0,0,0,0,0,1,0,,,,,,,,Inventory_Only
50132453,50132453,Telephone card 3 Way 1.5m long,MAS,0,0,0,1,0,0,0,0,0,,,,,S3,C,,Criticality_Only
50132600,50132600,CORD FLEXIBLE 4 WAY 1.5 MTS LONG TO ITI CODE NO.54217/A/1T1 MAKE TO SUIT TELEPHONE 601 TYP....,MAS,0,1,0,1,0,0,0,1,0,,,,,S4,C,,Partial
501400350020,501400350020,Scanner EPSON V39,MAS,1,0,0,0,0,1,0,0,0,No Forecast,,618.0,Requisition_Date,,,N/A,Forecast_Ready
501500320073,501500320073,50 pair DP Box,MAS,0,1,0,0,0,0,0,1,0,,,,,,,,Inventory_Only
501800084620,501800084620,Column speaker with line matching transformer Ahuja ASC 320T,MAS,0,1,0,0,0,0,0,1,0,,,,,,,,Inventory_Only
501800084632,501800084632,"Microphone with cord, connector and stand and all other accessaries Ahuja PRO+3200",MAS,0,1,0,0,0,0,0,1,0,,,,,,,,Inventory_Only
501800084863,501800084863,Weather-resistant hemispherical boundary layer microphone AKG#2815Z00050,MAS,0,1,0,0,0,0,0,1,0,,,,,,,,Inventory_Only
501800085636,501800085636,Weather-resistant hemispherical boundary layer microphone AKG#2815Z00050 FOR SURYA ELECTRO....,MAS,0,1,0,0,0,0,0,1,0,,,,,,,,Inventory_Only
501800085650,501800085650,Weather-resistant hemispherical boundary layer microphone AKG#2815Z00050 for  R RAMA CHAND....,MAS,0,1,0,0,0,0,0,1,0,,,,,,,,Inventory_Only
501800092290,501800092290,MICROPHONE AHUJA AUD 100XLR,MAS,0,1,0,0,0,0,0,1,0,,,,,,,,Inventory_Only
501800242845,501800242845,30 Watt Paging Horn Speaker Model no JBL CCS- H30,MAS,0,1,0,0,0,0,0,1,0,,,,,,,,Inventory_Only
501800242869,501800242869,30 Watt Paging Horn Speaker Model no JBL CCS- H30,MAS,0,1,0,0,0,0,0,1,0,,,,,,,,Inventory_Only
501800242936,501800242936,30 Watt Paging Horn Speaker Model no JBL CCS- H30 FOR SS RAIL WORK AT JTJ STN,MAS,0,1,0,0,0,0,0,1,0,,,,,,,,Inventory_Only
501800242997,501800242997,30 Watt Paging Horn Speaker Model no JBL CCS- H30 for SURYA ELECTRONICS IPIS WORK AT GI ....,MAS,0,1,0,0,0,0,0,1,0,,,,,,,,Inventory_Only
501800243000,501800243000,30 Watt Paging Horn Speaker Model no JBL CCS- H30 for for  R RAMA CHANDRA REDDY-KADAPA I....,MAS,0,1,0,0,0,0,0,1,0,,,,,,,,Inventory_Only
501800243291,501800243291,"30 Watt Paging Horn Speaker Model no JBL CCS- H30 FOR SS RAIL WORK AT PER,ABU,TRL STN",MAS,0,1,0,0,0,0,0,1,0,,,,,,,,Inventory_Only
501800331830,501800331830,ROSETTE SINGLE WAY,MAS,0,1,0,0,0,0,0,1,0,,,,,,,,Inventory_Only
501800331842,501800331842,ROSETTE 2 WAY,MAS,0,1,0,0,0,0,0,1,0,,,,,,,,Inventory_Only
501800472632,501800472632,High power public address amplifier Ahuja APA 480,MAS,0,1,0,0,0,0,0,1,0,,,,,,,,Inventory_Only
501801000043,501801000043,Paging microphone Ahuja ACM 96,MAS,0,1,0,0,0,0,0,1,0,,,,,,,,Inventory_Only
501801220031,501801220031,AMPLIFIER 350W Public Address (PA)  AHUJA SSA 350,MAS,0,1,0,0,0,0,0,1,0,,,,,,,,Inventory_Only
501802180077,501802180077,Counter communication system Ahuja CCS 2300,MAS,0,1,0,0,0,0,0,1,0,,,,,,,,Inventory_Only
501802180089,501802180089,Counter communication system Ahuja CCS 2300,MAS,0,1,0,0,0,0,0,1,0,,,,,,,,Inventory_Only
501802180107,501802180107,SCH B-24 Counter Communication System Ahuja CCS 2300 for R RAMA CHANDRA REDDY-KADAPA IPIS ....,MAS,0,1,0,0,0,0,0,1,0,,,,,,,,Inventory_Only
501802580020,501802580020,Counter Communication System Ahuja CCS 2300,MAS,0,1,0,0,0,0,0,1,0,,,,,,,,Inventory_Only
501802840028,501802840028,Special purpose speaker Ahuja OCX 666T,MAS,0,1,0,0,0,0,0,1,0,,,,,,,,Inventory_Only
501803720020,501803720020,BOOSTER TV,MAS,0,1,0,0,0,0,0,1,0,,,,,,,,Inventory_Only
501805440141,501805440141,Wall speaker Ahuja PS 300 TM,MAS,0,1,0,0,0,0,0,1,0,,,,,,,,Inventory_Only
501806660197,501806660197,GPS double faced platform clock with GPS synchronization as per RDSO Specification.,MAS,0,1,0,0,0,0,0,1,0,,,,,,,,Inventory_Only
501806990069,501806990069,5.25 two way 10 W wall mount speaker JBL CONTROL 25AV,MAS,0,1,0,0,0,0,0,1,0,,,,,,,,Inventory_Only
501900030062,501900030062,WALKIE TALKIE CHARGER FOR KENWOOD,MAS,0,1,0,0,0,0,0,1,0,,,,,,,,Inventory_Only
50210014,50210014,Emergency Socket Box made of FRP material AS PER Specn. No. RDSO/SPN/TC/44/2002. Ver.2 wit....,MAS,0,1,1,1,0,0,0,1,1,,,,,S3,C,,Partial
502200010089,502200010089,MDCH/PDCH CONTROL CARD,MAS,0,1,0,0,0,0,0,1,0,,,,,,,,Inventory_Only
502200280020,502200280020,AUTO EXCHANGE INTERFACE EQUIPMENT,MAS,0,1,0,0,0,0,0,1,0,,,,,,,,Inventory_Only
502200620700,502200620700,SCH B5-11 Single line Double face Train Arrival/Departure display board (SLDB) as per RDSO....,MAS,0,1,0,0,0,0,0,1,0,,,,,,,,Inventory_Only
502200630160,502200630160,True color Indoor Video Display (IVD) with its mechanical structure of Pixel Resolution (W....,MAS,0,1,0,0,0,0,0,1,0,,,,,,,,Inventory_Only
50231832/50231881,5023183250231881,Telephone Electronic Push Button,MAS,0,0,1,1,0,0,0,0,1,,,,,S3,C,,Partial
50231881,50231881,ELECTRONIC PUSH BUTTON TELEPHONE (EPBT) CONFIRMING TO TEC SPECN G.R NO: GR/TEL-02/04 SEP02....,MAS,0,1,0,0,0,0,0,1,0,,,,,,,,Inventory_Only
50231959,50231959,ELECTRONIC PUSH BUTTON TELEPHONE (EPBT) INSTRUMENT WITH ONE MAIN AND ONE EXTENSION WITH PO....,MAS,0,1,1,1,0,0,0,1,1,,,,,S3,C,,Partial
50232319,50232319,MAGNETIC TELEPHONE WITH ELECTRO DYNAMIC TRANDUCERS CONFIRMING TO RDSO SPECN.NO.IRS-TC-36/97.(Amendme....,MAS,1,1,0,0,1,1,29,1,0,SBA,Low,27.5,Requisition_Date,,,Z,Forecast_Ready
502323201614,502323201614,MAIN AND EXTENSION  TELEPHONE (1+1 PHONE),MAS,0,1,0,0,0,0,0,1,0,,,,,,,,Inventory_Only
50232356/50232319,5023235650232319,Magneto telephone,MAS,0,0,1,1,0,0,0,0,1,,,,,S2,A,,Partial
502355280027,502355280027,MANAGEABLE AGGREGATION  SWITCHES 24 PORT NETWORK SWITCH,MAS,0,1,0,0,0,0,0,1,0,,,,,,,,Inventory_Only
502355280052,502355280052,Manageable Aggregation switches consisting minimum 24 x GE SFP based ports and minimum 4 n....,MAS,0,1,0,0,0,0,0,1,0,,,,,,,,Inventory_Only
502355280088,502355280088,SCH-B- 11 manageable Aggregation switches (RL TECH RGS5300-28XF) consisting minimum 24 x G....,MAS,0,1,0,0,0,0,0,1,0,,,,,,,,Inventory_Only
502355360989,502355360989,VOICE LOGGER SLAVE TELEPHONE,MAS,0,1,0,0,0,0,0,1,0,,,,,,,,Inventory_Only
502355360990,502355360990,VOICE LOGGER POWER SUPPLY UNIT 24V DC,MAS,0,1,0,0,0,0,0,1,0,,,,,,,,Inventory_Only
502355361120,502355361120,"Fire Alarm Power supply for Aspiration (AIR Sampling) Type smoke detector Power supply  (24V DC, 5A)....",MAS,1,0,0,0,1,1,3,0,0,TSB,Very Low,668.0,PO_Date,,,Z,Forecast_Ready
502355441175,502355441175,ELECTRONIC PUSH BUTTON TELEPHONE WITH CALLER ID AND SPEAKER,MAS,0,1,0,0,0,0,0,1,0,,,,,,,,Inventory_Only
502355561004,502355561004,Digital Handheld Water Quality Meter / Analyzer Measuring TDS Meter,MAS,1,0,0,0,1,1,4,0,0,TSB,Very Low,101.0,PO_Date,,,Z,Forecast_Ready
502355770020,502355770020,Supply and installation of Signal post telephone with facility of paging and talk-back including voi....,MAS,1,0,0,0,1,1,29,0,0,TSB,Low,126.0,PO_Date,,,Z,Forecast_Ready
502355990020,502355990020,20 pair Krone modules housed inMS Box Powder coated with lock and Key for Utility shifting....,MAS,0,1,0,0,0,0,0,1,0,,,,,,,,Inventory_Only
502356050030,502356050030,CABLE TERMINATION BOX (C.I),MAS,1,0,0,0,0,0,0,0,0,No Forecast,,,,,,N/A,Demand_Only
502356170035,502356170035,SCH B-36 PIJF armoured underground 100pair telephone cable having 0.63 mm dia of each copp....,MAS,0,1,0,0,0,0,0,1,0,,,,,,,,Inventory_Only
502357760028,502357760028,TELEPHONE CALLER IDENTIFICATION -CID,MAS,0,1,0,0,0,0,0,1,0,,,,,,,,Inventory_Only
502358450035,502358450035,50 pair Krone modules housed inMS Box Powder coated with lock and Key for Utility shifting....,MAS,0,1,0,0,0,0,0,1,0,,,,,,,,Inventory_Only
503523190684,503523190684,"Auto Dialling System from Emergency Socket consisting of (1) Base unit, (2) Way sideTeleph....",MAS,0,1,0,0,0,0,0,1,0,,,,,,,,Inventory_Only
503523410740,503523410740,DIGITAL VOICE ANNOUNCIATION UNIT FOR LC GATE,MAS,1,0,0,0,1,1,14,0,0,TSB,Very Low,3.0,Requisition_Date,,,Z,Forecast_Ready
503523410891,503523410891,Friction Clutch Assembly for EOLB LC GATE PTJ MAKE,MAS,1,0,0,0,1,1,5,0,0,TSB,Very Low,92.0,PO_Date,,,Z,Forecast_Ready
503524320022,503524320022,Line Card 4 way,MAS,0,1,0,0,0,0,0,1,0,,,,,,,,Inventory_Only
503524530030,503524530030,4 WIRE DTMF WAY STATION  EQUIPMENTS WITH CONTROL TELEPHONE,MAS,0,1,0,0,0,0,0,1,0,,,,,,,,Inventory_Only
503525160026,503525160026,CONTROL TELEPHONE 2 WIRE,MAS,0,1,0,0,0,0,0,1,0,,,,,,,,Inventory_Only
503526680029,503526680029,Cord 8 way,MAS,0,1,0,0,0,0,0,1,0,,,,,,,,Inventory_Only
50353603,50353603,LIGHT WEIGHT PORTABLE CONTROL TELEPHONE TO SPECN. NO.IRS.TC-78/2000 with Amendment-1..,MAS,0,1,1,1,0,0,0,1,1,,,,,S3,C,,Partial
50360693/50370110,5036069350370110,4 wire way station control telephone RDSO/SPN IRS.TC.38/97 with latest amendment,MAS,0,0,1,1,0,0,0,0,1,,,,,S4,C,,Partial
50370080,50370080,4 WIRE DTMF WAY STATION EQUIPMENT RDSO SPECIFICATION NO.IRS/TC-60/2007 OR LATEST,MAS,0,1,1,1,0,0,0,1,1,,,,,S3,B2,,Partial
50370110,50370110,4 WIRE WAY STATION CONTROL TELEPHONE SPECN.NO.IRS:TC-38/97.(Amendment No.1),MAS,0,1,0,0,0,0,0,1,0,,,,,,,,Inventory_Only
505200020031,505200020031,BELL PUSH,MAS,0,1,0,0,0,0,0,1,0,,,,,,,,Inventory_Only
50540324,50540324,LOW MAINTENANCE LEAD ACID  STATIONARY SECONDARY CELLS  2V/80AH CAPACITY AT  10 HRS RATE OF DISCHARGE....,MAS,1,0,1,1,1,1,43,0,1,Croston,Medium,47.0,PO_Date,S2,A,Z,Planning_Ready
50541523,50541523,LOW MAINTENANCE LEAD ACID STATIONARY SECONDARY CELLS 2V /120 AH   TO SPECIFICATION.IRS:S-88/2004 or ....,MAS,1,0,1,1,1,1,16,0,1,TSB,Very Low,45.5,Requisition_Date,S2,B2,Z,Planning_Ready
50550081,50550081,LOW MAINTENANCE LEAD ACID STATIONARY SECONDARY CELLS 2V/ 200AH CAPACITY  AT 10 HRS. RATE OF DISCHARG....,MAS,1,0,1,1,1,1,33,0,1,TSB,Medium,21.0,Requisition_Date,S2,A,Z,Planning_Ready
505600050154,505600050154,TRANSMISSION MEASURING SET / TMS Kit,MAS,0,1,0,0,0,0,0,1,0,,,,,,,,Inventory_Only
505600260124,505600260124,DIGITAL EARTH TESTER,MAS,0,1,0,0,0,0,0,1,0,,,,,,,,Inventory_Only
508102260044,508102260044,SCH A-09 multipin power socket with switch 5A/15A (6 nos) wired with 2.5 Sq.mm copper mult....,MAS,0,1,0,0,0,0,0,1,0,,,,,,,,Inventory_Only
508310190031,508310190031,BATTERY BANK VRLA 48V/120AH,MAS,0,1,0,0,0,0,0,1,0,,,,,,,,Inventory_Only
508311040065,508311040065,BATTERY CHARGER WALKIE TALKIE TID V-30,MAS,0,1,0,0,0,0,0,1,0,,,,,,,,Inventory_Only
508311720090,508311720090,"SCH B-17 Manageable Layer-2 Switches consisting of 24 x 10/100/1000 BASE-T PoE ports, 4 x ....",MAS,0,1,0,0,0,0,0,1,0,,,,,,,,Inventory_Only
508312590024,508312590024,BATTERY M/F 24V/7AH CHARGER,MAS,0,1,0,0,0,0,0,1,0,,,,,,,,Inventory_Only
508313220095,508313220095,SMPS BASED BATTERY CHARGER 48V/ 50AMP with 03 nos of 25 AMP SMR modules,MAS,0,1,0,0,0,0,0,1,0,,,,,,,,Inventory_Only
508313320053,508313320053,SMPS Battery CHARGER 48V/25AMP(1+1),MAS,0,1,0,0,0,0,0,1,0,,,,,,,,Inventory_Only
508313550058,508313550058,SCH B-13 UPS 1 KVA online (minimum 1600 VAH battery) (single phase) with 1 hrs Backup time....,MAS,0,1,0,0,0,0,0,1,0,,,,,,,,Inventory_Only
508500010799,508500010799,"PVC warning tape colour orange, width 250 mm (10) by printing with black letters (Southern Railway S....",MAS,1,0,0,0,1,1,5,0,0,SBA,Very Low,331.0,PO_Date,,,Z,Forecast_Ready
508500260020,508500260020,DIGITAL EARTH TESTER,MAS,0,1,0,0,0,0,0,1,0,,,,,,,,Inventory_Only
508500690051,508500690051,CABLE/PIPE FAULT AND MARKER LOCATOR,MAS,1,0,0,0,1,1,2,0,0,SBA,Very Low,69.0,PO_Date,,,Z,Forecast_Ready
508501090018,508501090018,LAN Tester,MAS,1,0,0,0,1,1,1,0,0,SBA,Very Low,103.0,PO_Date,,,Z,Forecast_Ready
508501360022,508501360022,DIGITAL EARTH TESTER,MAS,0,1,0,0,0,0,0,1,0,,,,,,,,Inventory_Only
508502470029,508502470029,CABLE / PIPE ROUTE LOCATOR,MAS,1,0,0,0,1,0,1,0,0,SBA,Very Low,,,,,Z,Demand_Only
