PL_Code,Demand_Pattern,XYZ_Class,Forecast_Method,Forecastability_Class
522002180033,Intermittent,Z,SBA,Very Low
522004290085,Intermittent,Z,SBA,Very Low
522004290103,Intermittent,Z,SBA,Very Low
522004290115,Intermittent,Z,SBA,Very Low
522004290127,Intermittent,Z,SBA,Very Low
522004290139,Intermittent,Z,SBA,Very Low
528100010050,Lumpy,Z,TSB,Very Low
528100010103,Intermittent,Z,SBA,Very Low
528100030023,Lumpy,Z,TSB,Very Low
539800218676,Intermittent,Z,SBA,Low
539800218688,Intermittent,Z,SBA,Low
539800218690,Intermittent,Z,SBA,Very Low
539800456678,Intermittent,Z,SBA,Very Low
539800639499,Intermittent,Z,SBA,Very Low
539800699782,Intermittent,Z,SBA,Very Low
539801491121,Lumpy,Z,TSB,Very Low
539801491133,Intermittent,Z,SBA,Very Low
539801491145,Intermittent,Z,SBA,Very Low
539801491157,Intermittent,Z,SBA,Very Low
539801491169,Intermittent,Z,SBA,Very Low
539801568695,Intermittent,Z,SBA,Very Low
539801568713,Intermittent,Z,SBA,Very Low
539801568725,Intermittent,Z,SBA,Very Low
539802239713,Lumpy,Z,TSB,Very Low
539802616569,Intermittent,Z,SBA,Very Low
539802616703,Intermittent,Z,SBA,Very Low
539802804118,Lumpy,Z,TSB,Low
539802804167,Lumpy,Z,TSB,Very Low
539802831377,Intermittent,Z,SBA,Very Low
539802852010,Intermittent,Z,SBA,Very Low
539802862386,Lumpy,Z,TSB,Very Low
539802900879,Intermittent,Z,SBA,Very Low
539804752183,Lumpy,Z,TSB,Very Low
539805021573,Intermittent,Z,SBA,Very Low
539805046442,Lumpy,Z,TSB,Very Low
539805046570,Lumpy,Z,TSB,Low
539805350052,Lumpy,Z,TSB,Very Low
539805423687,Lumpy,Z,TSB,Very Low
539805423699,Intermittent,Z,SBA,Very Low
539805423857,Intermittent,Z,SBA,Very Low
539805423912,Intermittent,Z,SBA,Very Low
539805423924,Intermittent,Z,SBA,Very Low
539805714955,Intermittent,Z,SBA,Very Low
539805721194,Intermittent,Z,SBA,Very Low
539805734220,Intermittent,Z,SBA,Low
539805736252,Intermittent,Z,SBA,Very Low
539805771483,Intermittent,Y,SBA,Low
539805825807,Intermittent,Z,SBA,Very Low
539805880508,Intermittent,Z,SBA,Very Low
539805880545,Intermittent,Z,SBA,Very Low
539806099363,Lumpy,Z,TSB,Very Low
539806099570,Intermittent,Z,SBA,Very Low
539809127060,Intermittent,Z,SBA,Very Low
539809943549,Intermittent,Z,SBA,Very Low
539809943550,Intermittent,Z,SBA,Very Low
539810160026,Lumpy,Z,TSB,Very Low
539810160051,Lumpy,Z,TSB,Very Low
539810200024,Lumpy,Z,TSB,Very Low
539810200036,Lumpy,Z,TSB,Low
539810200048,Lumpy,Z,TSB,Very Low
539810200050,Lumpy,Z,TSB,Low
539810200190,Lumpy,Z,TSB,Low
539810221015,Lumpy,Z,TSB,Very Low
539810611024,Intermittent,Z,SBA,Low
539810830056,Lumpy,Z,TSB,Very Low
539811049986,Intermittent,Z,SBA,Very Low
539811050022,Intermittent,Z,SBA,Very Low
539811050046,Intermittent,Z,SBA,Very Low
539811130029,Lumpy,Z,TSB,Low
539811150030,Lumpy,Z,TSB,Very Low
539811180021,Intermittent,Z,SBA,Very Low
539811180045,Intermittent,Z,SBA,Very Low
539811180057,Intermittent,Z,SBA,Very Low
539811180069,Intermittent,Z,SBA,Very Low
539811180070,Intermittent,Z,SBA,Very Low
539811180082,Intermittent,Z,SBA,Very Low
539811180094,Intermittent,Z,SBA,Very Low
539811180100,Intermittent,Z,SBA,Very Low
539811190026,Intermittent,Z,SBA,Very Low
539811200020,Intermittent,Z,SBA,Very Low
539811210025,Intermittent,Z,SBA,Very Low
539811281019,Lumpy,Z,TSB,Very Low
539811550250,Intermittent,Z,SBA,Very Low
539811600022,Intermittent,Z,SBA,Very Low
539811710022,Lumpy,Z,TSB,Very Low
539812250020,Intermittent,Z,SBA,Very Low
539812290028,Intermittent,Z,SBA,Very Low
539812480024,Intermittent,Z,SBA,Very Low
539812480036,Intermittent,Z,SBA,Very Low
539812480048,Intermittent,Z,SBA,Very Low
539812601022,Lumpy,Z,TSB,Low
539812641044,Intermittent,Z,SBA,Very Low
539812690020,Lumpy,Z,TSB,Low
539812721052,Lumpy,Z,TSB,Very Low
539812840016,Lumpy,Z,TSB,Medium
539812900049,Lumpy,Z,TSB,Very Low
539812910020,Lumpy,Z,TSB,Very Low
539813440022,Intermittent,Z,SBA,Very Low
539813440710,Intermittent,Z,SBA,Very Low
539813442018,Intermittent,Z,SBA,Very Low
539813960030,Intermittent,Z,SBA,Very Low
539813960169,Intermittent,Z,SBA,Very Low
539814380288,Intermittent,Z,SBA,Very Low
539814380586,Intermittent,Z,SBA,Very Low
539814382170,Intermittent,Z,SBA,Low
539814460065,Lumpy,Z,TSB,Very Low
539814460843,Intermittent,Z,SBA,Very Low
539816700018,Lumpy,Z,TSB,Low
539816761032,Lumpy,Z,TSB,Very Low
539817320023,Intermittent,Z,SBA,Very Low
539817320060,Intermittent,Z,SBA,Very Low
539817430072,Intermittent,Z,SBA,Very Low
539818371075,Lumpy,Z,TSB,Very Low
539818371191,Intermittent,Z,SBA,Very Low
539819621026,Lumpy,Z,TSB,Very Low
539820831033,Lumpy,Z,TSB,Low
539820860021,Lumpy,Z,TSB,Very Low
539820980087,Intermittent,Z,SBA,Very Low
539820980099,Lumpy,Z,TSB,Very Low
539821090016,Lumpy,Z,TSB,Very Low
539821091100,Lumpy,Z,TSB,Low
539821091215,Intermittent,Z,SBA,Very Low
539821910020,Lumpy,Z,TSB,Low
539823791010,Intermittent,Z,SBA,Very Low
539825241013,Lumpy,Z,TSB,Medium
539825611059,Intermittent,Z,SBA,Very Low
539825640023,Lumpy,Z,TSB,Very Low
539825640047,Intermittent,Z,SBA,Low
539825701012,Lumpy,Z,TSB,Low
539827130024,Intermittent,Z,SBA,Very Low
539827750105,Intermittent,Z,SBA,Low
539827750129,Intermittent,Z,SBA,Very Low
539828400035,Lumpy,Z,TSB,Very Low
539829480026,Lumpy,Z,TSB,Very Low
539829480038,Lumpy,Z,TSB,Very Low
539829580021,Lumpy,Z,TSB,Very Low
539829590166,Intermittent,Z,SBA,Very Low
539829590180,Intermittent,Z,SBA,Very Low
539829900088,Intermittent,Z,SBA,Very Low
539830680131,Smooth,X,SES/Holt,Low
539830920026,Intermittent,Z,SBA,Very Low
539830920038,Intermittent,Z,SBA,Very Low
539830920040,Intermittent,Z,SBA,Very Low
539830920051,Intermittent,Z,SBA,Very Low
539830920063,Intermittent,Z,SBA,Very Low
539830920075,Intermittent,Z,SBA,Very Low
539830920087,Intermittent,Z,SBA,Very Low
539830920117,Intermittent,Z,SBA,Very Low
539831440097,Intermittent,Z,SBA,Very Low
539831871011,Intermittent,Z,SBA,Very Low
539834880023,Intermittent,Z,SBA,Very Low
539834880035,Lumpy,Z,TSB,Very Low
539834880047,Lumpy,Z,TSB,Very Low
539834880059,Intermittent,Z,SBA,Very Low
539834880084,Lumpy,Z,TSB,Very Low
539834880096,Lumpy,Z,TSB,Very Low
539834880102,Intermittent,Z,SBA,Low
539834880114,Intermittent,Z,SBA,Very Low
539834880138,Lumpy,Z,TSB,Very Low
539835220092,Intermittent,Z,SBA,Very Low
539835220262,Lumpy,Z,TSB,Low
539835790029,Intermittent,Z,SBA,Very Low
539836000026,Lumpy,Z,TSB,Very Low
539836000038,Intermittent,Z,SBA,Very Low
539836000040,Lumpy,Z,TSB,Very Low
539836000051,Lumpy,Z,TSB,Very Low
539836410034,Lumpy,Z,TSB,Low
539836631014,Lumpy,Z,TSB,Very Low
539836631099,Intermittent,Z,SBA,Low
539837611023,Intermittent,Z,SBA,Very Low
539838080025,Lumpy,Z,TSB,Very Low
539838080062,Lumpy,Z,TSB,Very Low
539839010020,Intermittent,Z,SBA,Very Low
539841501071,Intermittent,Z,SBA,Very Low
539841501083,Lumpy,Z,TSB,Very Low
539843690030,Intermittent,Z,SBA,Very Low
539844210026,Intermittent,Y,SBA,Medium
539844530070,Lumpy,Z,TSB,Very Low
539844530094,Intermittent,Z,SBA,Very Low
539845930018,Intermittent,Z,SBA,Very Low
539847770031,Lumpy,Z,TSB,Very Low
539847770043,Intermittent,Z,SBA,Very Low
539848730089,Lumpy,Z,TSB,Very Low
539849150019,Lumpy,Z,TSB,Low
539849380013,Lumpy,Z,TSB,Low
539849380025,Lumpy,Z,TSB,Very Low
539849560064,Intermittent,Z,SBA,Very Low
539849560076,Intermittent,Z,SBA,Very Low
539849580026,Intermittent,Z,SBA,Very Low
539849980028,Intermittent,Z,SBA,Very Low
539850100016,Lumpy,Z,TSB,Very Low
539850510024,Lumpy,Z,TSB,Very Low
539851050021,Intermittent,Z,SBA,Very Low
539851110029,Lumpy,Z,TSB,Medium
539851170051,Lumpy,Z,TSB,Very Low
539851170063,Intermittent,Z,SBA,Very Low
539851240030,Lumpy,Z,TSB,Very Low
539851240041,Lumpy,Z,TSB,Very Low
539851240053,Intermittent,Z,SBA,Very Low
539852990062,Intermittent,Z,SBA,Very Low
539853160036,Lumpy,Z,TSB,Very Low
539859090172,Intermittent,Z,SBA,Very Low
539859140047,Lumpy,Z,TSB,Very Low
539860410051,Intermittent,Z,SBA,Very Low
539861490030,Intermittent,Z,SBA,Very Low
539863160010,Lumpy,Z,TSB,Very Low
539863330029,Intermittent,Z,SBA,Very Low
539863350028,Lumpy,Z,TSB,Very Low
539864160028,Intermittent,Z,SBA,Very Low
539867190019,Intermittent,Z,SBA,Very Low
539868680020,Intermittent,Z,SBA,Very Low
539868860021,Intermittent,Z,SBA,Very Low
539869590130,Intermittent,Z,SBA,Very Low
539873330026,Intermittent,Z,SBA,Very Low
539874910026,Intermittent,Z,SBA,Very Low
539875640092,Intermittent,Z,SBA,Very Low
539880100195,Intermittent,Z,SBA,Very Low
539880100201,Intermittent,Z,SBA,Very Low
539880410093,Lumpy,Z,TSB,Low
539881210026,Intermittent,Z,SBA,Very Low
539882000027,Lumpy,Z,TSB,Very Low
539882500050,Intermittent,Z,SBA,Very Low
539883710233,Intermittent,Z,SBA,Very Low
539883710245,Intermittent,Z,SBA,Very Low
539883712230,Intermittent,Z,SBA,Very Low
539883712242,Intermittent,Z,SBA,Very Low
539884870153,Intermittent,Z,SBA,Very Low
539885010196,Intermittent,Z,SBA,Very Low
539885010214,Intermittent,Z,SBA,Very Low
539885010354,Intermittent,Z,SBA,Very Low
539889350020,Intermittent,Z,SBA,Very Low
539892130229,Intermittent,Z,SBA,Very Low
539894420030,Intermittent,Z,SBA,Very Low
539896390039,Lumpy,Z,TSB,Very Low
539896550020,Intermittent,Z,SBA,Very Low
539896580138,Lumpy,Z,TSB,Low
539896830106,Lumpy,Z,TSB,Very Low
539897071045,Lumpy,Z,TSB,Low
539897071501,Intermittent,Z,SBA,Very Low
539897500850,Intermittent,Z,SBA,Very Low
539898330307,Intermittent,Z,SBA,Low
539898370044,Smooth,Y,SES/Holt,Low
539898480056,Intermittent,Z,SBA,Very Low
542120120050,Intermittent,Z,SBA,Very Low
542218881207,Intermittent,Z,SBA,Very Low
542223081118,Intermittent,Z,SBA,Very Low
542223081167,Lumpy,Z,TSB,Very Low
54253561,Intermittent,Z,SBA,Very Low
542620470036,Lumpy,Z,TSB,Low
542620470048,Lumpy,Z,TSB,Very Low
542620470127,Lumpy,Z,TSB,Low
543000010147,Lumpy,Z,TSB,Low
543100020163,Erratic,Z,Croston,Medium
543500010409,Lumpy,Z,TSB,Very Low
543500010513,Intermittent,Z,SBA,Very Low
543500011244,Intermittent,Y,SBA,Low
543500020713,Lumpy,Z,TSB,Very Low
543600010201,Intermittent,Z,SBA,Medium
543600010754,Intermittent,Z,SBA,Very Low
543600010766,Lumpy,Z,TSB,Very Low
54360031,Intermittent,Z,SBA,Very Low
544100020290,Lumpy,Z,TSB,Low
544100020642,Intermittent,Z,SBA,Very Low
544100020678,Intermittent,Z,SBA,Very Low
544100420024,Intermittent,Z,SBA,Very Low
545200100040,Intermittent,Z,SBA,Low
545401070037,Lumpy,Z,TSB,Low
545500010663,Intermittent,Z,SBA,Very Low
549005510050,Intermittent,Z,SBA,Very Low
549005641775,Intermittent,Z,SBA,Low
549005791499,Intermittent,Z,SBA,Very Low
549006091114,Intermittent,Z,SBA,Very Low
549006110030,Lumpy,Z,TSB,Low
549006470022,Intermittent,Z,SBA,Very Low
549006530948,Lumpy,Z,TSB,Very Low
549007060046,Intermittent,Z,SBA,Low
549007201092,Lumpy,Z,TSB,Very Low
549007661170,Intermittent,Z,SBA,Very Low
549008310204,Intermittent,Z,SBA,Very Low
549012320014,Intermittent,Z,SBA,Low
549801610122,Erratic,Z,Croston,Medium
549801610584,Intermittent,Z,SBA,Very Low
549801620085,Intermittent,Z,SBA,Very Low
551200010789,Lumpy,Z,TSB,Low
551200011083,Lumpy,Z,TSB,Very Low
551200012269,Intermittent,Z,SBA,Very Low
553000050339,Intermittent,Z,SBA,Very Low
555400100071,Intermittent,Z,SBA,Very Low
555400100083,Intermittent,Z,SBA,Very Low
555400100095,Lumpy,Z,TSB,Very Low
555400100101,Intermittent,Z,SBA,Very Low
555400100113,Intermittent,Z,SBA,Very Low
555400100125,Intermittent,Z,SBA,Very Low
555400100137,Intermittent,Z,SBA,Very Low
555400100149,Intermittent,Z,SBA,Very Low
555400100150,Intermittent,Z,SBA,Very Low
555400100162,Intermittent,Z,SBA,Very Low
555400100174,Intermittent,Z,SBA,Very Low
555400100198,Intermittent,Z,SBA,Very Low
555400100204,Intermittent,Z,SBA,Very Low
555400100307,Intermittent,Z,SBA,Very Low
555400150025,Intermittent,Z,SBA,Very Low
555400960023,Intermittent,Z,SBA,Very Low
555500020073,Intermittent,Z,SBA,Very Low
556302870142,Intermittent,Z,SBA,Very Low
556302890025,Lumpy,Z,TSB,Very Low
559000990020,Intermittent,Z,SBA,Very Low
559003640081,Intermittent,Z,SBA,Very Low
559003640111,Intermittent,Z,SBA,Very Low
559003640123,Intermittent,Z,SBA,Low
559003640135,Intermittent,Z,SBA,Very Low
559006210073,Intermittent,Z,SBA,Very Low
560100580056,Intermittent,Z,SBA,Very Low
560400022521,Intermittent,Z,SBA,Very Low
560400023902,Intermittent,Z,SBA,Very Low
560400024268,Intermittent,Z,SBA,Very Low
560400024281,Intermittent,Z,SBA,Very Low
560400026514,Intermittent,Z,SBA,Very Low
560400032540,Lumpy,Z,TSB,Very Low
560400160048,Intermittent,Z,SBA,Very Low
560400170030,Intermittent,Z,SBA,Very Low
560400182081,Intermittent,Z,SBA,Very Low
560400182093,Intermittent,Z,SBA,Very Low
560400200046,Intermittent,Z,SBA,Very Low
560400211135,Intermittent,Z,SBA,Very Low
560400211147,Intermittent,Z,SBA,Very Low
560400211329,Intermittent,Z,SBA,Very Low
560400220033,Intermittent,Z,SBA,Very Low
560400240615,Intermittent,Z,SBA,Very Low
560400252563,Intermittent,Z,SBA,Very Low
560402724117,Intermittent,Z,SBA,Very Low
560402822796,Intermittent,Z,SBA,Very Low
560402860578,Intermittent,Z,SBA,Very Low
560402860580,Intermittent,Z,SBA,Very Low
560402860591,Intermittent,Z,SBA,Very Low
560402860815,Intermittent,Z,SBA,Very Low
560402860839,Lumpy,Z,TSB,Very Low
560402890273,Intermittent,Z,SBA,Very Low
560402890297,Intermittent,Z,SBA,Very Low
560402890303,Lumpy,Z,TSB,Very Low
560402890315,Intermittent,Z,SBA,Very Low
560402890534,Lumpy,Z,TSB,Very Low
560402900096,Intermittent,Z,SBA,Very Low
560402900175,Lumpy,Z,TSB,Very Low
560402911963,Lumpy,Z,TSB,Very Low
560402912220,Lumpy,Z,TSB,Very Low
560402912256,Intermittent,Z,SBA,Very Low
560402912270,Intermittent,Z,SBA,Very Low
560402912281,Intermittent,Z,SBA,Very Low
560402912311,Lumpy,Z,TSB,Very Low
560402912323,Intermittent,Z,SBA,Very Low
560402912335,Intermittent,Z,SBA,Very Low
560402912347,Intermittent,Z,SBA,Very Low
560403020067,Intermittent,Z,SBA,Very Low
560403020079,Intermittent,Z,SBA,Very Low
560403020353,Intermittent,Z,SBA,Very Low
560403020365,Intermittent,Z,SBA,Very Low
560403020377,Intermittent,Z,SBA,Very Low
560403020389,Intermittent,Z,SBA,Very Low
560403082085,Intermittent,Z,SBA,Very Low
560403082322,Intermittent,Z,SBA,Very Low
560403161490,Intermittent,Z,SBA,Very Low
560403161507,Intermittent,Z,SBA,Very Low
560403161635,Lumpy,Z,TSB,Very Low
560403161647,Lumpy,Z,TSB,Very Low
560403161659,Lumpy,Z,TSB,Very Low
560403161660,Lumpy,Z,TSB,Very Low
560403161672,Intermittent,Z,SBA,Very Low
560403320063,Intermittent,Z,SBA,Very Low
560403500030,Intermittent,Z,SBA,Very Low
560403610030,Intermittent,Z,SBA,Very Low
560403610077,Intermittent,Z,SBA,Very Low
560403610089,Intermittent,Z,SBA,Very Low
560403680160,Intermittent,Z,SBA,Very Low
560403820199,Intermittent,Z,SBA,Very Low
560403820205,Intermittent,Z,SBA,Very Low
560404002243,Intermittent,Z,SBA,Very Low
560404050330,Intermittent,Z,SBA,Very Low
560404260141,Intermittent,Z,SBA,Very Low
560404820020,Intermittent,Z,SBA,Very Low
560406180252,Intermittent,Z,SBA,Very Low
560406180264,Intermittent,Z,SBA,Very Low
560406180276,Intermittent,Z,SBA,Very Low
560406200056,Intermittent,Z,SBA,Very Low
560406420020,Lumpy,Z,TSB,Very Low
560406430025,Lumpy,Z,TSB,Very Low
560406470047,Intermittent,Z,SBA,Very Low
560406490058,Intermittent,Z,SBA,Very Low
560406520026,Intermittent,Z,SBA,Very Low
560406900054,Intermittent,Z,SBA,Very Low
560406910072,Intermittent,Z,SBA,Very Low
560406910084,Intermittent,Z,SBA,Very Low
560406910096,Intermittent,Z,SBA,Very Low
560406920041,Intermittent,Z,SBA,Very Low
560407090064,Intermittent,Z,SBA,Very Low
560407690031,Intermittent,Z,SBA,Very Low
560408420497,Intermittent,Z,SBA,Low
560412050036,Intermittent,Z,SBA,Very Low
560412070035,Intermittent,Z,SBA,Very Low
56060002,Lumpy,Z,TSB,Very Low
560600028397,Intermittent,Z,SBA,Very Low
560600046685,Intermittent,Z,SBA,Very Low
560600066325,Intermittent,Z,SBA,Very Low
560600098247,Intermittent,Z,SBA,Very Low
560600098594,Intermittent,Z,SBA,Very Low
560600099124,Intermittent,Z,SBA,Very Low
560601135847,Intermittent,Z,SBA,Very Low
560601140041,Intermittent,Z,SBA,Very Low
560601181638,Intermittent,Z,SBA,Very Low
560601240023,Intermittent,Z,SBA,Very Low
560601307440,Lumpy,Z,TSB,Very Low
560601365117,Intermittent,Z,SBA,Very Low
560601365210,Intermittent,Z,SBA,Very Low
560601471320,Intermittent,Z,SBA,Very Low
560601471446,Intermittent,Z,SBA,Very Low
560601596188,Intermittent,Z,SBA,Very Low
560601647378,Intermittent,Z,SBA,Very Low
560601982623,Intermittent,Z,SBA,Very Low
560602423289,Intermittent,Z,SBA,Very Low
560602905521,Lumpy,Z,TSB,Very Low
560602960015,Lumpy,Z,TSB,Very Low
560603050043,Intermittent,Z,SBA,Very Low
560603087327,Erratic,Z,Croston,Medium
560603087492,Intermittent,Z,SBA,Very Low
560603257841,Intermittent,Z,SBA,Very Low
560603406263,Intermittent,Z,SBA,Very Low
560603663314,Lumpy,Z,TSB,Very Low
560603663326,Lumpy,Z,TSB,Very Low
560603670057,Intermittent,Z,SBA,Very Low
560604104140,Lumpy,Z,TSB,Very Low
560604104229,Intermittent,Z,SBA,Very Low
560604185620,Intermittent,Z,SBA,Very Low
560604185631,Lumpy,Z,TSB,Very Low
560604185874,Intermittent,Z,SBA,Very Low
560604186131,Intermittent,Z,SBA,Very Low
560604186143,Lumpy,Z,TSB,Very Low
560604295813,Intermittent,Z,SBA,Very Low
560604296362,Lumpy,Z,TSB,Very Low
560604545830,Intermittent,Z,SBA,Very Low
560604970024,Lumpy,Z,TSB,Very Low
560604970097,Intermittent,Z,SBA,Very Low
560605284574,Intermittent,Z,SBA,Low
560605305127,Intermittent,Z,SBA,Low
560605500088,Intermittent,Z,SBA,Very Low
560605636491,Lumpy,Z,TSB,Very Low
560605790029,Lumpy,Z,TSB,Low
560605830027,Lumpy,Z,TSB,Very Low
560606310027,Intermittent,Z,SBA,Very Low
560606600029,Intermittent,Z,SBA,Very Low
560606610254,Intermittent,Z,SBA,Very Low
560607000034,Lumpy,Z,TSB,Very Low
560607046599,Lumpy,Z,TSB,Very Low
560607080029,Intermittent,Z,SBA,Very Low
560607110101,Lumpy,Z,TSB,Very Low
560609080021,Intermittent,Z,SBA,Very Low
560609080033,Intermittent,Z,SBA,Very Low
560609140066,Intermittent,Z,SBA,Very Low
560609580030,Intermittent,Z,SBA,Low
560609720149,Intermittent,Z,SBA,Very Low
560610480321,Intermittent,Z,SBA,Very Low
560610480333,Intermittent,Z,SBA,Very Low
560610480345,Intermittent,Z,SBA,Very Low
560610600065,Lumpy,Z,TSB,Very Low
560610880130,Intermittent,Z,SBA,Very Low
560611710036,Intermittent,Z,SBA,Very Low
560612520681,Intermittent,Z,SBA,Low
560613020047,Intermittent,Z,SBA,Very Low
560613030028,Intermittent,Z,SBA,Very Low
560613050027,Intermittent,Z,SBA,Very Low
560613610045,Intermittent,Z,SBA,Very Low
560613610057,Intermittent,Z,SBA,Very Low
560613610069,Intermittent,Z,SBA,Very Low
560613610070,Intermittent,Z,SBA,Very Low
560613610082,Intermittent,Z,SBA,Very Low
560623880422,Intermittent,Z,SBA,Very Low
560623880434,Intermittent,Z,SBA,Very Low
560629410026,Intermittent,Z,SBA,Very Low
560800130618,Lumpy,Z,TSB,Very Low
560800130709,Lumpy,Z,TSB,Very Low
560800130801,Lumpy,Z,TSB,Very Low
560800131118,Intermittent,Z,SBA,Very Low
560800150253,Lumpy,Z,TSB,Very Low
560800150400,Intermittent,Z,SBA,Very Low
560800820064,Intermittent,Z,SBA,Very Low
56110029,Intermittent,Z,SBA,Very Low
561183521801,Erratic,Z,Croston,Medium
56119033,Lumpy,Z,TSB,Low
56119537,Lumpy,Z,TSB,Low
561195810069,Intermittent,Z,SBA,Very Low
561196180021,Erratic,Z,Croston,Medium
561196730082,Intermittent,Z,SBA,Very Low
561196730094,Intermittent,Z,SBA,Very Low
561196730150,Intermittent,Z,SBA,Very Low
561300651264,Intermittent,Z,SBA,Very Low
561300652270,Intermittent,Z,SBA,Very Low
561300652281,Intermittent,Z,SBA,Very Low
561300652293,Intermittent,Z,SBA,Very Low
561300652300,Intermittent,Z,SBA,Very Low
561300652311,Intermittent,Z,SBA,Very Low
561300672279,Intermittent,Z,SBA,Very Low
561300850030,Intermittent,Z,SBA,Very Low
561300961344,Lumpy,Z,TSB,Very Low
561301300025,Intermittent,Z,SBA,Very Low
561302440049,Intermittent,Z,SBA,Very Low
561303240020,Intermittent,Z,SBA,Very Low
561548500026,Intermittent,Z,SBA,Very Low
56160010,Intermittent,Z,SBA,Very Low
56160100,Lumpy,Z,TSB,Very Low
561620290801,Lumpy,Z,TSB,Very Low
561620291568,Erratic,Z,Croston,Low
56163034,Intermittent,Z,SBA,Very Low
561800840049,Intermittent,Z,SBA,Very Low
561800850031,Intermittent,Z,SBA,Very Low
561800850043,Intermittent,Z,SBA,Very Low
562200010107,Lumpy,Z,TSB,Low
562200010272,Intermittent,Z,SBA,Low
562205030091,Intermittent,Z,SBA,Very Low
56220509,Lumpy,Z,TSB,Very Low
563000011681,Smooth,Y,SES/Holt,Medium
563000011784,Intermittent,Z,SBA,Very Low
563000011899,Lumpy,Z,TSB,Very Low
563000014256,Lumpy,Z,TSB,Low
563000014475,Lumpy,Z,TSB,Very Low
563000041030,Intermittent,Z,SBA,Very Low
563000041041,Intermittent,Z,SBA,Very Low
563000200301,Intermittent,Z,SBA,Low
563000220026,Lumpy,Z,TSB,Very Low
563003040047,Intermittent,Z,SBA,Very Low
563003040059,Lumpy,Z,TSB,Very Low
56301571,Lumpy,Z,TSB,Low
56301704,Lumpy,Z,TSB,Very Low
563045770362,Lumpy,Z,TSB,Very Low
563045770386,Lumpy,Z,TSB,Very Low
563045770398,Lumpy,Z,TSB,Very Low
563045831351,Lumpy,Z,TSB,Very Low
563045831600,Intermittent,Z,SBA,Low
563045831673,Lumpy,Z,TSB,Low
563045831843,Intermittent,Y,SBA,Low
563045832940,Lumpy,Z,TSB,Very Low
563045833177,Intermittent,Z,SBA,Very Low
563045841289,Erratic,Z,Croston,Medium
563045881664,Lumpy,Z,TSB,Medium
563046150136,Lumpy,Z,TSB,Medium
563046150185,Lumpy,Z,TSB,Medium
563046660023,Lumpy,Z,TSB,Very Low
563047180021,Intermittent,Z,SBA,Medium
563047180100,Intermittent,Z,SBA,Very Low
564200100052,Lumpy,Z,TSB,Low
564200100064,Lumpy,Z,TSB,Low
564400020027,Lumpy,Z,TSB,Very Low
56450217,Lumpy,Z,TSB,Medium
56450229,Erratic,Y,Croston,High
56451027,Erratic,Z,Croston,Medium
