PL_Code,Description,Business_Unit,Criticality_Class,Forecast_Method,Forecast_Annual,Lead_Time_Days,Demand_STD,Service_Level,Z_Value,Safety_Stock
539897071045,"High Density Polyethylene Pipes (HDPE) of 110mm outer dia, 10mm wall thickness as per specification....",MAS,Non-Critical,TSB,8819.2,171.0,668.5971,0.85,1.0364,1642.48
539810200048,FIT & FORGET LEAD WIRE 1.5 MTR 4 MM DIA,MAS,Non-Critical,TSB,1219.86,618.0,339.4344,0.85,1.0364,1585.21
539825241013,GI pipe 100 mm dia 4.5mm thick,MAS,Critical,TSB,4904.08,123.5,461.682,0.95,1.6449,1529.68
539880410093,Modular Terminal Block of 2.5 sqmm 2IN 2OUT Type Disconnect type,MAS,Non-Critical,TSB,3991.62,206.0,428.8144,0.85,1.0364,1156.22
500500680030,HALF SPLIT DWC PIPE,MAS,Non-Critical,SBA,3954.59,40.0,889.8852,0.85,1.0364,1057.31
405000010983,GI WIRE 8 SWG (4mm dia),MAS,Non-Critical,TSB,2470.8,187.0,408.2293,0.85,1.0364,1048.73
539896390039,Supply of PVC indoor cable 1x24x1 mm dia having colour coding of insulation of inner core shall be s....,MAS,Critical,TSB,618.75,318.0,191.862,0.95,1.6449,1020.06
910100820060,Aluminum sheet of Thick minimum 0.3mm,MAS,Non-Critical,SBA,5700.0,474.0,242.5356,0.85,1.0364,991.98
56509388,TERMINAL BLOCK   MADE OF PBT 60MM TO RDSO DRG NO:SA23745 (ALT-5)TO SPECN IRS : S-75/2006 AMENDMENT .....,MAS,Critical,TSB,3196.6,97.0,335.1374,0.95,1.6449,984.08
539811150030,FUSE ND 1 AMPS,MAS,Critical,TSB,271.42,98.0,314.9069,0.95,1.6449,929.43
539849380013,TAPPER PIN FOR AFTC 12MM,MAS,Non-Critical,TSB,1466.6,174.0,351.4617,0.85,1.0364,870.94
56982252,INSULATION FOR STRETCHER BAR AS PER SPECIFICATION IRS.S.40-84 (Complete Set),MAS,Critical,TSB,947.08,102.0,284.7477,0.95,1.6449,857.4
501000263740,GI Pipe 50mm Dia 3.65mm Thick,MAS,Critical,TSB,344.17,282.0,168.4468,0.95,1.6449,843.35
569003540050,FIRE ALARM HEAT AND SMOKE MULTI SENSOR AS PER RDSO /SPN/217/2018 VER-2.0,MAS,Critical,TSB,288.5,668.0,107.7337,0.95,1.6449,830.16
569034910069,Cable Protection Tube (Altpro Make),MAS,Critical,SBA,9712.8,209.0,190.513,0.95,1.6449,821.15
549006110030,Earth Electrode with Acessoried As Per Drawing No. SG/SN/02/13,MAS,Critical,TSB,371.87,288.0,160.5091,0.95,1.6449,812.12
56110029,CABLE PVC INSULATED ARMOURED UNSCREENED UNDERGROUND POWER CABLE 3C X 10 SQ.MM,MAS,Critical,SBA,4682.99,12.5,709.2409,0.95,1.6449,747.6
539811130029,FUSE ND 2 Amps,MAS,Critical,TSB,1547.76,75.0,285.503,0.95,1.6449,737.16
539810221015,Jacketed wire Rope 3.6 Mtrs 6mm dia,MAS,Non-Critical,TSB,50.43,618.0,144.9721,0.85,1.0364,677.04
539810200024,FIT & FORGET LEAD WIRE 4 MTRS 4 MM DIA,MAS,Non-Critical,TSB,530.04,311.5,200.1525,0.85,1.0364,663.63
795100540055,ELECTRICAL SAFETY SHOES,MAS,Non-Critical,TSB,3049.86,160.0,275.2613,0.85,1.0364,654.1
539810160026,Fit & Forget Lead wire 5 Mtrs 4 mm dia,MAS,Non-Critical,TSB,251.05,420.0,169.2265,0.85,1.0364,651.52
561620291568,TRACK FEED RESISTANCE 0-30 OHMS,MAS,Critical,Croston,674.02,91.0,216.1254,0.95,1.6449,614.68
539820980099,"Polyester Rain coat with Cap, Pant and Reflective tape",MAS,Non-Critical,TSB,514.88,305.0,160.0962,0.85,1.0364,525.25
795900190130,JUNGLE HAT,MAS,Non-Critical,TSB,2604.06,111.0,250.3002,0.85,1.0364,495.4
569060390045,Weather proof Rain protection cover for 4 Aspect IRS Type CLS unit,MAS,Non-Critical,SBA,5700.0,247.5,166.6667,0.85,1.0364,492.58
539851110029,Fuse block (without ND Fuse) PBT as RDSO specn. No. IRS:S-75/2006(Rev. 2) drg No. SA-23748 (Alt. 4).,MAS,Critical,TSB,1341.43,99.0,163.0421,0.95,1.6449,483.66
569903410020,Earthenhancement compound. The materialshould conform to the requirements of IEC 62561-7. (Digging ....,MAS,Non-Critical,SBA,651.43,342.0,133.3333,0.85,1.0364,463.22
560600098594,PBT terminals 25mm/ 60mm centre and PBT Fuse blocks with necessary inspection as per specification/ ....,MAS,Critical,SBA,381.1,106.0,148.9717,0.95,1.6449,457.28
569004570074,Weather proof Rain protection cover for 2 Aspect IRS Type CLS unit,MAS,Non-Critical,TSB,2422.1,247.5,153.9774,0.85,1.0364,455.07
565099844849,FUSE ND 4 Amps,MAS,Non-Critical,TSB,1225.37,75.0,265.4708,0.85,1.0364,431.9
462100771569,Copper tape of Size 25mm x 3mm,MAS,Non-Critical,TSB,797.41,170.0,153.1897,0.85,1.0364,375.22
56500142,RELAY QNA1 ACI 8F/8B,MAS,Critical,Croston,1759.98,121.0,114.3515,0.95,1.6449,375.02
563045841289,Gauge Tie Plate Insulation Complete Set,MAS,Non-Critical,Croston,1086.39,82.0,218.4449,0.85,1.0364,371.61
56502606,FUSE NON DETERIORATING TYPE TO RDSO SPECN NO.IRS-S.78/92 OR LATEST CARTRIDGE TYPE WITH CYLINDRICAL C....,MAS,Critical,TSB,394.36,72.5,142.9375,0.95,1.6449,362.86
50540324,LOW MAINTENANCE LEAD ACID  STATIONARY SECONDARY CELLS  2V/80AH CAPACITY AT  10 HRS RATE OF DISCHARGE....,MAS,Critical,Croston,2466.12,47.0,170.586,0.95,1.6449,348.67
556302890025,FIT & FORGET BOND WIRE 1.5 Mtrs 4mm dia,MAS,Non-Critical,TSB,222.28,437.5,84.7294,0.85,1.0364,332.94
539805046570,CRANK HANDLE FOR IRS POINT MACHINE,MAS,Non-Critical,TSB,241.25,128.0,149.9258,0.85,1.0364,318.65
539821910020,L Bracket Insulation (Sets) Nylon,MAS,Non-Critical,TSB,493.13,82.0,186.1993,0.85,1.0364,316.75
539844530094,MS clamp with GI coated - a) Angle 75x75x6x980 mm length b) Angle 50x50x6x350 mm - 2 Nos c) 25x25x6 ....,MAS,Non-Critical,SBA,5700.0,181.0,121.2678,0.85,1.0364,306.49
539849150019,EWS LOCK (1 KEY FOR 10 LOCKS),MAS,Non-Critical,TSB,461.83,364.0,85.1779,0.85,1.0364,305.29
539802239713,25 mm Conduit PVC Pipe as per RDSO /SPN/217/2018 ver - 2 -D1 With accessories,MAS,Non-Critical,TSB,651.69,229.5,107.256,0.85,1.0364,305.25
402500150037,PVC Copper Cable 25 Sqmm Used for the DDTC 24 ALSTOM Make AFTC @ ABC Connection.,MAS,Critical,TSB,246.83,228.0,66.7891,0.95,1.6449,300.67
565094316200,Electronic/ RFID Cable Route Marker,MAS,Non-Critical,TSB,330.81,215.0,108.4166,0.85,1.0364,298.64
83041849,PAPER CARBON PENCIL 20.5 X 33 CM BLUE COLOUR SIMILAR TO KORES SAPPHIRE BRAND IS. 3450/1976.,MAS,Non-Critical,SBA,5700.0,437.0,70.014,0.85,1.0364,274.96
569005120027,FIRE ALARM FAULT ISOLATOR WITH BACK BOX AS PER RDSO/SPN/217/2018-VER 2.0,MAS,Critical,TSB,62.66,668.0,34.1421,0.95,1.6449,263.09
56468052,"YELLOW aspect Main LED signal, 110 V AC Retrofitable in existing CLS Housing and compatible with AC ....",MAS,Critical,Croston,309.94,52.0,120.4108,0.95,1.6449,258.87
72207413,"DRILL TWIST H.S.S. STRAIGHT SHANK JOBBERS"" 7.2 MM TO IS: 5101/1969, 5099/1983.",MAS,Non-Critical,Croston,1082.64,101.0,124.3068,0.85,1.0364,234.69
560603087327,RELAY LED ECR QECX-61 [4F/4B],MAS,Critical,Croston,553.0,65.0,88.8907,0.95,1.6449,213.67
539812690020,INSULATION FOR D BRACKET (Sets) NYLON,MAS,Non-Critical,TSB,171.35,83.0,122.7128,0.85,1.0364,210.02
861600960026,FIRE ALARM ANALOGUE ADDRESSABLE AND RESETTABLE MANUAL CALL POINT WITH BACK BOX  AS PER RDSO/SPN/217/....,MAS,Critical,TSB,163.04,367.0,32.7289,0.95,1.6449,186.93
56468039,"RED ASPECT MAIN LED SIGNAL, 110V AC RETROFITTABLE IN EXISTING CLS HOUSING AND COMPATIBLE WITH AC LED....",MAS,Critical,Croston,244.53,63.5,74.3519,0.95,1.6449,176.65
79315604,"INDUSTRIAL SAFETY FOOTWEAR CONFIRMING TO IS: 15298 PART 2, 2002 TO CLASSIFICATION I, DESIGN 'A' FOR ....",MAS,Non-Critical,TSB,69.88,80.0,103.7337,0.85,1.0364,174.3
56468040,"GREENaspect Main LED signal, 110 V AC Retrofitable in existing CLS Housing and compatible with AC LE....",MAS,Critical,Croston,189.73,83.0,62.7899,0.95,1.6449,170.55
56502540,FUSE NON DETERIORATING TYPE TO RDSO SPECN NO.78/92 OR LATEST CARTRIDGE TYPE WITH CYLINDRICAL CAP 2 X....,MAS,Critical,TSB,794.26,29.0,104.7037,0.95,1.6449,168.11
551200012269,Springs in set for KEY LOCK E-TYPE One Set Consisting of :- 1) Tumbler Spring to Drg No.CWM 02806- 3....,MAS,Non-Critical,SBA,449.47,162.0,63.8684,0.85,1.0364,152.71
50541523,LOW MAINTENANCE LEAD ACID STATIONARY SECONDARY CELLS 2V /120 AH   TO SPECIFICATION.IRS:S-88/2004 or ....,MAS,Critical,TSB,212.25,45.5,75.466,0.95,1.6449,151.77
563046150136,Ground Connection TWS Insulation Set as per IRS S40/84 for 220mm IRS Type Point Machine,MAS,Critical,TSB,257.6,519.0,22.2672,0.95,1.6449,151.24
725804740138,Single Piece Spring Inserted Reusable Seize nut of size (Size M-16) Lock Nut M-016 Specifications: M....,MAS,Non-Critical,SBA,1710.0,45.0,116.1895,0.85,1.0364,146.42
539812601022,Mainteners Head Lamp (LED),MAS,Non-Critical,TSB,176.06,346.0,41.2284,0.85,1.0364,144.07
539812840016,CHOKE B TYPE,MAS,Critical,TSB,347.62,103.0,45.6218,0.95,1.6449,138.04
539810200050,FIT & FORGET BOND WIRE 2 MTRS 4MM DIA,MAS,Non-Critical,TSB,767.01,49.0,102.3355,0.85,1.0364,134.57
725804740126,Single Piece Spring Inserted Reusable Seize nut of size (Size M-14) Lock Nut M-014 Specifications: M....,MAS,Non-Critical,SBA,1520.0,46.0,103.2796,0.85,1.0364,131.59
50550081,LOW MAINTENANCE LEAD ACID STATIONARY SECONDARY CELLS 2V/ 200AH CAPACITY  AT 10 HRS. RATE OF DISCHARG....,MAS,Critical,TSB,976.52,21.0,94.5045,0.95,1.6449,129.12
560602960015,"Electrolytic Condensor 50V DC-5000 Mfd , Make Keltron, Samwha, Panasonic only FIrm offer:Make Keltro....",MAS,Non-Critical,TSB,556.8,33.0,119.4651,0.85,1.0364,128.92
560605830027,Condenser 2200 MFD 50V,MAS,Non-Critical,TSB,101.73,33.0,117.4115,0.85,1.0364,126.71
565197991932,Inlight High Visibility Warning Clothing Waist Coat Fluorescent Orange - Red (Type - 2),MAS,Non-Critical,TSB,1358.37,38.0,105.8269,0.85,1.0364,122.55
56468027,ROUTE LED SIGNAL LIGHTING UNIT 100V AC RE-PROFITABLE IN EXISTING CLS HOUSING AND COMPATIBLE WITH AC ....,MAS,Critical,Croston,272.61,67.0,49.501,0.95,1.6449,120.8
569070440033,Three Point Safety nut with bolt and socket for Ground Connection 220mm Stroke 1)Multi Point Trunca....,MAS,Non-Critical,Croston,354.02,234.5,41.6939,0.85,1.0364,119.94
549801610122,TRACK FEED BATTERY CHARGERS 110VAC/2-8VDC/10Amps,MAS,Critical,Croston,441.13,86.0,41.6697,0.95,1.6449,115.21
56985800,ELECTRONIC FAIL SAFE TIMER 60 SECONDS,MAS,Critical,TSB,17.32,382.0,19.6465,0.95,1.6449,114.48
539897500850,GI pipe 80mm conforming to IS:1239 heavy class with coupler,MAS,Non-Critical,SBA,1140.0,250.0,37.8362,0.85,1.0364,112.39
539827750105,FIT & FORGET BOND WIRE 4 MTRS 4MM DIA,MAS,Non-Critical,SBA,1200.48,117.0,55.2867,0.85,1.0364,112.34
56508116,RELAY QN1 8F/8B PLUG IN TYPE,MAS,Critical,Croston,797.54,33.0,63.667,0.95,1.6449,109.04
725804740114,Single Piece Spring Inserted Reusable Seize nut of size (Size M-12) Lock Nut M-012 Specifications: M....,MAS,Non-Critical,SBA,1140.0,33.0,100.0,0.85,1.0364,107.92
560402890534,Rail Wheel Sensors ZK24-2 (Altpro Make),MAS,Critical,TSB,227.63,185.0,26.5637,0.95,1.6449,107.72
560403020365,Front Panel VUR-P with Lightening Protection (Altpro make),MAS,Critical,SBA,1254.0,209.0,24.5967,0.95,1.6449,106.02
560403020389,Sensor Shield Left & Right for rail type UIC60 (Altpro Make),MAS,Critical,SBA,1254.0,209.0,24.5967,0.95,1.6449,106.02
560403020377,VUR Box (Altpro make),MAS,Critical,SBA,1254.0,209.0,24.5967,0.95,1.6449,106.02
560403020353,Sensor Mounting Bracket (Altpro make),MAS,Critical,SBA,1254.0,209.0,24.5967,0.95,1.6449,106.02
560402860815,VUR Column (Altpro Make),MAS,Critical,SBA,1254.0,209.0,24.5967,0.95,1.6449,106.02
560402860839,Input amplifier Module (UP) Altpro make,MAS,Critical,TSB,255.84,209.0,24.4976,0.95,1.6449,105.59
611600160147,Dr.Fixit Applicator Gun + Silicone Sealant (White/Clear/Black),MAS,Non-Critical,TSB,513.07,197.0,38.5495,0.85,1.0364,101.65
860130141200,CO2 Fire extinguisher 4.5Kg capacity with all fittings and accessories.,MAS,Non-Critical,TSB,72.86,213.5,36.8805,0.85,1.0364,101.24
539821091100,Thermo Shrinkable Cable Joint Kit for  6 Quad Cable,MAS,Critical,TSB,224.57,94.0,33.9254,0.95,1.6449,98.06
569003510057,FIRE ALARM CONTROL MODULE WITH BACKBOX WITH IN BUILT ISOLATOR AS PER RDSO/SPN/217/2018-VER 2.0,MAS,Critical,TSB,55.69,367.0,16.7756,0.95,1.6449,95.82
560601596188,LED 5mm Various Colour with Holder Resistance cable copper coated  for Panels,MAS,Non-Critical,SBA,2280.0,18.0,115.4701,0.85,1.0364,92.03
563046150185,Insulation Set for Ground Connection as per IRS S40/84 for 143mm IRS Type Point Machine,MAS,Critical,TSB,145.57,298.0,17.6706,0.95,1.6449,90.95
551200010789,E -TYPE LOCK,MAS,Critical,TSB,144.45,137.5,25.7996,0.95,1.6449,90.2
528100010050,Condenser 1000 MFD 50V,MAS,Non-Critical,TSB,101.14,33.0,80.5588,0.85,1.0364,86.94
569003530032,FIRE ALARM AUDIO VISUAL ALARM (HOOTER AND STROBE) WITH BACK BOX AS PER RDSO/SPN/217/2018 VER - 2.0,MAS,Critical,TSB,53.66,367.0,14.8908,0.95,1.6449,85.05
560402724117,FRAUSCHER Make MSDAC LINE VERIFICATION BOXLVB-01,MAS,Critical,SBA,71.25,604.0,11.1803,0.95,1.6449,81.92
539836410034,EPOXY GEL COAT RED,MAS,Non-Critical,TSB,366.87,96.0,44.067,0.85,1.0364,81.11
539811281019,"AFTC Lead wire for the use from TU/TCU/ETU to rail connectivity, consist to long lead wire made of 5....",MAS,Non-Critical,TSB,318.03,68.0,52.1442,0.85,1.0364,80.78
409002561998,Cable PVC Wire Coil 3/20 Copper,MAS,Critical,Croston,51.87,190.0,19.502,0.95,1.6449,80.15
539836000026,Retro reflective Arrow Marker,MAS,Non-Critical,TSB,111.66,131.0,35.2029,0.85,1.0364,75.69
569900780080,FUSE terminal block with LED indication up to 2.5sq.mm screw type 1 IN 1 OUT,MAS,Non-Critical,TSB,72.03,132.0,34.8849,0.85,1.0364,75.29
469062580055,RELEASED CATENARY WIRE 65 sqmm,MAS,Non-Critical,SBA,757.83,44.0,59.7592,0.85,1.0364,74.47
56450229,"RELAY AC IMMUNE PLUG IN TYPE STYLE QTA2/UTA2 CONFORMING TO BRS - 939A,BRS.966 (APPENDIX F-21) & IRS.....",MAS,Critical,Croston,406.73,51.0,34.4689,0.95,1.6449,73.39
569003520038,FIRE ALARM EOL AS PER RDSO/SPN/217/2018/VER - 2,MAS,Critical,TSB,26.04,668.0,9.4251,0.95,1.6449,72.63
56462050,AC SHUNT SIGNAL (LED) WITH INBUILT CURRENT REGULATOR WITH RDSO INSPECTION. RDSO SPE. NO. RDSO/SPN/15....,MAS,Critical,Croston,234.11,70.5,28.783,0.95,1.6449,72.05
567900058715,RELAY QNA1K (6F-6B) WITH ACCESSORIES,MAS,Critical,TSB,90.1,668.0,9.2731,0.95,1.6449,71.46
539844530070,Bridge Clamp Assembly (Galvanized),MAS,Non-Critical,TSB,98.38,304.5,21.4242,0.85,1.0364,70.23
569003580035,FIRE ALARM ZONE INTERFACE MODULE WITH IN BUILT ISOLATOR AS PER RDSO/SPN/217/2018-VER 2,MAS,Critical,TSB,69.59,367.0,11.6519,0.95,1.6449,66.55
563000011681,Ground connection for 220mm stroke point machine,MAS,Critical,SES/Holt,70.15,365.5,10.8108,0.95,1.6449,61.62
56450217,RELAYS -SPECIAL  TYPE- METAL TO  CARBON -QSPAI- CONFIRMATION SPECN. BRS.933A.,MAS,Critical,TSB,220.05,119.5,18.602,0.95,1.6449,60.63
556302870142,Jacketed wire Rope  5.1 Mtrs 6mm dia,MAS,Non-Critical,SBA,732.5,618.0,12.4745,0.85,1.0364,58.26
539896580138,Isolation Transformer 600:470 ohms as per RDSO Spec. No. IRS:TC/76-2000 with Amendment 1 or latest.,MAS,Non-Critical,TSB,157.48,196.0,22.1299,0.85,1.0364,58.2
565198792645,Rotary Key Transmitter (RKT),MAS,Critical,TSB,112.94,404.0,9.6208,0.95,1.6449,57.65
560402912311,Lightening Protection Board (ZAG2Z) Altpro make,MAS,Critical,TSB,102.72,209.0,12.9869,0.95,1.6449,55.98
56301571,ROTARY TYPE  ELECTRICAL POINT MACHINE IRS 143MM STROKE,MAS,Critical,TSB,16.93,274.0,11.2801,0.95,1.6449,55.67
569003010085,FIRE ALARM NETWORKABLE SINGLE LOOP ADDRESSABLE FIRE ALARM CONTROL PANEL AS PER RDSO/SPN/217/2018-VER....,MAS,Critical,TSB,42.19,367.0,9.6655,0.95,1.6449,55.21
569003010073,FIRE ALARM ANALOGUE CONTROLLER FOR LHS CABLE AS PER RDSO/SPN/217/2018/ Ver - 2,MAS,Critical,TSB,41.08,367.0,9.5397,0.95,1.6449,54.49
561548500026,BATTERY SECONDARY CELLS 300AH/2V UNCHARGED,MAS,Critical,SBA,151.37,71.0,21.1936,0.95,1.6449,53.24
563045831600,IRS Point Machine 220 mm Stroke (IP 67 WITH 400 Volt AC Immunity),MAS,Critical,SBA,118.41,315.5,10.0208,0.95,1.6449,53.07
569003560048,FIRE ALARM RELAY MODULE WITH BACK BOX AND ACESSORIES AS PER RDSO/SPN/217/2018-VER 2.0,MAS,Critical,TSB,41.61,367.0,9.068,0.95,1.6449,51.79
569003530044,FIRE ALARM GSM INTERFACE MODULE FOR INTERFACING WITH CONTROL PANEL AS PER RDSO/SPN/217/2018-VER 3.0 ....,MAS,Critical,TSB,41.42,367.0,9.0672,0.95,1.6449,51.79
569894550039,"GLASS FUSE LINKS OF 400MA,1.6A,2A,4A,6.3A & 10A CAPACITY",MAS,Non-Critical,SBA,144.34,116.0,25.1447,0.85,1.0364,50.88
539863350028,SPECIAL EARTHING AND BONDING SYSTEM AS PER RDSO SPEC. RDSO/SPN/197/2008 OR LATEST,MAS,Critical,TSB,79.42,105.0,16.4351,0.95,1.6449,50.21
539820860021,RCC CABLE MARKERS AS PER DRAWING No.CSTE/CN/OFC/1,MAS,Non-Critical,TSB,109.5,127.0,23.231,0.85,1.0364,49.18
469041991352,GI Flat of Size 1050X25X3mm to connect all cable armours to earth,MAS,Non-Critical,SBA,456.0,127.0,23.094,0.85,1.0364,48.89
539836000051,Retro Reflective C marker,MAS,Non-Critical,TSB,71.33,161.0,20.2987,0.85,1.0364,48.39
56301704,ROTARY LOCKING TYPE POINT MACHINE GROUND CONNECTION,MAS,Critical,TSB,11.54,269.0,9.7595,0.95,1.6449,47.72
539844210026,CT Box Sheet Iron MS,MAS,Non-Critical,SBA,189.18,191.0,18.2095,0.85,1.0364,47.28
563045881664,ROTARY LOCKING TYPE POINT MACHINE GROUND CONNECTION,MAS,Critical,TSB,195.71,35.0,25.8577,0.95,1.6449,45.61
544100020290,Colour Light Signal Post 4.5 mts Length,MAS,Critical,TSB,68.13,117.0,14.1406,0.95,1.6449,45.6
56468064,- CALLING ON LED SIGNAL LIGHTING UNIT 100VAC RE-PROFITABLE IN EXISTING CLS HOUSING AND COMPATIBLE WI....,MAS,Critical,TSB,80.96,59.0,19.8719,0.95,1.6449,45.51
56500464,APPARATUS CASE HALF GRS TYPE,MAS,Critical,TSB,114.29,147.0,12.21,0.95,1.6449,44.14
543500010409,Ladder with platform and shoes to suit CLS pole 4.6 mtrs,MAS,Critical,TSB,26.59,117.0,13.3854,0.95,1.6449,43.17
539810200036,FIT & FORGET LEAD WIRE 3 MTR 4 MM DIA,MAS,Non-Critical,TSB,1147.46,2.0,156.1276,0.85,1.0364,41.48
564682030017,"SIGNALS, COLOUR LIGHT, MULTI UNIT TYPE, SEARCH LIGHT TYPE.",MAS,Critical,TSB,8.8,668.0,5.3836,0.95,1.6449,41.48
539850100016,EXIDE 12 Volt Volt Lead Acid Battery,MAS,Non-Critical,TSB,36.86,73.0,25.3834,0.85,1.0364,40.74
563045831843,Galvanized Ground Connection for 220mm Point machine with Clamp Point Lockbar Assembly,MAS,Critical,SBA,114.54,233.0,8.8968,0.95,1.6449,40.49
560610600065,Non Flammable Electronic Contact Cleaner,MAS,Non-Critical,TSB,106.58,49.0,30.4618,0.85,1.0364,40.06
543100020163,Surface base to suit CLS Signal pole 140MM dia,MAS,Critical,Croston,84.27,96.0,13.1709,0.95,1.6449,38.47
869037530032,"Unbranded Medium strength Thread Locking Adhesive, Size 50 milliliter",MAS,Non-Critical,TSB,96.12,76.0,23.3792,0.85,1.0364,38.29
539896830106,Safety Fuse Terminal Block with IP67 Enclosure for 8 Channel ELD Specifications of Terminal Fuse Blo....,MAS,Non-Critical,TSB,33.37,318.0,10.3921,0.85,1.0364,34.81
721437670023,Wrench Type Socket for Multi Point Truncated Conical Safety Nut Assembly,MAS,Non-Critical,Croston,141.21,234.5,12.0805,0.85,1.0364,34.75
721339354568,4 Pin Key with 3/8 Reversible Ratchet Handle,MAS,Non-Critical,Croston,141.21,234.5,12.0805,0.85,1.0364,34.75
565198382364,"Retro Reflactive A"" Marker",MAS,Non-Critical,SBA,90.2,467.0,8.4024,0.85,1.0364,34.11
56500026,APPRATUS CASE GRS TYPE,MAS,Critical,TSB,96.98,132.0,9.9524,0.95,1.6449,34.09
569003010103,FIRE ALARM MULTI SENSOR DETECTOR DUAL OPTICAL/THERMAL WITH ROTARIES AND BACK BOXES INCLUDING BASE,MAS,Critical,SBA,134.8,100.0,11.3639,0.95,1.6449,33.88
56502576,"FUSE NON DETERIORATING TYPE TO RDSO SPECN NO.IRS-S.78/92 CARTRIDGE TYPE WITH CYLINDER CAP 2 X 9/16"" ....",MAS,Critical,TSB,547.77,1.0,110.284,0.95,1.6449,32.88
77093306,PAINT ALUMINIUM FOR GENERAL PURPOSE IN DUAL CONTAINER TO IS:2339/1963 (reaffirmed 2009) Amdt. No.4 o....,MAS,Non-Critical,TSB,24.21,215.0,11.8769,0.85,1.0364,32.72
