PL_Code,Lead_Time_Days,Lead_Time_Source,Observations,Median_LT,P90_LT,Std_LT,Confidence
539812073467,499.0,PO_Date,1,499.0,499.0,0.0,Low
539812480024,491.0,PO_Date,1,491.0,491.0,0.0,Low
539812480036,482.0,PO_Date,1,482.0,482.0,0.0,Low
539812480048,482.0,PO_Date,1,482.0,482.0,0.0,Low
539812601022,346.0,Requisition_Date,12,346.0,618.0,237.14,Medium
539812641044,0.0,Requisition_Date,1,0.0,0.0,0.0,Low
539812690020,83.0,PO_Date,2,83.0,98.2,26.87,Low
539812840016,103.0,PO_Date,15,103.0,252.4,96.81,Medium
539813440022,210.0,PO_Date,3,210.0,576.4,290.29,Low
539813440710,265.0,PO_Date,6,265.0,363.5,92.55,Medium
539813442018,213.0,PO_Date,1,213.0,213.0,0.0,Low
539813960030,322.5,Requisition_Date,4,322.5,611.1,332.15,Low
539813960169,331.0,Requisition_Date,1,331.0,331.0,0.0,Low
539814380288,49.5,PO_Date,2,49.5,50.7,2.12,Low
539814380586,170.0,PO_Date,1,170.0,170.0,0.0,Low
539814382170,147.0,PO_Date,3,147.0,147.0,0.0,Low
539814460065,0.0,Requisition_Date,1,0.0,0.0,0.0,Low
539816700018,118.0,PO_Date,4,118.0,509.6,279.62,Low
539816761032,224.5,PO_Date,2,224.5,366.5,251.02,Low
539817320023,50.0,PO_Date,1,50.0,50.0,0.0,Low
539817320060,341.0,PO_Date,1,341.0,341.0,0.0,Low
539817430072,57.0,PO_Date,1,57.0,57.0,0.0,Low
539818371075,11.0,Requisition_Date,1,11.0,11.0,0.0,Low
539819210180,210.0,PO_Date,1,210.0,210.0,0.0,Low
539820420082,90.0,PO_Date,1,90.0,90.0,0.0,Low
539820860021,127.0,PO_Date,3,127.0,540.6,318.58,Low
539820980087,611.0,PO_Date,1,611.0,611.0,0.0,Low
539820980099,305.0,PO_Date,3,305.0,305.0,101.04,Low
539821090016,227.0,PO_Date,1,227.0,227.0,0.0,Low
539821091100,94.0,PO_Date,8,94.0,154.1,50.21,Medium
539821091215,201.0,PO_Date,2,201.0,276.2,132.94,Low
539821910020,82.0,PO_Date,3,82.0,98.0,11.55,Low
539822000011,196.0,Requisition_Date,1,196.0,196.0,0.0,Low
539823791010,127.0,PO_Date,1,127.0,127.0,0.0,Low
539825241013,123.5,PO_Date,30,123.5,318.6,131.48,High
539825640047,0.0,Requisition_Date,14,0.0,173.9,73.35,Medium
539827750105,117.0,Requisition_Date,1,117.0,117.0,0.0,Low
539828400035,1.0,Requisition_Date,1,1.0,1.0,0.0,Low
539829410012,196.0,Requisition_Date,1,196.0,196.0,0.0,Low
539829420029,196.0,Requisition_Date,1,196.0,196.0,0.0,Low
539829430011,196.0,Requisition_Date,1,196.0,196.0,0.0,Low
539829440028,196.0,Requisition_Date,1,196.0,196.0,0.0,Low
539829480026,79.0,PO_Date,1,79.0,79.0,0.0,Low
539829480038,79.0,PO_Date,1,79.0,79.0,0.0,Low
539829490019,196.0,Requisition_Date,1,196.0,196.0,0.0,Low
539829500013,196.0,Requisition_Date,1,196.0,196.0,0.0,Low
539829520024,196.0,Requisition_Date,1,196.0,196.0,0.0,Low
539829580021,33.0,PO_Date,1,33.0,33.0,0.0,Low
539829590166,179.0,PO_Date,1,179.0,179.0,0.0,Low
539829590180,188.0,PO_Date,3,188.0,332.0,124.5,Low
539830190012,196.0,Requisition_Date,1,196.0,196.0,0.0,Low
539830200017,196.0,Requisition_Date,1,196.0,196.0,0.0,Low
539830210011,195.0,Requisition_Date,1,195.0,195.0,0.0,Low
539830920038,296.0,PO_Date,1,296.0,296.0,0.0,Low
539830920075,296.0,PO_Date,1,296.0,296.0,0.0,Low
539830920087,296.0,PO_Date,1,296.0,296.0,0.0,Low
539830920117,296.0,PO_Date,1,296.0,296.0,0.0,Low
539831440097,33.0,PO_Date,1,33.0,33.0,0.0,Low
539831871011,103.0,PO_Date,1,103.0,103.0,0.0,Low
539834880035,618.0,Requisition_Date,1,618.0,618.0,0.0,Low
539834880047,618.0,Requisition_Date,1,618.0,618.0,0.0,Low
539834880059,94.0,PO_Date,1,94.0,94.0,0.0,Low
539834880084,0.0,Requisition_Date,2,0.0,0.0,0.0,Low
539834880102,0.0,Requisition_Date,3,0.0,0.0,0.0,Low
539834880138,0.0,Requisition_Date,1,0.0,0.0,0.0,Low
539835220092,72.5,PO_Date,8,72.5,93.8,27.65,Medium
539835220262,353.0,Requisition_Date,2,353.0,459.4,188.09,Low
539836000026,131.0,Requisition_Date,1,131.0,131.0,0.0,Low
539836000038,124.0,Requisition_Date,2,124.0,129.6,9.9,Low
539836000040,124.0,Requisition_Date,2,124.0,129.6,9.9,Low
539836000051,161.0,Requisition_Date,2,161.0,194.6,59.4,Low
539836410034,96.0,PO_Date,3,96.0,96.0,13.28,Low
539836631014,39.0,PO_Date,4,39.0,481.1,315.55,Low
539836631099,353.0,PO_Date,3,353.0,469.8,215.4,Low
539837611023,11.0,Requisition_Date,1,11.0,11.0,0.0,Low
539838080025,183.0,PO_Date,5,183.0,419.6,184.26,Medium
539838080062,190.5,PO_Date,4,190.5,408.7,192.95,Low
539839010020,14.0,Requisition_Date,2,14.0,14.0,0.0,Low
539843690030,67.0,Requisition_Date,1,67.0,67.0,0.0,Low
539844210026,191.0,Requisition_Date,36,191.0,618.0,234.88,High
539844530070,304.5,Requisition_Date,2,304.5,340.9,64.35,Low
539844530094,181.0,PO_Date,1,181.0,181.0,0.0,Low
539847770031,385.5,PO_Date,2,385.5,611.5,399.52,Low
539849150019,364.0,PO_Date,4,364.0,415.8,88.5,Low
539849380013,174.0,PO_Date,3,174.0,266.8,113.01,Low
539850100016,73.0,PO_Date,2,73.0,87.4,25.46,Low
539850730012,195.0,Requisition_Date,1,195.0,195.0,0.0,Low
539851110029,99.0,PO_Date,39,99.0,664.0,218.33,High
539852990062,9.0,Requisition_Date,3,9.0,9.0,0.0,Low
539859140047,84.0,PO_Date,5,84.0,119.0,29.34,Medium
539861490030,216.0,PO_Date,1,216.0,216.0,0.0,Low
539863160010,0.0,Requisition_Date,5,0.0,0.6,0.45,Medium
539863350028,105.0,PO_Date,11,105.0,188.0,155.44,Medium
539869590130,200.0,PO_Date,1,200.0,200.0,0.0,Low
539875640092,74.0,PO_Date,4,74.0,130.2,49.5,Low
539880100195,79.0,PO_Date,1,79.0,79.0,0.0,Low
539880410093,206.0,PO_Date,8,206.0,542.7,217.21,Medium
539882000027,92.0,PO_Date,2,92.0,120.0,49.5,Low
539882810086,209.0,PO_Date,1,209.0,209.0,0.0,Low
539882840017,210.0,PO_Date,1,210.0,210.0,0.0,Low
539883710233,133.0,PO_Date,1,133.0,133.0,0.0,Low
539883710245,133.0,PO_Date,1,133.0,133.0,0.0,Low
539883712230,131.0,PO_Date,2,131.0,131.0,0.0,Low
539883712242,131.0,PO_Date,5,131.0,131.0,0.0,Medium
539885010196,57.0,PO_Date,1,57.0,57.0,0.0,Low
539885010214,57.0,PO_Date,1,57.0,57.0,0.0,Low
539892130229,461.0,PO_Date,2,461.0,461.0,0.0,Low
539896390039,318.0,PO_Date,1,318.0,318.0,0.0,Low
539896550020,468.0,PO_Date,2,468.0,606.4,244.66,Low
539896580138,196.0,PO_Date,1,196.0,196.0,0.0,Low
539896830106,318.0,PO_Date,1,318.0,318.0,0.0,Low
539897071045,171.0,PO_Date,5,171.0,422.4,196.61,Medium
539897500850,250.0,PO_Date,2,250.0,285.2,62.23,Low
539898330307,102.5,PO_Date,4,102.5,357.3,187.67,Low
539898370044,205.0,Requisition_Date,3,205.0,219.4,29.14,Low
539898480056,84.5,PO_Date,2,84.5,100.9,28.99,Low
542120120050,377.0,PO_Date,1,377.0,377.0,0.0,Low
542223081118,618.0,Requisition_Date,3,618.0,618.0,228.05,Low
542223081155,95.0,Requisition_Date,1,95.0,95.0,0.0,Low
542223081167,245.0,Requisition_Date,13,245.0,387.2,193.91,Medium
542620470036,84.0,PO_Date,5,84.0,206.0,87.0,Medium
542620470127,201.0,PO_Date,5,201.0,237.0,93.64,Medium
543000010147,212.0,Requisition_Date,7,212.0,300.6,148.64,Medium
543100020163,96.0,PO_Date,15,96.0,233.4,157.85,Medium
543500010409,117.0,PO_Date,12,117.0,616.3,221.34,Medium
543500010513,124.0,PO_Date,7,124.0,354.8,213.96,Medium
543500011244,84.0,PO_Date,1,84.0,84.0,0.0,Low
543600010201,88.0,PO_Date,11,88.0,358.0,192.08,Medium
543600010754,88.0,PO_Date,9,88.0,233.2,101.88,Medium
544100020290,117.0,PO_Date,12,117.0,626.0,224.28,Medium
544100020642,124.0,PO_Date,7,124.0,354.8,213.89,Medium
545401070037,1.0,Requisition_Date,17,1.0,178.0,83.63,Medium
549005641775,6.0,Requisition_Date,2,6.0,8.4,4.24,Low
549006091114,11.0,Requisition_Date,1,11.0,11.0,0.0,Low
549006110030,288.0,PO_Date,13,288.0,668.0,248.49,Medium
549006470022,161.0,PO_Date,1,161.0,161.0,0.0,Low
549006530948,668.0,PO_Date,5,668.0,668.0,206.43,Medium
549007201092,3.0,Requisition_Date,1,3.0,3.0,0.0,Low
549007661170,668.0,PO_Date,1,668.0,668.0,0.0,Low
549008310204,123.0,PO_Date,2,123.0,170.2,83.44,Low
549008310216,159.5,PO_Date,2,159.5,235.9,135.06,Low
549012320014,0.0,Requisition_Date,14,0.0,12.0,7.24,Medium
549801610122,86.0,PO_Date,4,86.0,193.5,87.45,Low
551200010789,137.5,PO_Date,4,137.5,305.3,122.36,Low
551200012269,162.0,PO_Date,1,162.0,162.0,0.0,Low
555400960023,99.0,PO_Date,1,99.0,99.0,0.0,Low
556302870142,618.0,Requisition_Date,1,618.0,618.0,0.0,Low
556302890025,437.5,Requisition_Date,2,437.5,581.9,255.27,Low
559002150021,195.0,Requisition_Date,1,195.0,195.0,0.0,Low
559003640081,35.0,Requisition_Date,1,35.0,35.0,0.0,Low
559003640111,52.0,PO_Date,1,52.0,52.0,0.0,Low
559003640123,61.0,PO_Date,1,61.0,61.0,0.0,Low
559003640135,61.0,PO_Date,1,61.0,61.0,0.0,Low
560400012175,195.0,Requisition_Date,1,195.0,195.0,0.0,Low
560400024268,193.0,PO_Date,1,193.0,193.0,0.0,Low
560400026514,474.0,PO_Date,1,474.0,474.0,0.0,Low
560400032540,38.0,PO_Date,1,38.0,38.0,0.0,Low
560400211147,302.0,PO_Date,1,302.0,302.0,0.0,Low
560400211329,328.0,PO_Date,2,328.0,434.4,188.09,Low
560400240615,52.0,PO_Date,1,52.0,52.0,0.0,Low
560401100023,604.0,PO_Date,1,604.0,604.0,0.0,Low
560401110090,604.0,PO_Date,1,604.0,604.0,0.0,Low
560402724117,604.0,PO_Date,1,604.0,604.0,0.0,Low
560402822796,52.0,PO_Date,1,52.0,52.0,0.0,Low
560402860578,33.0,PO_Date,1,33.0,33.0,0.0,Low
560402860580,33.0,PO_Date,1,33.0,33.0,0.0,Low
560402860815,209.0,PO_Date,1,209.0,209.0,0.0,Low
560402860839,209.0,PO_Date,3,209.0,294.6,139.16,Low
560402890303,33.0,PO_Date,1,33.0,33.0,0.0,Low
560402890315,33.0,PO_Date,1,33.0,33.0,0.0,Low
560402890534,185.0,PO_Date,2,185.0,185.0,0.0,Low
560402900175,209.0,PO_Date,3,209.0,294.6,141.83,Low
560402911963,33.0,PO_Date,1,33.0,33.0,0.0,Low
560402912165,195.0,Requisition_Date,1,195.0,195.0,0.0,Low
560402912177,195.0,Requisition_Date,1,195.0,195.0,0.0,Low
560402912220,325.0,PO_Date,2,325.0,548.2,394.57,Low
560402912256,95.0,PO_Date,1,95.0,95.0,0.0,Low
560402912270,326.0,PO_Date,2,326.0,548.4,393.15,Low
560402912281,326.0,PO_Date,2,326.0,548.4,393.15,Low
560402912311,209.0,PO_Date,3,209.0,294.6,121.27,Low
560402912323,209.0,PO_Date,1,209.0,209.0,0.0,Low
560402912335,209.0,PO_Date,1,209.0,209.0,0.0,Low
560402912347,209.0,PO_Date,1,209.0,209.0,0.0,Low
560402923527,604.0,PO_Date,1,604.0,604.0,0.0,Low
560403020353,209.0,PO_Date,1,209.0,209.0,0.0,Low
560403020365,209.0,PO_Date,1,209.0,209.0,0.0,Low
560403020377,209.0,PO_Date,1,209.0,209.0,0.0,Low
560403020389,209.0,PO_Date,1,209.0,209.0,0.0,Low
560403161635,262.5,PO_Date,2,262.5,305.3,75.66,Low
560403161647,262.5,PO_Date,2,262.5,305.3,75.66,Low
560403161659,262.5,PO_Date,2,262.5,305.3,75.66,Low
560403161660,209.0,PO_Date,3,209.0,294.6,141.83,Low
560403161672,209.0,PO_Date,1,209.0,209.0,0.0,Low
560403320063,52.0,PO_Date,1,52.0,52.0,0.0,Low
560403610030,92.5,PO_Date,2,92.5,98.5,10.61,Low
560403610077,143.0,PO_Date,1,143.0,143.0,0.0,Low
560403610089,143.0,PO_Date,1,143.0,143.0,0.0,Low
560403680160,618.0,PO_Date,1,618.0,618.0,0.0,Low
560403820199,668.0,PO_Date,1,668.0,668.0,0.0,Low
560403820205,668.0,PO_Date,1,668.0,668.0,0.0,Low
560404050330,604.0,PO_Date,1,604.0,604.0,0.0,Low
560404060115,604.0,PO_Date,1,604.0,604.0,0.0,Low
560404260141,52.0,PO_Date,1,52.0,52.0,0.0,Low
560404662516,195.0,Requisition_Date,1,195.0,195.0,0.0,Low
560405010016,209.0,PO_Date,1,209.0,209.0,0.0,Low
560405150136,209.0,PO_Date,1,209.0,209.0,0.0,Low
560405582322,195.0,Requisition_Date,1,195.0,195.0,0.0,Low
560406180252,46.0,PO_Date,1,46.0,46.0,0.0,Low
560406180264,46.0,PO_Date,1,46.0,46.0,0.0,Low
560406180276,48.0,PO_Date,1,48.0,48.0,0.0,Low
560406200056,127.5,PO_Date,2,127.5,171.9,78.49,Low
560406470047,140.0,PO_Date,2,140.0,174.4,60.81,Low
560406490058,246.5,PO_Date,2,246.5,386.1,246.78,Low
560407090064,52.0,PO_Date,1,52.0,52.0,0.0,Low
560407690031,61.0,PO_Date,1,61.0,61.0,0.0,Low
560408420497,342.0,PO_Date,2,342.0,551.6,370.52,Low
560408420620,604.0,PO_Date,1,604.0,604.0,0.0,Low
560408420631,604.0,PO_Date,1,604.0,604.0,0.0,Low
560412050036,57.0,PO_Date,1,57.0,57.0,0.0,Low
560412070035,57.0,PO_Date,1,57.0,57.0,0.0,Low
560412070047,561.0,PO_Date,1,561.0,561.0,0.0,Low
560412940029,604.0,PO_Date,1,604.0,604.0,0.0,Low
560412960041,604.0,PO_Date,1,604.0,604.0,0.0,Low
560413820032,604.0,PO_Date,1,604.0,604.0,0.0,Low
560414660036,604.0,PO_Date,1,604.0,604.0,0.0,Low
560416370062,604.0,PO_Date,1,604.0,604.0,0.0,Low
560600028397,118.0,PO_Date,1,118.0,118.0,0.0,Low
560600046685,127.0,PO_Date,3,127.0,330.2,156.37,Low
560600046764,132.0,PO_Date,1,132.0,132.0,0.0,Low
560600098594,106.0,PO_Date,5,106.0,404.6,189.46,Medium
560600099124,176.0,PO_Date,1,176.0,176.0,0.0,Low
560601181638,193.0,PO_Date,1,193.0,193.0,0.0,Low
560601307440,170.0,PO_Date,5,170.0,326.2,118.49,Medium
560601365117,132.0,PO_Date,3,132.0,560.8,320.36,Low
560601365210,238.5,PO_Date,2,238.5,352.5,201.53,Low
560601471320,193.0,PO_Date,1,193.0,193.0,0.0,Low
560601471446,193.0,PO_Date,1,193.0,193.0,0.0,Low
560601596188,18.0,Requisition_Date,1,18.0,18.0,0.0,Low
560602905521,7.0,Requisition_Date,3,7.0,24.6,14.0,Low
560602960015,33.0,PO_Date,1,33.0,33.0,0.0,Low
560603087327,65.0,PO_Date,18,65.0,201.8,95.52,Medium
560603257841,474.0,PO_Date,1,474.0,474.0,0.0,Low
560603663314,118.5,PO_Date,2,118.5,125.3,12.02,Low
560603663326,221.5,Requisition_Date,2,221.5,229.1,13.44,Low
560604104140,117.5,PO_Date,2,117.5,135.5,31.82,Low
560604104229,575.5,PO_Date,2,575.5,649.5,130.81,Low
560604185874,3.0,Requisition_Date,1,3.0,3.0,0.0,Low
560604186131,191.0,Requisition_Date,10,191.0,261.0,97.34,Medium
560604186143,49.0,Requisition_Date,8,49.0,141.8,56.12,Medium
560604296362,98.0,PO_Date,3,98.0,100.4,37.85,Low
560604545830,668.0,PO_Date,2,668.0,668.0,0.0,Low
560604970024,75.0,PO_Date,3,75.0,285.4,158.25,Low
560604970097,190.5,PO_Date,6,190.5,453.5,176.89,Medium
560605790029,0.0,Requisition_Date,5,0.0,94.2,70.21,Medium
560605830027,33.0,PO_Date,1,33.0,33.0,0.0,Low
560606610254,668.0,PO_Date,3,668.0,668.0,291.56,Low
560607080029,190.0,PO_Date,1,190.0,190.0,0.0,Low
560607460045,96.0,PO_Date,1,96.0,96.0,0.0,Low
560609140066,75.0,PO_Date,1,75.0,75.0,0.0,Low
560609720149,351.0,PO_Date,2,351.0,395.8,79.2,Low
560610480321,131.0,PO_Date,5,131.0,131.0,32.52,Medium
560610480333,131.0,PO_Date,5,131.0,131.6,6.83,Medium
560610480345,131.0,PO_Date,6,131.0,183.5,44.03,Medium
560610600065,49.0,PO_Date,1,49.0,49.0,0.0,Low
560610880130,193.0,PO_Date,1,193.0,193.0,0.0,Low
560611710036,2.0,Requisition_Date,1,2.0,2.0,0.0,Low
560612520681,102.5,PO_Date,2,102.5,154.1,91.22,Low
560613020047,131.0,PO_Date,5,131.0,131.6,42.78,Medium
560613030028,131.0,PO_Date,5,131.0,131.6,6.83,Medium
560613050027,116.0,PO_Date,1,116.0,116.0,0.0,Low
560613610045,131.0,PO_Date,5,131.0,131.6,6.83,Medium
560613610057,131.0,PO_Date,5,131.0,131.6,6.83,Medium
560613610069,131.0,PO_Date,3,131.0,131.0,8.66,Low
560613610070,116.0,PO_Date,1,116.0,116.0,0.0,Low
560613610082,118.0,PO_Date,1,118.0,118.0,0.0,Low
560618310155,221.0,PO_Date,1,221.0,221.0,0.0,Low
560629410026,209.0,PO_Date,1,209.0,209.0,0.0,Low
560800130709,90.5,PO_Date,2,90.5,110.9,36.06,Low
560800130801,138.0,PO_Date,1,138.0,138.0,0.0,Low
560800150253,99.0,PO_Date,6,99.0,439.0,237.11,Medium
560800820064,158.0,PO_Date,3,158.0,258.0,93.09,Low
56110029,12.5,Requisition_Date,2,12.5,15.3,4.95,Low
561183521801,111.0,PO_Date,5,111.0,405.6,181.48,Medium
56119033,152.0,PO_Date,12,152.0,410.0,133.77,Medium
56119537,67.5,PO_Date,2,67.5,81.5,24.75,Low
561196180021,108.0,PO_Date,24,108.0,301.0,135.01,High
561300052071,33.0,PO_Date,1,33.0,33.0,0.0,Low
561300652270,66.0,PO_Date,1,66.0,66.0,0.0,Low
561300652281,66.0,PO_Date,1,66.0,66.0,0.0,Low
561300652293,66.0,PO_Date,1,66.0,66.0,0.0,Low
561300652300,66.0,PO_Date,1,66.0,66.0,0.0,Low
561300652311,66.0,PO_Date,1,66.0,66.0,0.0,Low
561300850030,331.0,Requisition_Date,1,331.0,331.0,0.0,Low
561300961344,92.5,PO_Date,2,92.5,98.5,10.61,Low
561548500026,71.0,PO_Date,3,71.0,252.6,133.13,Low
561620290801,6.0,Requisition_Date,1,6.0,6.0,0.0,Low
561620291568,91.0,PO_Date,4,91.0,149.4,52.46,Low
56163034,21.0,Requisition_Date,4,21.0,90.8,51.86,Low
561800840049,81.5,PO_Date,6,81.5,109.0,31.67,Medium
561800850031,212.0,Requisition_Date,1,212.0,212.0,0.0,Low
561800850043,81.5,PO_Date,2,81.5,83.5,3.54,Low
561800880035,212.0,Requisition_Date,1,212.0,212.0,0.0,Low
562200010107,88.0,PO_Date,8,88.0,341.8,205.67,Medium
562200010272,82.0,PO_Date,4,82.0,116.9,40.04,Low
562205030091,323.0,PO_Date,1,323.0,323.0,0.0,Low
563000011681,365.5,PO_Date,2,365.5,607.5,427.8,Low
563000011899,367.0,PO_Date,2,367.0,607.8,425.68,Low
563000014256,5.5,Requisition_Date,4,5.5,105.3,71.38,Low
563000014475,206.0,Requisition_Date,3,206.0,308.4,167.44,Low
563000200301,279.0,Requisition_Date,1,279.0,279.0,0.0,Low
563000220026,14.5,Requisition_Date,2,14.5,22.1,13.44,Low
563003040047,8.0,Requisition_Date,4,8.0,68.9,44.21,Low
563003040059,13.0,Requisition_Date,3,13.0,118.6,79.25,Low
56301571,274.0,Requisition_Date,25,274.0,614.4,225.86,High
56301704,269.0,Requisition_Date,15,269.0,526.4,193.82,Medium
563045770386,82.0,Requisition_Date,1,82.0,82.0,0.0,Low
