PL_Code,Description,Movement_Status,Inventory_Aging_Class,Inventory_Value,Operational_ABC,Source_Universe,Inventory_Domain,Business_Unit,Division,Depot,Snapshot_Date,Pipeline_Version
50353603,LIGHT WEIGHT PORTABLE CONTROL TELEPHONE TO SPECN. NO.IRS.TC-78/2000 with Amendment-1..,Active,Active,43819.83,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
50370110,4 WIRE WAY STATION CONTROL TELEPHONE SPECN.NO.IRS:TC-38/97.(Amendment No.1),Active,Active,73005.95,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
503525160026,CONTROL TELEPHONE 2 WIRE,Dead Stock,Dead Stock,0.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
50232319,MAGNETIC TELEPHONE WITH ELECTRO DYNAMIC TRANDUCERS CONFIRMING TO RDSO SPECN.NO.IRS-TC-36/9....,Active,Active,0.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
50231881,ELECTRONIC PUSH BUTTON TELEPHONE (EPBT) CONFIRMING TO TEC SPECN G.R NO: GR/TEL-02/04 SEP02....,Active,Active,34983.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
50231959,ELECTRONIC PUSH BUTTON TELEPHONE (EPBT) INSTRUMENT WITH ONE MAIN AND ONE EXTENSION WITH PO....,Active,Active,36305.1,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
502357760028,TELEPHONE CALLER IDENTIFICATION -CID,Slow Moving,Slow Moving,0.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
539865760039,V.F SIGNALLING TRANSFORMER 1:2,Slow Moving,Very Slow Moving,16342.82,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
539865740314,VOICE LOGGER MASTER TELEPHONE for  ELECTRONIC L.C. GATE,Slow Moving,Slow Moving,0.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
502355360989,VOICE LOGGER SLAVE TELEPHONE,Slow Moving,Slow Moving,0.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
502355360990,VOICE LOGGER POWER SUPPLY UNIT 24V DC,Slow Moving,Slow Moving,0.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
539814840056,TEJAS TJ100 STM1 TRIBUTARY INTERFACE CARD,Dead Stock,Dead Stock,0.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
539801916260,WEBFIL 2W/4W SUBSCRIBER INTERFACE/ FXS CARD,Slow Moving,Very Slow Moving,0.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
539801361018,WEBFIL Exchange Interface card,Slow Moving,Very Slow Moving,728284.2,B,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
501000103553,WEBFIL MUX 64 KBPS G703 DATA CARD,Unknown,Unknown,65342.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
501024510020,WEBFIL 2W/4W E&M INTERFACE CARD (4 CIRCUITS PER CARD),Active,Active,181360.1,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
549005791384,WIPING SOLDER,Unknown,Unknown,94800.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
528700080244,WIRE 3.028,Unknown,Unknown,27720.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
539848730107,SMS ALERT SYSTEMS IN FAILURE TIME,Unknown,Unknown,1023000.0,B,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
509000506870,WIFI ROUTER,Active,Active,7334.88,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
50370080,4 WIRE DTMF WAY STATION EQUIPMENT RDSO SPECIFICATION NO.IRS/TC-60/2007 OR LATEST,Active,Active,8525.36,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
521100120135,LAN Extender,Slow Moving,Very Slow Moving,0.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
539812020037,Horn Speaker 25XT,Dead Stock,Dead Stock,0.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
539833280061,OFC PATCH CORD SC-ST CONNECTOR 3 MTR LENGTH),Slow Moving,Slow Moving,0.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
539844700029,DP BOX 50PAIR KRONE MODULE,Slow Moving,Very Slow Moving,0.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
539801849015,MODEM G703 2 MBPS,Slow Moving,Very Slow Moving,0.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
539801849027,MODEM V35 2 MBPS,Slow Moving,Very Slow Moving,0.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
570108230022,UPS 1 KVA BPE MAKE,Dead Stock,Dead Stock,0.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
539808521015,WIRED CARDIOID MICROPHONE AHUJA AUD 100XLR,Active,Active,0.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
520500451430,INTERCONNECTING CHORD FOR MOTOROLA 25W VHF EQUIPMENT MODEL GM 300,Dead Stock,Dead Stock,0.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
527900312176,4 MP IP Bullet Camera HI FOCUS,Slow Moving,Slow Moving,0.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
539845311045,E1 TO ETHERNET CONVERTER,Dead Stock,Dead Stock,0.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
509044610034,100 pair krone DP with module,Slow Moving,Very Slow Moving,0.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
539809531132,BATTERY MAINTENANCE FREE SEALED 12V/ 100Ah,Slow Moving,Very Slow Moving,0.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
509000422789,Two Way Counter Communication System AHUJA MAKE,Slow Moving,Slow Moving,0.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
561100820029,FIELD SERVICE CABLE,Dead Stock,Dead Stock,0.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
501801220031,AMPLIFIER 350W Public Address (PA)  AHUJA SSA 350,Active,Active,0.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
509000349855,BATTERY MAINTENANCE FREE SEALED 12V/ 65Ah,Slow Moving,Slow Moving,0.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
501300520510,CONTROL TELEPHONE 8 WAY LINE CORD,Dead Stock,Dead Stock,0.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
501027170097,NEC WHITE 24 BUTTON DT 530 PHONE DTK-24D-1P(WH) TEL # BE118999,Dead Stock,Dead Stock,0.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
539802318560,MEDIA CONVERTER SINGLE MODE SINGLE FIBER,Slow Moving,Slow Moving,0.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
570500260144,LG 43UM5N-H 43 inch Standard Signage TV,Active,Monitor,0.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
501027170127,OPEN STAGE 15T DIGITAL PHONE (DKT) SUITABLE FOR SIEMENS HiPath 4000 EXCHANGEMAKE: UNIFY,Dead Stock,Dead Stock,0.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
565198350028,STABILIZER 1KVA,Unknown,Unknown,3026.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
501024520024,WEBFIL NIM CARDS,Active,Active,381715.84,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
501025160027,WEBFIL POWER SUPPLY UNIT-PSU CARD,Active,Active,0.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
501025180026,WEBFIL TRIBUTARY INTERFACE-TRIB CARD,Active,Monitor,0.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
539802648730,INTERNAL HARD DISK DRIVE 6 TB,Dead Stock,Dead Stock,0.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
520504030030,VOLTE ENABLED GSM WLL FCT PHONE,Active,Active,117683.39,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
409005470025,FIBER RACEWAY,Dead Stock,Dead Stock,20000.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
539804531166,CABLE 20 PAIR UG PIJF,Dead Stock,Dead Stock,0.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
539802685427,BATTERY 1.5V SIZE D20 NIPPO MAKE,Dead Stock,Dead Stock,0.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
539801395296,TV SMART LED 49 INCH SONY MAKE,Dead Stock,Dead Stock,0.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
523000600066,"Digital Voice Recorder Model ICD-UX570F, Make - SONY",Dead Stock,Dead Stock,0.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
539832140024,HARD DISK DRIVE INTERNAL 2 TB TOSHIBA,Slow Moving,Slow Moving,0.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
509000286237,MEGAPHONE AHUJA MAKE AM 21SD,Dead Stock,Dead Stock,0.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
539813610020,KRONE TOOL,Dead Stock,Dead Stock,0.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
539802982203,DIGITAL MULTIMETER RISHABH 14S,Dead Stock,Dead Stock,0.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
503524530030,4 WIRE DTMF WAY STATION  EQUIPMENTS WITH CONTROL TELEPHONE,Dead Stock,Dead Stock,0.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
560800310566,DIGITIAL MULTIMETER METRAVI PRO 587,Dead Stock,Dead Stock,0.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
520502200035,SMART PHONE SAMSUNG GALAXY M12,Dead Stock,Dead Stock,0.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
539847880020,6U Rack ENCLOSURES NETWORKING/SERVER RACK  Wall Mounting MAKE WQ INDIA,Slow Moving,Very Slow Moving,0.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
570100499988,DVR 16 CHANNEL  TVT MAKE TD-2116TS-CL,Dead Stock,Dead Stock,0.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
539804468353,NVR 4 CHANNEL,Slow Moving,Slow Moving,0.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
539802601335,NVR 8 CHANNEL,Active,Monitor,0.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
539802295820,POE SWITCH 8 PORT,Active,Active,163560.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
539833270020,SMPS POWER SUPPLY ADAPTOR 12V 8 CHANNEL  FOR DVR-ANALOG CAMERA,Dead Stock,Dead Stock,0.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
539838030034,POWER MONITOR 230V AC ANNAIE MAKE,Dead Stock,Dead Stock,0.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
539812220087,CONTROL CARD TO SUIT CGDB,Dead Stock,Dead Stock,0.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
521566280429,DUAL PORT PC-MDCH LINKER UNIT,Dead Stock,Dead Stock,0.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
502200010089,MDCH/PDCH CONTROL CARD,Dead Stock,Dead Stock,0.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
521566280430,MDCH/PDCH 8 PORT SERIAL COMMUNICATION CARD,Dead Stock,Dead Stock,0.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
539812211074,MATRIX CARD WHITE LED TO SUIT CGDB,Dead Stock,Dead Stock,0.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
527901460094,MATRIX CARD RED LED TO SUIT CGDB,Dead Stock,Dead Stock,131747.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
570101362632,CONTROL  CARD TO SUIT FIVE LINE DISPLAY BOARDS,Dead Stock,Dead Stock,139924.4,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
570101362644,CONTROL CARD TO SUIT SINGLE LINE DISPLAY BOARDS,Dead Stock,Dead Stock,0.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
508310190031,BATTERY BANK VRLA 48V/120AH,Slow Moving,Slow Moving,0.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
527902350041,BATTERY BANK MF VRLA 48V / 200AH,Slow Moving,Slow Moving,0.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
539813300108,TENT  4M EXTENDABLE,Dead Stock,Dead Stock,0.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
520500401633,Motorola Charger for Motorola walki takie GP328/338,Dead Stock,Dead Stock,0.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
569005400048,2T VF TRANSFORMER OF RATION 470:600 AND 470:1120 OHMS (CYLINDER TYPE),Active,Active,77880.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
570101417554,MONITOR 21 INCH LG,Slow Moving,Very Slow Moving,0.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
570102008534,HOT SPOT 4G DONGLE (DIFFERENT SERVICE PROVIDER),Dead Stock,Dead Stock,8024.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
520508390028,MOTOROLA Spare Battery for model GP 328 / 338 Walkie talkie,Slow Moving,Very Slow Moving,0.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
500601240060,TRANSMITTER INSET,Active,Monitor,15000.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
539884450048,BATTERY WALKIE TALKIE TID V-30,Dead Stock,Dead Stock,0.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
562300060110,DESK TYPE ELECTRONIC MAGNETO TELEPHONE,Dead Stock,Dead Stock,0.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
569027360023,HANDHELD DIGITAL INFRARED THERMOMETER FLUKE 59 MAX,Dead Stock,Dead Stock,41370.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
539811931397,UPS 1 KVA ONLINE WITH EXTERNAL 12V 26 AH BATTERY 3 NOS EACH WITH STAND,Dead Stock,Dead Stock,0.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
500502510050,POWER BANK,Active,Active,13995.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
527901140087,PA MIXER,Dead Stock,Dead Stock,0.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
508313220095,SMPS BASED BATTERY CHARGER 48V/ 50AMP with 03 nos of 25 AMP SMR modules,Slow Moving,Very Slow Moving,0.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
529006590027,BATTERY FOR KENWOOD WALKIE TALKIE KNB-57L,Slow Moving,Very Slow Moving,0.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
500500340048,VIDEO HANDHELD CAMCORDER,Dead Stock,Dead Stock,0.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
501900030062,WALKIE TALKIE CHARGER FOR KENWOOD,Dead Stock,Dead Stock,0.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
501000267963,GI PIPE 40 MM DIAMETER,Dead Stock,Dead Stock,0.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
508311040065,BATTERY CHARGER WALKIE TALKIE TID V-30,Dead Stock,Dead Stock,0.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
520501510910,MICROPHONE WIRELESS CARDIOID,Slow Moving,Very Slow Moving,153000.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
539821770090,CLAMP METER HAND HELD TRUE RMS,Active,Active,21708.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
570101228060,Online UPS of Rating 5.0 KVA With Battery Of Backup Time 60 Minutes,Dead Stock,Dead Stock,0.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
570121460076,CISCO WEBEX MIDDLEWARE PLATFORM SYSTEM  with Subscription Licence.,Active,Monitor,0.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
527900430653,SWITCH 24 Ports Managed Non PoE Layer 2 Access (L2 Switch),Active,Active,174798.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
521100040050,SWITCH  8 Ports Web Managed Non PoE Layer 2 Access (L2 SWITCH),Active,Active,126000.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
570110000024,CAMERA PTZ FOR CCTV,Slow Moving,Very Slow Moving,35990.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
523000460025,NVR 64 CHANNEL FOR CCTV,Dead Stock,Dead Stock,0.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
570150100029,CAMERA 4MP BULLET FOR CCTV,Dead Stock,Dead Stock,0.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
520500451508,BATTERY FOR WALKIE TALKIE ALINCO,Dead Stock,Dead Stock,0.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
570110310025,CAMERA 2 MP BULLET FOR CCTV,Slow Moving,Slow Moving,0.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
523000590061,NVR 32 CHANNEL FOR CCTV,Slow Moving,Very Slow Moving,0.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
539808540228,CABLE 6 CORE (6 FIBRE) SINGLE MODE FLEXIBLE FOR OUTDOOR,Dead Stock,Dead Stock,0.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
561195541757,CABLE 10 PAIR UG PIJF,Active,Monitor,0.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
569016060035,"Adjustable Torque Wrench 5-35Nm, 1/4 inch Sq. Drive, Rachet Type",Active,Active,83997.12,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
560605006124,HANDHELD BRUSH CUTTER / LINE TRIMMER,Dead Stock,Dead Stock,32000.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
539800469648,PORTABLE TWO WAY PA SPEAKER,Dead Stock,Dead Stock,0.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
501806660197,GPS double faced platform clock with GPS synchronization as per RDSO Specification.,Dead Stock,Dead Stock,0.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
