PL_Code,Description,Current_Stock,Inventory_Value,Days_Since_Movement,Depot
553000020013,GROUND LEVER FRAME SINGLE,6.0,90000.0,1807,JE/SIG/SRM/PGT037254-S AND T-SR
560603161473,SSDAC EF CARD FRAME WITH MOTHER BOARD  GGTRONICS MAKE,2.0,65000.0,1803,JE/SIG/SRM/PGT037254-S AND T-SR
570106430019,Desk Top Computer with preloaded operating system,2.0,64445.0,1203,JE/SIG/SRM/PGT037254-S AND T-SR
560609470017,SSDAC SF CARD with Mother board (GG TRONICS MAKE),2.0,60000.0,1803,JE/SIG/SRM/PGT037254-S AND T-SR
560400020019,Event Logger Card for SSDAC (CEL),2.0,59062.0,1803,JE/SIG/SRM/PGT037254-S AND T-SR
509041003659,Solar Panel 12V 35W,12.0,57744.0,1808,JE/SIG/SRM/PGT037254-S AND T-SR
569004610011,Earthing Charcoal,1906.0,55274.0,956,JE/SIG/SRM/PGT037254-S AND T-SR
539828810018,SSDAC Transmitter coil For CEL MAKE,5.0,53155.0,1807,JE/SIG/SRM/PGT037254-S AND T-SR
560400030360,SSDAC Receiver  Coils for  CEL MAKE,5.0,53155.0,1807,JE/SIG/SRM/PGT037254-S AND T-SR
569003010012,FIRE ALARM SOUNDER CUM STROBE 24V,4.0,40000.0,808,JE/SIG/SRM/PGT037254-S AND T-SR
569002660011,DATALOGGER DUAL E1 EXTENDOR CYGNUS,1.0,35400.0,1812,JE/SIG/SRM/PGT037254-S AND T-SR
569003010012,FIRE ALARM SOUNDER CUM STROBE Miscellaneous.,4.0,30000.0,1807,JE/SIG/SRM/PGT037254-S AND T-SR
560400020056,SSDAC SCC2 Card (CEL make),1.0,25000.0,1803,JE/SIG/SRM/PGT037254-S AND T-SR
560400020044,SSDAC SCC1 Card (CEL make),1.0,25000.0,1803,JE/SIG/SRM/PGT037254-S AND T-SR
570102270010,Printer Deskjet/Inkjet(Epson),2.0,23630.0,1178,JE/SIG/SRM/PGT037254-S AND T-SR
560600093419,Tag block 200 ways.,124.0,21204.0,1597,JE/SIG/SRM/PGT037254-S AND T-SR
560400251492,SSDAC Communication card 1 (GGTronics ),1.0,20881.0,1803,JE/SIG/SRM/PGT037254-S AND T-SR
657901430017,IRON RACK 3TIER 6' X 6',10.0,20000.0,1804,JE/SIG/SRM/PGT037254-S AND T-SR
569003260016,POINT ROD 1 1/4 DIA 18' (FEET LENGTH),25.0,20000.0,1803,JE/SIG/SRM/PGT037254-S AND T-SR
567900413114,Relay QNN1 6F/2B,2.0,19000.0,1115,JE/SIG/SRM/PGT037254-S AND T-SR
543100020011,SURFACE BASE 140 MM DIA,16.0,17318.18,745,JE/SIG/SRM/PGT037254-S AND T-SR
553000260012,HP LOCK DOUBLE.,3.0,16504.5,1173,JE/SIG/SRM/PGT037254-S AND T-SR
560603950017,POINT RODING 18 FEET LENGTH,19.0,15200.0,1805,JE/SIG/SRM/PGT037254-S AND T-SR
567911900017,EXTERNAL LEASED LINE MODEM WITH T NETWORKING Electrical Signalling equipments and spares n....,1.0,15000.0,1803,JE/SIG/SRM/PGT037254-S AND T-SR
543100040010,Foundation A type,3.0,13032.0,1807,JE/SIG/SRM/PGT037254-S AND T-SR
539871380026,Rodent Repellent Electronic,2.0,12980.0,1356,JE/SIG/SRM/PGT037254-S AND T-SR
569005070012,Fire alarm Monitor Module,2.0,12400.0,808,JE/SIG/SRM/PGT037254-S AND T-SR
564680690014,CLS unit 4 Aspect,1.0,12000.0,1504,JE/SIG/SRM/PGT037254-S AND T-SR
509000501938,DATALOGGER External Modem For T networking,1.0,11991.0,1812,JE/SIG/SRM/PGT037254-S AND T-SR
749000120118,LOCK PAD IRON -35 mm,49.0,11858.0,1814,JE/SIG/SRM/PGT037254-S AND T-SR
789024500018,IRON RACK SKELETON TYPE 10'X6',3.0,10500.0,1804,JE/SIG/SRM/PGT037254-S AND T-SR
561800030106,SM'S Control 4 SLIDE with locking,4.0,10000.0,1803,JE/SIG/SRM/PGT037254-S AND T-SR
569004600017,Earthing Salt,1631.0,9786.0,956,JE/SIG/SRM/PGT037254-S AND T-SR
469028950015,SCREW DRIVER 300mm,13.0,9100.0,1427,JE/SIG/SRM/PGT037254-S AND T-SR
909001320014,SHEET IRON BATTERY BOX( CUP BOARD),12.0,9000.0,1804,JE/SIG/SRM/PGT037254-S AND T-SR
430200020035,Digital Multimeter make Rishi,1.0,9000.0,1819,JE/SIG/SRM/PGT037254-S AND T-SR
565172840569,RTU  DUAL CARD LEASED LINE MODEM,1.0,8000.0,1219,JE/SIG/SRM/PGT037254-S AND T-SR
552000160018,RACK AND PINION LEVER OF INTERLOCKING FRAMES,1.0,8000.0,1803,JE/SIG/SRM/PGT037254-S AND T-SR
553000290016,ED  ELECTRICAL POINT AND LOCK DETECTOR,1.0,8000.0,1528,JE/SIG/SRM/PGT037254-S AND T-SR
539805041006,Crank Handle FOR POINT MACHINE,5.0,7500.0,1816,JE/SIG/SRM/PGT037254-S AND T-SR
569003520014,FIRE ALARM EOL (END OF LINE) RESISTOR,2.0,7000.0,810,JE/SIG/SRM/PGT037254-S AND T-SR
909001300015,RACK For OFFICE FILE,9.0,6750.0,1804,JE/SIG/SRM/PGT037254-S AND T-SR
539871380026,Rodent Repellent Electronic,1.0,6490.0,1249,JE/SIG/SRM/PGT037254-S AND T-SR
603208471008,"Change over switch, 32amp.",11.0,6050.0,1578,JE/SIG/SRM/PGT037254-S AND T-SR
539812601010,MAINTAINER HEAD LAMP,2.0,5848.0,1437,JE/SIG/SRM/PGT037254-S AND T-SR
781508550010,CHAIR TUBULAR ARM WITH NYLON SEAT,9.0,5800.0,1481,JE/SIG/SRM/PGT037254-S AND T-SR
673500020118,Hand Cart with tyre and wheels,1.0,5500.0,1819,JE/SIG/SRM/PGT037254-S AND T-SR
725073720011,WEIGHING MACHINE(300kg),1.0,5500.0,1819,JE/SIG/SRM/PGT037254-S AND T-SR
901100480016,BOARD C MARKER,21.0,5250.0,1115,JE/SIG/SRM/PGT037254-S AND T-SR
560603820857,GROUND CONNECTION   D Bracket,20.0,5000.0,1107,JE/SIG/SRM/PGT037254-S AND T-SR
727901710015,Drilling Machine 31MM(230v) with stand,1.0,5000.0,1819,JE/SIG/SRM/PGT037254-S AND T-SR
567900050017,Relay QNA1K 6F 6B,1.0,4952.0,1572,JE/SIG/SRM/PGT037254-S AND T-SR
567909680010,Tumbler Spring For E - Type Lock,165.0,4950.0,1094,JE/SIG/SRM/PGT037254-S AND T-SR
430800010016,TIPL Hand held Digital Infrared medical Thermometer,1.0,4600.0,1807,JE/SIG/SRM/PGT037254-S AND T-SR
564700070012,LAMP  110V/25W/2pin.,378.0,4536.0,1115,JE/SIG/SRM/PGT037254-S AND T-SR
560405880011,SSDAC LDU FOR GGTRONICS MAKE,3.0,4500.0,1803,JE/SIG/SRM/PGT037254-S AND T-SR
559000790018,PLIER GRIP Miscellaneous.,3.0,4500.0,1115,JE/SIG/SRM/PGT037254-S AND T-SR
909001290010,RACK BOILER TUBE WITH 6 PARTITION,6.0,4500.0,1804,JE/SIG/SRM/PGT037254-S AND T-SR
909001310010,RACK STEEL TO DRG NO OJA/31/61,6.0,4500.0,1804,JE/SIG/SRM/PGT037254-S AND T-SR
472200010271,UPS -1000VA(36VDC/230V-AC),2.0,4000.0,1821,JE/SIG/SRM/PGT037254-S AND T-SR
559000770019,RACK BOILER TUBE WITH 4 PARTITION,4.0,4000.0,1804,JE/SIG/SRM/PGT037254-S AND T-SR
549008200010,GRS BOX RTU TYPE,1.0,4000.0,1571,JE/SIG/SRM/PGT037254-S AND T-SR
561800330011,CHANGE OVER SWITCH 1 WAY,2.0,4000.0,1578,JE/SIG/SRM/PGT037254-S AND T-SR
543500010010,CLS LADDER 3.5 Mtrs,6.0,3937.5,1485,JE/SIG/SRM/PGT037254-S AND T-SR
783000631727,TABLE WOODEN TW,11.0,3650.0,1478,JE/SIG/SRM/PGT037254-S AND T-SR
560608710010,PBT TERMINAL 60mm,70.0,3500.0,1404,JE/SIG/SRM/PGT037254-S AND T-SR
419000010644,BACKING PLATES,50.0,3500.0,1187,JE/SIG/SRM/PGT037254-S AND T-SR
600400101630,Steel Sleeper Flat,13.0,3250.0,1124,JE/SIG/SRM/PGT037254-S AND T-SR
553000310015,POINT ROCKER ARM ASSEMBLY FOR POINT,1.0,3000.0,1805,JE/SIG/SRM/PGT037254-S AND T-SR
669020170011,Bench Vise 4,1.0,3000.0,1819,JE/SIG/SRM/PGT037254-S AND T-SR
720616502547,Sealing Plier,1.0,3000.0,1115,JE/SIG/SRM/PGT037254-S AND T-SR
781508530010,Furniture Steel. (Almirah steel for datalogger),1.0,3000.0,1826,JE/SIG/SRM/PGT037254-S AND T-SR
565094831178,Sealing plier,1.0,3000.0,1115,JE/SIG/SRM/PGT037254-S AND T-SR
560405800015,SSDAC DC-DC Converter card No.8 (CELL MAKE),1.0,2548.0,1597,JE/SIG/SRM/PGT037254-S AND T-SR
565010000010,"EARTHINGCOPPER BONDED ROD  17.2MM X 3MTR -1NO,",1.0,2500.0,1440,JE/SIG/SRM/PGT037254-S AND T-SR
657900290819,TOOL GRINDER BENCH TYPE WITH 8 INCH STONE,1.0,2500.0,1819,JE/SIG/SRM/PGT037254-S AND T-SR
839049414573,GRS Book,1.0,2428.0,871,JE/SIG/SRM/PGT037254-S AND T-SR
539826141002,CT Box  CAST IRON,4.0,2400.0,1816,JE/SIG/SRM/PGT037254-S AND T-SR
781508540015,CHAIR FOR DATALOGGER,2.0,2400.0,1826,JE/SIG/SRM/PGT037254-S AND T-SR
657901291431,Weighing Machine 30 Kg,1.0,2299.0,856,JE/SIG/SRM/PGT037254-S AND T-SR
781010280012,STOOL  Wooden LOCALY MADE,3.0,2250.0,1804,JE/SIG/SRM/PGT037254-S AND T-SR
553000300010,POINT ROD 'T' JOINT,3.0,2100.0,946,JE/SIG/SRM/PGT037254-S AND T-SR
559000780013,CEREMONIAL LEVER,2.0,2000.0,1803,JE/SIG/SRM/PGT037254-S AND T-SR
539800290016,Aluminium folding ladder (6'),2.0,2000.0,1819,JE/SIG/SRM/PGT037254-S AND T-SR
762197820237,ANGLE GRINDER 100mm,1.0,2000.0,1819,JE/SIG/SRM/PGT037254-S AND T-SR
759099220013,Acetal Bushes for D BRACKET & CRANKS,380.0,1900.0,1817,JE/SIG/SRM/PGT037254-S AND T-SR
839098870062,SEM BOOK,1.0,1874.0,871,JE/SIG/SRM/PGT037254-S AND T-SR
81032213,GRAPHITE POWDER GRADE-II 20% ASH CONTENT FOR USE AS FOUNDRY FACING MATERIAL TO SPECN. NO.I....,30.0,1842.9,890,JE/SIG/SRM/PGT037254-S AND T-SR
549008650015,"EARTHINGCOPPER BUS BAR 300 X 25 X6MM-1NO,",3.0,1800.0,1451,JE/SIG/SRM/PGT037254-S AND T-SR
559000790195,PLIER GRIP Miscellaneous.,1.0,1500.0,1115,JE/SIG/SRM/PGT037254-S AND T-SR
672202850527,TYRE FOR LORRY RELEASED,5.0,1500.0,1191,JE/SIG/SRM/PGT037254-S AND T-SR
439900100017,Auqaguard UV water purifier,1.0,1500.0,1821,JE/SIG/SRM/PGT037254-S AND T-SR
902900130011,RACK STEEL For KEEPING FILE 4 PLANS,2.0,1500.0,1804,JE/SIG/SRM/PGT037254-S AND T-SR
783100277395,TABLE TUBULAR STEEL,2.0,1200.0,1478,JE/SIG/SRM/PGT037254-S AND T-SR
869022810017,CUP BOARD  EMPTY AXLE COUNTER  EVALUATER RACK,3.0,1200.0,1826,JE/SIG/SRM/PGT037254-S AND T-SR
560600095593,Tag Block (64 IN PUT),9.0,1134.0,1808,JE/SIG/SRM/PGT037254-S AND T-SR
869022070617,PIPE WRENCH SIZE 12'',2.0,1100.0,1819,JE/SIG/SRM/PGT037254-S AND T-SR
569037670033,SEM Appendix-I & Appendix II,1.0,1063.0,871,JE/SIG/SRM/PGT037254-S AND T-SR
567911590016,Panel indication LED assembly YELLOW RED,25.0,1025.0,1125,JE/SIG/SRM/PGT037254-S AND T-SR
469034500012,UNVERSAL AXLE COUNTER RACK (EMPTY RELEASED USED AS  CUP BOARD),1.0,1000.0,1803,JE/SIG/SRM/PGT037254-S AND T-SR
560600017697,FTOT (CT RACK),1.0,1000.0,1476,JE/SIG/SRM/PGT037254-S AND T-SR
469034151893,TABLE STEEL EXECUTIVE,1.0,1000.0,1804,JE/SIG/SRM/PGT037254-S AND T-SR
549008250013,MISCELLANEOUS. (FOOT REST PLANK FOR LEVER FRAME),1.0,1000.0,1807,JE/SIG/SRM/PGT037254-S AND T-SR
565099960011,GRS box full size,1.0,1000.0,1476,JE/SIG/SRM/PGT037254-S AND T-SR
679001590014,Tarpauline for Lorry,1.0,1000.0,1821,JE/SIG/SRM/PGT037254-S AND T-SR
781506340096,TABLE STEEL TUBULAR,1.0,1000.0,1804,JE/SIG/SRM/PGT037254-S AND T-SR
469035027200,ELECTRONIC DIGITAL VERNIER CALIPER 0 MM-150 MM,1.0,945.0,1388,JE/SIG/SRM/PGT037254-S AND T-SR
739900010019,Drill chuck with socket,1.0,900.0,1819,JE/SIG/SRM/PGT037254-S AND T-SR
430600020099,RHEOSTAT 500 OHMS 400W,1.0,850.0,1803,JE/SIG/SRM/PGT037254-S AND T-SR
725800107319,Measuring tape 50 Mtr Fiber glass,1.0,800.0,1388,JE/SIG/SRM/PGT037254-S AND T-SR
783004240010,TRAY DEAL WOOD,4.0,800.0,1803,JE/SIG/SRM/PGT037254-S AND T-SR
539860180069,LOCK PAD Godrej square lock 6 levers (50MM),2.0,779.0,992,JE/SIG/SRM/PGT037254-S AND T-SR
781010270018,SHELF WOODEN WITH PARTITION,1.0,750.0,1804,JE/SIG/SRM/PGT037254-S AND T-SR
783000631338,TABLE WOODEN WITH  FOUR DRAWER,1.0,750.0,1804,JE/SIG/SRM/PGT037254-S AND T-SR
544100190018,CLS POST 2.5 Mtrs,2.0,700.0,1640,JE/SIG/SRM/PGT037254-S AND T-SR
543500030019,Aluminium LADDER 18',1.0,700.0,1819,JE/SIG/SRM/PGT037254-S AND T-SR
660400010015,BY CYCLE-22',1.0,600.0,1821,JE/SIG/SRM/PGT037254-S AND T-SR
727902129820,SPANNER ADJUSTABLE 10,2.0,600.0,1819,JE/SIG/SRM/PGT037254-S AND T-SR
729079690012,CALCULATOR,1.0,600.0,1821,JE/SIG/SRM/PGT037254-S AND T-SR
469028772605,ALUMINIUM LADDER SELF SUPPORTING SIZE 8 FEET,1.0,500.0,1819,JE/SIG/SRM/PGT037254-S AND T-SR
901301040019,Board P Marker,2.0,500.0,1115,JE/SIG/SRM/PGT037254-S AND T-SR
787902510010,GLASS FRONTED BOX FOR KEYS,1.0,500.0,1826,JE/SIG/SRM/PGT037254-S AND T-SR
551200011370,LOCK PAD 35MM,2.0,484.0,1427,JE/SIG/SRM/PGT037254-S AND T-SR
729081591716,LOCK PAD IRON 50 mm,5.0,450.0,1444,JE/SIG/SRM/PGT037254-S AND T-SR
720597144353,RING SPANNER 6-32 MM,1.0,400.0,1819,JE/SIG/SRM/PGT037254-S AND T-SR
550400040018,PCB CONNECTOR FOR PANNEL,2.0,400.0,849,JE/SIG/SRM/PGT037254-S AND T-SR
539803231771,LOCK GODREJ NAVTAL PAD  85MM WITH KEY,2.0,400.0,946,JE/SIG/SRM/PGT037254-S AND T-SR
569003050010,GATE BELL 'T' CONNECTOR Miscellaneous.,7.0,350.0,1807,JE/SIG/SRM/PGT037254-S AND T-SR
559000750010,JOINT SOLID FOR RODDING Miscellaneous.,1.0,350.0,1803,JE/SIG/SRM/PGT037254-S AND T-SR
749000120222,LOCK PAD 40 MM (GODREJ - NAVATHAL),6.0,300.0,1115,JE/SIG/SRM/PGT037254-S AND T-SR
560604892384,HAMMER SLEDGE-5LBS,1.0,300.0,1819,JE/SIG/SRM/PGT037254-S AND T-SR
602590680503,BAR CROW,2.0,300.0,1819,JE/SIG/SRM/PGT037254-S AND T-SR
781009670010,CUP BOARD T/W SLIDING DOOR 04 SHELVES,1.0,300.0,1826,JE/SIG/SRM/PGT037254-S AND T-SR
781009680014,CUP BOARD T/W SLIDING DOORS 24 PIEGION HOLES,1.0,300.0,1826,JE/SIG/SRM/PGT037254-S AND T-SR
539800230019,SEAL BRASS (5/8),1.0,250.0,1819,JE/SIG/SRM/PGT037254-S AND T-SR
509040800606,PULLY BLOCK-4,1.0,250.0,1819,JE/SIG/SRM/PGT037254-S AND T-SR
560603820869,L Bracket for GROUND CONNECTION,1.0,200.0,1802,JE/SIG/SRM/PGT037254-S AND T-SR
725807470018,0028-MEASURING TAPE 5MTS LONG,1.0,190.0,1203,JE/SIG/SRM/PGT037254-S AND T-SR
723870940021,mamatty,1.0,150.0,1203,JE/SIG/SRM/PGT037254-S AND T-SR
469034982523,HACK SAW FRAME (SAW FRAME FOR METAL CUTTING),1.0,150.0,1819,JE/SIG/SRM/PGT037254-S AND T-SR
230201270112,EMPTY CAN - 10 LTR,3.0,120.0,1191,JE/SIG/SRM/PGT037254-S AND T-SR
838000320109,INDENT FORMS T-136,2.0,100.0,1209,JE/SIG/SRM/PGT037254-S AND T-SR
620706500058,Lock Pad Godrej 40mm,2.0,100.0,1115,JE/SIG/SRM/PGT037254-S AND T-SR
909001330019,LOCK PAD IRON 65MM,1.0,83.0,1803,JE/SIG/SRM/PGT037254-S AND T-SR
721800040199,NOSE PLIER  8/6,2.0,80.0,1819,JE/SIG/SRM/PGT037254-S AND T-SR
469040561003,Oil Drainer(70 suit 205 L Cap drum),1.0,50.0,1819,JE/SIG/SRM/PGT037254-S AND T-SR
723870600763,Spade (Mammatty) with handle,1.0,50.0,1819,JE/SIG/SRM/PGT037254-S AND T-SR
741400050013,Measuring vessel 2L,1.0,50.0,1819,JE/SIG/SRM/PGT037254-S AND T-SR
831100640020,DMTR REGISTER,0.0,0.0,1052,JE/SIG/SRM/PGT037254-S AND T-SR
83054110,"ENVOLOPE SMALL  (ENVELOPES MADE OF BROWN WRAPPER DOUBLE IMPERIAL, RIBBED KRAFT TO SIZE 26....",0.0,0.0,1823,JE/SIG/SRM/PGT037254-S AND T-SR
567911540013,CURRENT REGULATOR SPARE,0.0,0.0,743,JE/SIG/SRM/PGT037254-S AND T-SR
603224571002,CRANK HANDLE GUIDE PLATE,0.0,0.0,1649,JE/SIG/SRM/PGT037254-S AND T-SR
56160010,Battery Charger 230V/24V 30 amps. As per RDSO Specn. No. IRS.S.86/2000 (Amndt.-4) or lates....,0.0,0.0,764,JE/SIG/SRM/PGT037254-S AND T-SR
565110000018,Battery box wooden to hold 3 cells,0.0,0.0,1115,JE/SIG/SRM/PGT037254-S AND T-SR
83031091,CA-52Register of Expenditure of New Minor workA4B/SBKSPrinting in Bi-lingual (Hindi a....,0.0,0.0,883,JE/SIG/SRM/PGT037254-S AND T-SR
569003080014,POWER SUPPLY CARD FOR HBL MAKE DATA LOGGER RELEASED Miscellaneous.,0.0,0.0,1481,JE/SIG/SRM/PGT037254-S AND T-SR
559000700017,FM Transmitter and receiver 1800 HZ,0.0,0.0,1129,JE/SIG/SRM/PGT037254-S AND T-SR
561548470010,CELL SECONDARY 4V/12AH,0.0,0.0,1570,JE/SIG/SRM/PGT037254-S AND T-SR
539818400014,DIGITAL VOICE ANNOUNCIATOR SYSTEM DRIVER UNIT,0.0,0.0,985,JE/SIG/SRM/PGT037254-S AND T-SR
539818410019,DIGITAL VOICE ANNOUNCIATOR SYSTEM  HORN,0.0,0.0,1276,JE/SIG/SRM/PGT037254-S AND T-SR
542100010079,Ordinary Crank 12 X 12,0.0,0.0,1004,JE/SIG/SRM/PGT037254-S AND T-SR
542100010067,Vertical Crank 300x300mm,0.0,0.0,1723,JE/SIG/SRM/PGT037254-S AND T-SR
460501250650,CONTACT RESISTANCE TEST PANEL FOR RELAYS (RELAY TEST KIT),0.0,0.0,1100,JE/SIG/SRM/PGT037254-S AND T-SR
725800137490,DIGITAL MULTIMETER (Fluke 117/EM ESP),0.0,0.0,1438,JE/SIG/SRM/PGT037254-S AND T-SR
539818390010,DIGITAL VOICE ANNOUNCIATOR SYSTEM AMPLIFIER,0.0,0.0,1406,JE/SIG/SRM/PGT037254-S AND T-SR
559000680018,CONTACT MAKER FOR BLOCK INSTRUMENT,0.0,0.0,1661,JE/SIG/SRM/PGT037254-S AND T-SR
559001330015,MUDGUARD SCREW,0.0,0.0,1528,JE/SIG/SRM/PGT037254-S AND T-SR
564681600860,LED SIGNAL ROAD WARNING GREEN,0.0,0.0,743,JE/SIG/SRM/PGT037254-S AND T-SR
564681590015,LED SIGNAL YELLOW FOR ROAD WARNING.,0.0,0.0,743,JE/SIG/SRM/PGT037254-S AND T-SR
564681420018,LED MAIN SIGNAL RED ASPECT,0.0,0.0,1549,JE/SIG/SRM/PGT037254-S AND T-SR
472100011770,Inverter 24/110/500VA,0.0,0.0,972,JE/SIG/SRM/PGT037254-S AND T-SR
420893040014,Fuse ND 1 amps,0.0,0.0,1717,JE/SIG/SRM/PGT037254-S AND T-SR
569003040016,GATE BELL HOOD WITH OUT BELL,0.0,0.0,1474,JE/SIG/SRM/PGT037254-S AND T-SR
725073550518,Spring balance,0.0,0.0,946,JE/SIG/SRM/PGT037254-S AND T-SR
561196440018,CABLE 2 CORE 35 SQMM,0.0,0.0,1528,JE/SIG/SRM/PGT037254-S AND T-SR
561196001114,Released Cable 30C X 1.5sqmm,0.0,0.0,753,JE/SIG/SRM/PGT037254-S AND T-SR
77091310,"PAINT READY MIXED RED OXIDE (ISC 446) BRUSHING, FINISHING, GLOSSY FOR GENERAL PURPOSES TO ....",0.0,0.0,1679,JE/SIG/SRM/PGT037254-S AND T-SR
564200080016,CLS POST  3.6 Mtr.,0.0,0.0,1618,JE/SIG/SRM/PGT037254-S AND T-SR
77033255,"ENAMEL, SYNTHETIC,  EXTERIOR, FINISHING 'WHITE' .  SPECIFICATION: - IS.8662/04 & ICF/MD/SP....",0.0,0.0,1679,JE/SIG/SRM/PGT037254-S AND T-SR
549008190016,AEROW PLATE FOR SIGNAL MISCELLANEOUS.,0.0,0.0,1570,JE/SIG/SRM/PGT037254-S AND T-SR
539812641007,ANNOUNCIATOR 4 WAY,0.0,0.0,1216,JE/SIG/SRM/PGT037254-S AND T-SR
602699740014,BATTERY CHARGER 110v/12v/10amps,0.0,0.0,1530,JE/SIG/SRM/PGT037254-S AND T-SR
544100200012,CLS POST 4.6 MTRS  RELEASED,0.0,0.0,1635,JE/SIG/SRM/PGT037254-S AND T-SR
539826141002,CT Box Cover sheet iron type,0.0,0.0,1005,JE/SIG/SRM/PGT037254-S AND T-SR
561195930014,PVC INSULATED CABLE 19C x 1.5 sq.mm,0.0,0.0,1528,JE/SIG/SRM/PGT037254-S AND T-SR
549008230014,CLS TWO ASPECT,0.0,0.0,946,JE/SIG/SRM/PGT037254-S AND T-SR
539826140010,CT Box Point (MS sheet Iron),0.0,0.0,946,JE/SIG/SRM/PGT037254-S AND T-SR
45147012,"catenary wire (19/2.10 mm), 65 Sq.mm.",0.0,0.0,1718,JE/SIG/SRM/PGT037254-S AND T-SR
539825590032,CLS POST 3.6 MTRS Released,0.0,0.0,1165,JE/SIG/SRM/PGT037254-S AND T-SR
539810120016,Fuse Block PBT Cartridge,0.0,0.0,1375,JE/SIG/SRM/PGT037254-S AND T-SR
569003070010,CALLING ON LEGEND BOARD Miscellaneous.,0.0,0.0,1597,JE/SIG/SRM/PGT037254-S AND T-SR
567900760010,ROAD WARNING  CLS Unit 3 Aspect  (FRP) RELEASED.,0.0,0.0,1579,JE/SIG/SRM/PGT037254-S AND T-SR
432900492237,Chair Steel Tubular (Released),0.0,0.0,1481,JE/SIG/SRM/PGT037254-S AND T-SR
403600040101,Released Power Cable 2C X 25sqmm,0.0,0.0,1528,JE/SIG/SRM/PGT037254-S AND T-SR
549007470017,Goods Warning Board RELEASED,0.0,0.0,923,JE/SIG/SRM/PGT037254-S AND T-SR
839096160833,STOP BOARD,0.0,0.0,1544,JE/SIG/SRM/PGT037254-S AND T-SR
543100010017,Foundation A type,0.0,0.0,946,JE/SIG/SRM/PGT037254-S AND T-SR
565110000018,PROCESSER CARD FOR HBL DATALOGGER RELEASED,0.0,0.0,1481,JE/SIG/SRM/PGT037254-S AND T-SR
560403620010,SSDAC Transmitter(TX) Coil GGTRONICS,0.0,0.0,1807,JE/SIG/SRM/PGT037254-S AND T-SR
560403080489,SSDAC DC DC Convertor Card  (GGTRONICS MAKE),0.0,0.0,1569,JE/SIG/SRM/PGT037254-S AND T-SR
560403031338,SSDAC RX COIL 21-25KHZ FOR GG Tronics,0.0,0.0,1807,JE/SIG/SRM/PGT037254-S AND T-SR
560400031170,SSDAC ELDYNE Make Rail contact TX1 & TX2,0.0,0.0,1653,JE/SIG/SRM/PGT037254-S AND T-SR
567900770014,Relay QN1 12F 4B,0.0,0.0,1165,JE/SIG/SRM/PGT037254-S AND T-SR
567911890012,RTU POWER SUPPLY SET 24V Electrical Signalling equipments and spares not otherwise classif....,0.0,0.0,1737,JE/SIG/SRM/PGT037254-S AND T-SR
565198000017,RETRO REFLECTIVE STICKER  YELOW COLOUR FOR GOODS WARNING BOARD,0.0,0.0,1572,JE/SIG/SRM/PGT037254-S AND T-SR
567900400016,Relay QNNA1 6F/2B,0.0,0.0,1076,JE/SIG/SRM/PGT037254-S AND T-SR
539860860044,Point Motor for IRS Point Machine  DC,0.0,0.0,1123,JE/SIG/SRM/PGT037254-S AND T-SR
563000200052,Point machine 143 mm stroke (IP 67 Type),0.0,0.0,782,JE/SIG/SRM/PGT037254-S AND T-SR
404008910315,ROUTE INDICATOR JUNCTION TYPE 2 WAY NON METALIC TYPE,0.0,0.0,1605,JE/SIG/SRM/PGT037254-S AND T-SR
