PL_Code,Description,Inventory_Domain,Business_Unit,Division,Equipment_Family,Source_Universe,ABC_Class,Criticality,Current_Stock,Unit_Cost,Inventory_Value,Depot,Snapshot_Date,Pipeline_Version
50353603,Portable 4 wire Emergency Control Telephone with six pin flat type socket,Railway_Operations,MAS,Chennai,Telephone,Strategic,C,S3,332.0,1416.0,470112.0,,2026-03-31,12.5.0
72081181/72207413,Drill Twist 7.2 mm,Railway_Operations,MAS,Chennai,Other / Unclassified,Strategic,C,S3,2528.0,70.45,178097.6,,2026-03-31,12.5.0
56502540,Fuse ND type  RDSO spn 78/92 6 Amps,Railway_Operations,TPJ,Tiruchirappalli,Other / Unclassified,Both,C,S2,3715.0,76.45,284011.75,SSE/S/SRM/TPJ077355-S AND T-SR,2026-03-31,12.5.0
56507641,Channel Bond Pin,Railway_Operations,TPJ,Tiruchirappalli,Other / Unclassified,Both,C,S3,133772.0,1.62,216710.64,SSE/S/SRM/TPJ077355-S AND T-SR,2026-03-31,12.5.0
56509388,A.R.A Terminal Block 60mm PBT,Railway_Operations,TPJ,Tiruchirappalli,Termination / Wiring,Both,C,S2,2800.0,74.34,208152.0,SSE/S/SRM/TPJ077355-S AND T-SR,2026-03-31,12.5.0
56502576,Fuse ND type RDSO spn 78/92 16 Amps,Railway_Operations,TPJ,Tiruchirappalli,Other / Unclassified,Both,C,S2,3672.0,80.36,295081.92,SSE/S/SRM/TPJ077355-S AND T-SR,2026-03-31,12.5.0
56502606,Fuse ND type RDSO spn 78/92 10 Amps,Railway_Operations,TPJ,Tiruchirappalli,Other / Unclassified,Both,C,S2,3140.0,79.95,251043.0,SSE/S/SRM/TPJ077355-S AND T-SR,2026-03-31,12.5.0
47200054/47200250,Transformer 230/110V  - 1 KVA,Railway_Operations,MAS,Chennai,Other / Unclassified,Strategic,C,S3,2.0,6547.82,13095.64,,2026-03-31,12.5.0
91150401,SOLDER CORE RESIN FILLED (Kgs.),Railway_Operations,TPJ,Tiruchirappalli,LED Signal,Both,C,S4,125.0,2338.26,292282.5,SSE/S/SRM/TPJ077355-S AND T-SR,2026-03-31,12.5.0
50231959,Telephone Electronic Push Button   main - Extn .1+1,Railway_Operations,MAS,Chennai,Telephone,Strategic,C,S3,199.0,3250.0,646750.0,,2026-03-31,12.5.0
54253561,Hand Plungerlock with key,Railway_Operations,TPJ,Tiruchirappalli,Other / Unclassified,Both,C,S3,2.0,6962.0,13924.0,SSE/S/SRM/TPJ077355-S AND T-SR,2026-03-31,12.5.0
45174404/45174416,Hydro meter complete set,Railway_Operations,MAS,Chennai,Other / Unclassified,Strategic,C,S3,1192.0,62.66,74690.72,,2026-03-31,12.5.0
56509960,Cable 2 C x 25 sq.mm,Railway_Operations,TPJ,Tiruchirappalli,Signal Cable,Both,C,S1,9.057,1174.1,10633.82,SSE/S/SRM/TPJ077355-S AND T-SR,2026-03-31,12.5.0
67900203,Auto Battery  12V X130 AH 19 plate,Railway_Operations,MAS,Chennai,Battery / Cell,Strategic,C,S3,0.0,0.0,0.0,,2026-03-31,12.5.0
56500350,Battery charger 110V AC 24V DC 30A,Railway_Operations,TPJ,Tiruchirappalli,Power Supply,Both,C,S4,21.0,0.0,0.0,SSE/S/SRM/TPJ077355-S AND T-SR,2026-03-31,12.5.0
52156618/56509935,Battery charger 230V  AC/24V DC-20A,Railway_Operations,MAS,Chennai,Power Supply,Strategic,C,S2,0.0,0.0,0.0,,2026-03-31,12.5.0
50901126,Lead Acid Batteries  - 4V/12 AH,Railway_Operations,MAS,Chennai,Battery / Cell,Strategic,C,S2,0.0,928.0,0.0,,2026-03-31,12.5.0
40981381,Wire coil PVC 16/0.2 mm,Railway_Operations,TPJ,Tiruchirappalli,Other / Unclassified,Both,C,S3,0.0,0.0,0.0,SSE/S/SRM/TPJ077355-S AND T-SR,2026-03-31,12.5.0
56160100,Battery Charger 230V/24V 40 AMPS,Railway_Operations,TPJ,Tiruchirappalli,Power Supply,Both,C,S2,0.0,55460.0,0.0,SSE/S/SRM/TPJ077355-S AND T-SR,2026-03-31,12.5.0
56119033,Cable 19 C x 1.5 sq.mm,Railway_Operations,TPJ,Tiruchirappalli,Signal Cable,Both,C,S1,236.0,341197.0,80522492.0,SSE/S/SRM/TPJ077355-S AND T-SR,2026-03-31,12.5.0
56511516,Railjoint Insulation 60Kg.,Railway_Operations,TPJ,Tiruchirappalli,Other / Unclassified,Both,C,S2,0.0,866.12,0.0,SSE/S/SRM/TPJ077355-S AND T-SR,2026-03-31,12.5.0
50132453,Telephone card 3 Way 1.5m long,Railway_Operations,MAS,Chennai,Telephone,Strategic,C,S3,0.0,0.0,0.0,,2026-03-31,12.5.0
54252222,E-TYPE LOCK,Railway_Operations,MAS,Chennai,Other / Unclassified,Strategic,C,S4,0.0,2758.0,0.0,,2026-03-31,12.5.0
56505959,RKT single various wards,Railway_Operations,MAS,Chennai,Other / Unclassified,Strategic,C,S4,0.0,9031.0,0.0,,2026-03-31,12.5.0
67900185,Auto Battery 12V/75AH,Railway_Operations,MAS,Chennai,Battery / Cell,Strategic,C,S4,0.0,0.0,0.0,,2026-03-31,12.5.0
56509686,Transformer 230/110V  -  3 KVA,Railway_Operations,MAS,Chennai,Other / Unclassified,Strategic,C,S4,0.0,0.0,0.0,,2026-03-31,12.5.0
56301704,Ground Connection for IRS Point Machine,Railway_Operations,TPJ,Tiruchirappalli,Point Machine,Both,C,S4,0.0,0.0,0.0,SSE/S/SRM/TPJ077355-S AND T-SR,2026-03-31,12.5.0
56986210,FS CABLE,Railway_Operations,MAS,Chennai,Signal Cable,Strategic,C,S4,0.0,0.0,0.0,,2026-03-31,12.5.0
56160112,BATTERY CHARGER 230V/24V/50AMPS,Railway_Operations,MAS,Chennai,Power Supply,Strategic,C,S4,0.0,0.0,0.0,,2026-03-31,12.5.0
56060002,RAIL JOINT INSULATION 52kg. nylon comp.,Railway_Operations,TPJ,Tiruchirappalli,Other / Unclassified,Both,C,S4,0.0,0.0,0.0,SSE/S/SRM/TPJ077355-S AND T-SR,2026-03-31,12.5.0
50132600,Telephone card 3 Way 1.5m long,Railway_Operations,MAS,Chennai,Telephone,Strategic,C,S4,0.0,0.0,0.0,,2026-03-31,12.5.0
41095066,PVC Insulation TAPE (Mtrs),Railway_Operations,TPJ,Tiruchirappalli,Other / Unclassified,Both,C,S4,31965.0,0.0,0.0,SSE/S/SRM/TPJ077355-S AND T-SR,2026-03-31,12.5.0
40070359,Wire coil 3/0 75 mm,Railway_Operations,MAS,Chennai,Other / Unclassified,Strategic,C,S4,0.0,0.0,0.0,,2026-03-31,12.5.0
56985526,Fuse ND Type RDSO Spn 78/92 4A Maps,Railway_Operations,MAS,Chennai,Other / Unclassified,Strategic,C,S4,0.0,0.0,0.0,,2026-03-31,12.5.0
783101820037,Iron Almirah,Railway_Operations,TPJ,Tiruchirappalli,Other / Unclassified,Operational,C,,7.0,1000.0,7000.0,SSE/S/SRM/TPJ077355-S AND T-SR,2026-03-31,12.5.0
784600010093,IRON ALMIRAH  INDIVIDUAL EIGHT LOCKER,Railway_Operations,TPJ,Tiruchirappalli,Other / Unclassified,Operational,C,,2.0,2000.0,4000.0,SSE/S/SRM/TPJ077355-S AND T-SR,2026-03-31,12.5.0
783000880016,ALMIRA WOODEN,Railway_Operations,TPJ,Tiruchirappalli,Other / Unclassified,Operational,C,,6.0,2500.0,15000.0,SSE/S/SRM/TPJ077355-S AND T-SR,2026-03-31,12.5.0
10300601013,Tachometer Meter  OEM:GR Part No:105652090146 Make:NA,Railway_Operations,TPJ,Tiruchirappalli,Other / Unclassified,Operational,C,,1.0,500.0,500.0,SSE/S/SRM/TPJ077355-S AND T-SR,2026-03-31,12.5.0
783000720013,BENCH WOODEN,Railway_Operations,TPJ,Tiruchirappalli,Other / Unclassified,Operational,C,,1.0,500.0,500.0,SSE/S/SRM/TPJ077355-S AND T-SR,2026-03-31,12.5.0
305302300014,HEAVY DUTY DRILL BITT (HSS) SIZE 4.00 MM MAKE by: JK/ MIRINDA/I.T (Indian Tools),Railway_Operations,TPJ,Tiruchirappalli,Other / Unclassified,Operational,C,,8.0,12.0,96.0,SSE/S/SRM/TPJ077355-S AND T-SR,2026-03-31,12.5.0
432100010029,Blower UB 1100( for cleaning panel by blowing air),Railway_Operations,TPJ,Tiruchirappalli,Other / Unclassified,Operational,C,,1.0,1402.43,1402.43,SSE/S/SRM/TPJ077355-S AND T-SR,2026-03-31,12.5.0
461506450019,BONDS,Railway_Operations,TPJ,Tiruchirappalli,Other / Unclassified,Operational,C,,5.0,20.0,100.0,SSE/S/SRM/TPJ077355-S AND T-SR,2026-03-31,12.5.0
727902880019,Box Spanner,Railway_Operations,TPJ,Tiruchirappalli,Other / Unclassified,Operational,C,,11.0,6.0,66.0,SSE/S/SRM/TPJ077355-S AND T-SR,2026-03-31,12.5.0
831500010038,BOX WOODEN OFF SIZES,Railway_Operations,TPJ,Tiruchirappalli,Other / Unclassified,Operational,C,,0.0,300.0,0.0,SSE/S/SRM/TPJ077355-S AND T-SR,2026-03-31,12.5.0
783100242897,Steel Chair,Railway_Operations,TPJ,Tiruchirappalli,Other / Unclassified,Operational,C,,13.0,1656.25,21531.25,SSE/S/SRM/TPJ077355-S AND T-SR,2026-03-31,12.5.0
508501030010,CLAMP ON METER,Railway_Operations,TPJ,Tiruchirappalli,Other / Unclassified,Operational,C,,0.0,26539.17,0.0,SSE/S/SRM/TPJ077355-S AND T-SR,2026-03-31,12.5.0
650500080015,AIR COMPRESSOR  250 CFM,Railway_Operations,TPJ,Tiruchirappalli,Other / Unclassified,Operational,C,,1.0,3500.0,3500.0,SSE/S/SRM/TPJ077355-S AND T-SR,2026-03-31,12.5.0
570100640016,DESKTOP COMPUTER - INTEL CORE i3,Railway_Operations,TPJ,Tiruchirappalli,Computer,Operational,C,,1.0,8000.0,8000.0,SSE/S/SRM/TPJ077355-S AND T-SR,2026-03-31,12.5.0
420423880012,Hand Crimping tool (1.5-10sq mm),Railway_Operations,TPJ,Tiruchirappalli,Other / Unclassified,Operational,C,,1.0,600.0,600.0,SSE/S/SRM/TPJ077355-S AND T-SR,2026-03-31,12.5.0
749001930021,IRON BARS OFF SIZE,Railway_Operations,TPJ,Tiruchirappalli,Other / Unclassified,Operational,C,,5.0,300.0,1500.0,SSE/S/SRM/TPJ077355-S AND T-SR,2026-03-31,12.5.0
721800030080,CUTTING PLIERS 6,Railway_Operations,TPJ,Tiruchirappalli,Other / Unclassified,Operational,C,,9.0,200.0,1800.0,SSE/S/SRM/TPJ077355-S AND T-SR,2026-03-31,12.5.0
508312470018,DIMMER START,Railway_Operations,TPJ,Tiruchirappalli,Other / Unclassified,Operational,C,,1.0,500.0,500.0,SSE/S/SRM/TPJ077355-S AND T-SR,2026-03-31,12.5.0
432900230899,Distilled Water Plant,Railway_Operations,TPJ,Tiruchirappalli,LED Signal,Operational,C,,1.0,1500.0,1500.0,SSE/S/SRM/TPJ077355-S AND T-SR,2026-03-31,12.5.0
722400672758,DRILLING MACHINE HEAVY DUTY,Railway_Operations,TPJ,Tiruchirappalli,Other / Unclassified,Operational,C,,2.0,27722.43,55444.86,SSE/S/SRM/TPJ077355-S AND T-SR,2026-03-31,12.5.0
409000511438,PEDASTAL FANS,Railway_Operations,TPJ,Tiruchirappalli,Other / Unclassified,Operational,C,,2.0,800.0,1600.0,SSE/S/SRM/TPJ077355-S AND T-SR,2026-03-31,12.5.0
721160840011,Files different sizes and varieties.,Railway_Operations,TPJ,Tiruchirappalli,Other / Unclassified,Operational,C,,0.0,15.0,0.0,SSE/S/SRM/TPJ077355-S AND T-SR,2026-03-31,12.5.0
539855720010,Generator Portable,Railway_Operations,TPJ,Tiruchirappalli,Other / Unclassified,Operational,C,,1.0,1500.0,1500.0,SSE/S/SRM/TPJ077355-S AND T-SR,2026-03-31,12.5.0
652899570013,Grinding Machine Electric 230V,Railway_Operations,TPJ,Tiruchirappalli,Other / Unclassified,Operational,C,,2.0,1000.0,2000.0,SSE/S/SRM/TPJ077355-S AND T-SR,2026-03-31,12.5.0
479007400129,HACK SAW FRAME,Railway_Operations,TPJ,Tiruchirappalli,Other / Unclassified,Operational,C,,1.0,100.0,100.0,SSE/S/SRM/TPJ077355-S AND T-SR,2026-03-31,12.5.0
469029100015,HAMMER BALL PIN 0.5 KG,Railway_Operations,TPJ,Tiruchirappalli,Other / Unclassified,Operational,C,,6.0,65.0,390.0,SSE/S/SRM/TPJ077355-S AND T-SR,2026-03-31,12.5.0
469029110010,HAMMER SLEDGE 7 lbs,Railway_Operations,TPJ,Tiruchirappalli,LED Signal,Operational,C,,2.0,110.0,220.0,SSE/S/SRM/TPJ077355-S AND T-SR,2026-03-31,12.5.0
673500020118,Hand Cart,Railway_Operations,TPJ,Tiruchirappalli,Other / Unclassified,Operational,C,,2.0,350.0,700.0,SSE/S/SRM/TPJ077355-S AND T-SR,2026-03-31,12.5.0
911900290118,LADDER ALUMINIUM,Railway_Operations,TPJ,Tiruchirappalli,Other / Unclassified,Operational,C,,6.0,250.0,1500.0,SSE/S/SRM/TPJ077355-S AND T-SR,2026-03-31,12.5.0
745010580090,Lock Brass,Railway_Operations,TPJ,Tiruchirappalli,Other / Unclassified,Operational,C,,17.0,100.0,1700.0,SSE/S/SRM/TPJ077355-S AND T-SR,2026-03-31,12.5.0
729072230019,Manvetti,Railway_Operations,TPJ,Tiruchirappalli,Other / Unclassified,Operational,C,,11.0,120.0,1320.0,SSE/S/SRM/TPJ077355-S AND T-SR,2026-03-31,12.5.0
721800040199,NOSE PLIER,Railway_Operations,TPJ,Tiruchirappalli,Other / Unclassified,Operational,C,,39.0,60.0,2340.0,SSE/S/SRM/TPJ077355-S AND T-SR,2026-03-31,12.5.0
539872260016,POINT TEST GAUGE,Railway_Operations,TPJ,Tiruchirappalli,Other / Unclassified,Operational,C,,5.0,626.71,3133.55,SSE/S/SRM/TPJ077355-S AND T-SR,2026-03-31,12.5.0
654800060170,LIFTING PULLING MACHINE Portable Type (Tarfar),Railway_Operations,TPJ,Tiruchirappalli,Other / Unclassified,Operational,C,,1.0,500.0,500.0,SSE/S/SRM/TPJ077355-S AND T-SR,2026-03-31,12.5.0
473500354432,OIL PUMP ROTARY TYPE,Railway_Operations,TPJ,Tiruchirappalli,Other / Unclassified,Operational,C,,1.0,500.0,500.0,SSE/S/SRM/TPJ077355-S AND T-SR,2026-03-31,12.5.0
783102110029,Rack angle iron,Railway_Operations,TPJ,Tiruchirappalli,Other / Unclassified,Operational,C,,5.0,1200.0,6000.0,SSE/S/SRM/TPJ077355-S AND T-SR,2026-03-31,12.5.0
781509360010,Rack boiler Tube 4 sleeves,Railway_Operations,TPJ,Tiruchirappalli,Other / Unclassified,Operational,C,,5.0,800.0,4000.0,SSE/S/SRM/TPJ077355-S AND T-SR,2026-03-31,12.5.0
600500040509,STOCK RAIL for SEJ 52 KG,Railway_Operations,TPJ,Tiruchirappalli,Other / Unclassified,Operational,C,,9.0,1000.0,9000.0,SSE/S/SRM/TPJ077355-S AND T-SR,2026-03-31,12.5.0
783000281273,Rack wooden,Railway_Operations,TPJ,Tiruchirappalli,Other / Unclassified,Operational,C,,0.0,1000.0,0.0,SSE/S/SRM/TPJ077355-S AND T-SR,2026-03-31,12.5.0
727900640017,Rail Jumpers,Railway_Operations,TPJ,Tiruchirappalli,Other / Unclassified,Operational,C,,1.0,200.0,200.0,SSE/S/SRM/TPJ077355-S AND T-SR,2026-03-31,12.5.0
560605631584,RELAY TESTING KIT,Railway_Operations,TPJ,Tiruchirappalli,Relay,Operational,C,,3.0,37004.0,111012.0,SSE/S/SRM/TPJ077355-S AND T-SR,2026-03-31,12.5.0
753000050019,Nylon ropes. 1/2 Inch SIZES,Railway_Operations,TPJ,Tiruchirappalli,Other / Unclassified,Operational,C,,50.0,10.0,500.0,SSE/S/SRM/TPJ077355-S AND T-SR,2026-03-31,12.5.0
560605360011,SCREW DRIVER -V/ SIZE,Railway_Operations,TPJ,Tiruchirappalli,Other / Unclassified,Operational,C,,5.0,20.0,100.0,SSE/S/SRM/TPJ077355-S AND T-SR,2026-03-31,12.5.0
721800090282,Screw driver set (BOX),Railway_Operations,TPJ,Tiruchirappalli,Other / Unclassified,Operational,C,,19.0,25.0,475.0,SSE/S/SRM/TPJ077355-S AND T-SR,2026-03-31,12.5.0
565094831178,Sealing plier,Railway_Operations,TPJ,Tiruchirappalli,Other / Unclassified,Operational,C,,8.0,15.0,120.0,SSE/S/SRM/TPJ077355-S AND T-SR,2026-03-31,12.5.0
723870750402,shoval Round nose,Railway_Operations,TPJ,Tiruchirappalli,Other / Unclassified,Operational,C,,2.0,25.0,50.0,SSE/S/SRM/TPJ077355-S AND T-SR,2026-03-31,12.5.0
787900404050,SICKLE,Railway_Operations,TPJ,Tiruchirappalli,Other / Unclassified,Operational,C,,0.0,50.0,0.0,SSE/S/SRM/TPJ077355-S AND T-SR,2026-03-31,12.5.0
727902100014,SOLDERING IRON,Railway_Operations,TPJ,Tiruchirappalli,Other / Unclassified,Operational,C,,2.0,50.0,100.0,SSE/S/SRM/TPJ077355-S AND T-SR,2026-03-31,12.5.0
727902129831,SPANNER ADJUSTABLE,Railway_Operations,TPJ,Tiruchirappalli,Other / Unclassified,Operational,C,,4.0,15.0,60.0,SSE/S/SRM/TPJ077355-S AND T-SR,2026-03-31,12.5.0
560605111783,SPANNER DOUBLE ENDED,Railway_Operations,TPJ,Tiruchirappalli,Other / Unclassified,Operational,C,,27.0,12.0,324.0,SSE/S/SRM/TPJ077355-S AND T-SR,2026-03-31,12.5.0
721429140016,SPANNER DOUBLE END SET,Railway_Operations,TPJ,Tiruchirappalli,Other / Unclassified,Operational,C,,3.0,125.0,375.0,SSE/S/SRM/TPJ077355-S AND T-SR,2026-03-31,12.5.0
721801220010,SPANNER RING OF SIZES,Railway_Operations,TPJ,Tiruchirappalli,Other / Unclassified,Operational,C,,23.0,12.0,276.0,SSE/S/SRM/TPJ077355-S AND T-SR,2026-03-31,12.5.0
560605076692,Spanner Ring Set,Railway_Operations,TPJ,Tiruchirappalli,Other / Unclassified,Operational,C,,22.0,115.0,2530.0,SSE/S/SRM/TPJ077355-S AND T-SR,2026-03-31,12.5.0
783000550016,STOOL WOODEN,Railway_Operations,TPJ,Tiruchirappalli,Other / Unclassified,Operational,C,,3.0,175.0,525.0,SSE/S/SRM/TPJ077355-S AND T-SR,2026-03-31,12.5.0
469034151893,TABLE STEEL OFF SIZE,Railway_Operations,TPJ,Tiruchirappalli,Other / Unclassified,Operational,C,,3.0,300.0,900.0,SSE/S/SRM/TPJ077355-S AND T-SR,2026-03-31,12.5.0
783000630991,TABLE WOODEN  SIZES- 6x3x2.6,Railway_Operations,TPJ,Tiruchirappalli,Other / Unclassified,Operational,C,,1.0,300.0,300.0,SSE/S/SRM/TPJ077355-S AND T-SR,2026-03-31,12.5.0
725051380318,TAPE MEASURING,Railway_Operations,TPJ,Tiruchirappalli,Other / Unclassified,Operational,C,,2.0,100.0,200.0,SSE/S/SRM/TPJ077355-S AND T-SR,2026-03-31,12.5.0
429079380019,TENT 15X15,Railway_Operations,TPJ,Tiruchirappalli,Other / Unclassified,Operational,C,,0.0,150.0,0.0,SSE/S/SRM/TPJ077355-S AND T-SR,2026-03-31,12.5.0
727903280012,TOOL KIT,Railway_Operations,TPJ,Tiruchirappalli,Other / Unclassified,Operational,C,,36.0,500.0,18000.0,SSE/S/SRM/TPJ077355-S AND T-SR,2026-03-31,12.5.0
539855730014,Track Shunt Resistance 0.5 Ohms,Railway_Operations,TPJ,Tiruchirappalli,Other / Unclassified,Operational,C,,37.0,5323.68,196976.0,SSE/S/SRM/TPJ077355-S AND T-SR,2026-03-31,12.5.0
821144170019,wooden cup board (small size),Railway_Operations,TPJ,Tiruchirappalli,Other / Unclassified,Operational,C,,0.0,200.0,0.0,SSE/S/SRM/TPJ077355-S AND T-SR,2026-03-31,12.5.0
469035021002,VERNIER CALIPERS 0 MM-300 MM,Railway_Operations,TPJ,Tiruchirappalli,Other / Unclassified,Operational,C,,1.0,500.0,500.0,SSE/S/SRM/TPJ077355-S AND T-SR,2026-03-31,12.5.0
727900038706,Bench Vice  5,Railway_Operations,TPJ,Tiruchirappalli,Other / Unclassified,Operational,C,,2.0,750.0,1500.0,SSE/S/SRM/TPJ077355-S AND T-SR,2026-03-31,12.5.0
727901391219,Platform weighing machine 1000 kg,Railway_Operations,TPJ,Tiruchirappalli,Other / Unclassified,Operational,C,,1.0,1500.0,1500.0,SSE/S/SRM/TPJ077355-S AND T-SR,2026-03-31,12.5.0
729072480024,Wire Striper,Railway_Operations,TPJ,Tiruchirappalli,Other / Unclassified,Operational,C,,3.0,15.0,45.0,SSE/S/SRM/TPJ077355-S AND T-SR,2026-03-31,12.5.0
432500150219,Rechargeable Hand Hold LED Torch.,Railway_Operations,TPJ,Tiruchirappalli,LED Signal,Operational,C,,10.0,4099.02,40990.24,SSE/S/SRM/TPJ077355-S AND T-SR,2026-03-31,12.5.0
783000253046,SOFA 3 SEATER,Railway_Operations,TPJ,Tiruchirappalli,Other / Unclassified,Operational,C,,1.0,300.0,300.0,SSE/S/SRM/TPJ077355-S AND T-SR,2026-03-31,12.5.0
432500710018,LED TORCH LIGHT HEAD YPE,Railway_Operations,TPJ,Tiruchirappalli,LED Signal,Operational,C,,3.0,2924.0,8772.0,SSE/S/SRM/TPJ077355-S AND T-SR,2026-03-31,12.5.0
902500310010,Revolving Chair,Railway_Operations,TPJ,Tiruchirappalli,Other / Unclassified,Operational,C,,2.0,1176.82,2353.63,SSE/S/SRM/TPJ077355-S AND T-SR,2026-03-31,12.5.0
469043980011,TABLE GLASS PLAIN  ( 8 MM THICK ),Railway_Operations,TPJ,Tiruchirappalli,Other / Unclassified,Operational,C,,1.0,750.0,750.0,SSE/S/SRM/TPJ077355-S AND T-SR,2026-03-31,12.5.0
783000514553,COMPUTER TABLE -SMALL,Railway_Operations,TPJ,Tiruchirappalli,Computer,Operational,C,,1.0,500.0,500.0,SSE/S/SRM/TPJ077355-S AND T-SR,2026-03-31,12.5.0
