PL_Code,Description,Movement_Status,Inventory_Aging_Class,Inventory_Value,Operational_ABC,Source_Universe,Inventory_Domain,Business_Unit,Division,Depot,Snapshot_Date,Pipeline_Version
563002020016,SPECIAL SPANNER FOR ELECTRIC POINT MACHINE (LOCK ROD),Slow Moving,Slow Moving,0.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
563002850013,GROUND CONNECTION FOR 220MM POINT MACHINE,Active,Monitor,0.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
563002850013,GROUND CONNECTION FOR 220MM POINT MACHINE,Active,Monitor,0.0,A,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
563003650019,TWS COVER FOR SWITCH EXTENSION BRACKET WITH COMPLETE SET,Slow Moving,Slow Moving,7820.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
56301704,POINT MACHINE ROD (GROUND CONNECTION),Slow Moving,Very Slow Moving,1741304.82,A,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
56301704,POINT MACHINE ROD (GROUND CONNECTION),Slow Moving,Very Slow Moving,1741304.82,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
563047460017,GALVANIZED GROUND CONNECTION  FOR POINT MACHINE,Active,Monitor,0.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
563047620010,WARD PLATE FOR CRANK HANDLE ( IRS POINT MACHINE),Slow Moving,Very Slow Moving,720.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
563048130013,POINT TEST GAUGE,Slow Moving,Slow Moving,53300.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
564681410013,CIRCUIT CONTROLLER-4 WAY,Dead Stock,Dead Stock,1300.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
560604184353,EMERGENCY SLIDING BOOM COMPLETE SET,Slow Moving,Very Slow Moving,0.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
560604184353,EMERGENCY SLIDING BOOM COMPLETE SET,Slow Moving,Very Slow Moving,0.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
560610430019,TLD BOX FRP,Dead Stock,Dead Stock,21120.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
560610430019,TLD BOX FRP,Dead Stock,Dead Stock,21120.0,A,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
561195910015,CABLE LINKS (TAG ALUMINIUM).,Dead Stock,Dead Stock,525.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
542400340012,EWS LOCK WITH KEY,Slow Moving,Slow Moving,0.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
54253561,HAND PLUNGER LOCK,Active,Monitor,31669.58,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
54253561,HAND PLUNGER LOCK,Active,Monitor,31669.58,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
543100010017,A type foundation,Dead Stock,Dead Stock,137275.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
545401080018,WIRE BOND 3 Mtrs,Active,Active,394.19,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
545401100017,WIRE LEAD 3 MTRS,Active,Active,443.66,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
545401170019,WIRE LEAD 3.1 Mtrs,Slow Moving,Very Slow Moving,0.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
545401170019,WIRE LEAD 3.1 Mtrs,Slow Moving,Very Slow Moving,0.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
545401180013,WIRE BOND 2 Mtrs,Slow Moving,Very Slow Moving,0.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
545401180013,WIRE BOND 2 Mtrs,Slow Moving,Very Slow Moving,0.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
549007160016,BOLT ANCHOR 900X 25mm,Dead Stock,Dead Stock,6355.8,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
549007180015,BOLT U 3/4,Dead Stock,Dead Stock,120.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
549007230018,GROUND LEVER 1 WAY,Dead Stock,Dead Stock,924000.0,A,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
549007240012,SCREW JOINT 1  1/4,Slow Moving,Slow Moving,1200.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
549008140013,SPRING WARD FOR E TYPE LOCK.,Active,Active,5670.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
549008160012,WIRE LEAD 5 MTRS,Dead Stock,Dead Stock,0.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
551200010250,E Type LOCKS.VARIOUS WARDS,Active,Active,3770.1,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
552000450010,ONE WAY GUIDE ROLLER ASSEMBLY SET,Active,Active,77644.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
552000450010,ONE WAY GUIDE ROLLER ASSEMBLY SET,Active,Active,77644.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
555400100010,APPARATUS CASE HALF TOP SHEET,Dead Stock,Dead Stock,14850.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
555500060010,MS  BACKING PLATE 52 KG,Dead Stock,Dead Stock,117800.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
555500090014,SCREW COUPLING DOUBLE END,Slow Moving,Slow Moving,0.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
555500100019,SCREW COUPLING SINGLE END,Dead Stock,Dead Stock,0.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
555500120018,SWITCH EXTENTION PIECE,Dead Stock,Dead Stock,1000.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
556200010280,Trestle 2 way,Slow Moving,Slow Moving,2000.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
559000640010,WIRE LEAD 2 MTRS,Active,Active,4841.17,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
559000640010,WIRE LEAD 2 MTRS,Active,Active,4841.17,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
559001420016,WIRE LEAD 2.1 MTRS,Active,Active,2750.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
559001430010,WIRE LEAD 4.1 MTRS,Slow Moving,Very Slow Moving,2750.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
539802164075,CABLE MARKERS IRON TYPE(SIGNAL),Dead Stock,Dead Stock,649775.0,B,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
539802164075,CABLE MARKERS IRON TYPE(SIGNAL),Dead Stock,Dead Stock,649775.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
539802852307,FENCING FARME FOR GRS APPARATUS CASE,Slow Moving,Very Slow Moving,0.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
539805041006,Crank Handle FOR POINT MACHINE,Dead Stock,Dead Stock,61200.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
539810200188,WIRE LEAD  4 MTRS,Slow Moving,Slow Moving,0.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
539810200188,WIRE LEAD  4 MTRS,Slow Moving,Slow Moving,0.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
539814540012,spring tumbler for E type lock.,Active,Active,0.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
539853650015,LAMP FOR POINT INDICATOR,Slow Moving,Very Slow Moving,10525.48,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
541000020015,Solid Joint 1 1/4.,Dead Stock,Dead Stock,17216.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
541002470012,CRANK VERTICAL 12   X 12,Active,Active,0.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
541002470012,CRANK VERTICAL 12   X 12,Active,Active,0.0,B,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
541100110014,GROUND LEVER 2 WAY,Dead Stock,Dead Stock,96000.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
541100120019,POINT  INDICATOR   STAND,Dead Stock,Dead Stock,26000.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
541100400016,RELAY RACK -3 WAY ( SIEMENS),Dead Stock,Dead Stock,0.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
542120140011,CRANKS STRAIGHT ARM ADJUSTABLE.,Active,Active,54028.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
542120140011,CRANKS STRAIGHT ARM ADJUSTABLE.,Active,Active,54028.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
542120280015,CRANK NORMAL  OR HORIZONTAL,Dead Stock,Dead Stock,0.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
542300120014,SPRING IN SET FOR E TYPE LOCK,Active,Active,0.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
542300120014,SPRING IN SET FOR E TYPE LOCK,Active,Active,0.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
542400130250,SPLIT STRUCTURE BAR,Dead Stock,Dead Stock,500.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
727902100014,SOLDERING IRON,Dead Stock,Dead Stock,0.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
565000360016,TRACK FEED RESISTANCE 15 OHMS,Slow Moving,Very Slow Moving,18549.6,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
565099690019,Track feed Resistance 30 ohms,Active,Active,78701.06,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
565099690019,Track feed Resistance 30 ohms,Active,Active,78701.06,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
567901940018,DIGITAL VOICE ANNOUNCING SYSTEM,Active,Active,37321.34,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
567901940018,DIGITAL VOICE ANNOUNCING SYSTEM,Active,Active,37321.34,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
567901960017,FILTER UNIT FOR BLOCK INSTRUMENT,Slow Moving,Slow Moving,789608.98,A,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
567911510010,DIGITAL VOICE ANNOUNCING SYSTEM WITH ACCESSORIES,Dead Stock,Dead Stock,0.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
569008850016,RESISTANCE  10 W 100 OHMS ( CERAMIC TYPE),Active,Active,1482.24,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
561800380014,CHANGE OVER SWITCH ( ROTARY TYPE),Slow Moving,Very Slow Moving,0.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
563000960010,POINT MOTOR (IP67),Dead Stock,Dead Stock,0.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
563001550010,IRS Point Machine 143 mm stroke with IP 67 motor,Slow Moving,Very Slow Moving,0.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
563003520010,IRS Point machine 143 mm Stroke (IP 65),Slow Moving,Slow Moving,0.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
563003520010,IRS Point machine 143 mm Stroke (IP 65),Slow Moving,Slow Moving,0.0,B,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
56301571,ROTARY TYPE  POINT MACHINE110V,Slow Moving,Slow Moving,0.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
56301571,ROTARY TYPE  POINT MACHINE110V,Slow Moving,Slow Moving,0.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
56301571,ROTARY TYPE  POINT MACHINE110V,Slow Moving,Slow Moving,0.0,B,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
563045831119,IRS Point machine 220 mm,Active,Active,201934.0,B,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
563045831119,IRS Point machine 220 mm,Active,Active,201934.0,A,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
56060026,Choke B Type,Dead Stock,Dead Stock,0.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
56060026,Choke B Type,Dead Stock,Dead Stock,0.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
560604290013,Earth leakage detector,Dead Stock,Dead Stock,0.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
560604290013,Earth leakage detector,Dead Stock,Dead Stock,0.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
560604290013,Earth leakage detector,Dead Stock,Dead Stock,0.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
560607020010,SPD D TYPE 110V AC/DC,Dead Stock,Dead Stock,0.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
560610760019,ELECTROLYTIC CONDENSER 5000 MFD 50 V DC,Active,Active,330514.47,B,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
560611570019,SPD D TYPE 24 V AC/DC,Dead Stock,Dead Stock,6018.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
560614190015,SPD CLASS C TYPE 110V,Dead Stock,Dead Stock,0.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
560614200010,SPD CLASS C TYPE 24V,Slow Moving,Very Slow Moving,0.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
560621570016,ELECTROLYTIC CONDENSER 1000 MFD 50 V DC,Active,Active,30350.24,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
559001380018,EARTH SENSORING UNIT,Dead Stock,Dead Stock,0.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
56010011,BLOCK INSTT DOUBLE LINE (SGE).,Active,Active,753293.52,A,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
469030130949,LED BASED TRI COLOUR TORCH,Dead Stock,Dead Stock,6000.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
502323190434,Signal post Telephone,Slow Moving,Slow Moving,204201.19,B,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
502323190434,Signal post Telephone,Slow Moving,Slow Moving,204201.19,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
539803844586,BLOCK BELL EQUIPMENT 24V,Slow Moving,Slow Moving,62313.7,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
539812641007,ANNOUNCIATOR various type.,Slow Moving,Very Slow Moving,18546.67,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
539812641093,ANNOUNCIATOR 10 way,Active,Monitor,30879.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
539812641100,ANNOUNCIATOR 8 way,Active,Active,18700.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
539814510019,SM'S CONTROL CONTACT(BUTTERFLY CONTACT),Dead Stock,Dead Stock,57.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
539814520013,SMS ALERT SYSTEM (CHARGER MONITORING),Dead Stock,Dead Stock,70715.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
539860970019,Maintainers Head Lamp,Slow Moving,Very Slow Moving,74910.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
56500350,BATTERY CHARGER 110V AC 24V DC 30 AMPS,Active,Active,264456.28,B,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
56500452,BATTERY CHARGER 230V AC 110V DC 30 AMPS .,Active,Monitor,421330.31,B,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
56509935,BATTERY CHARGER 230V AC / 24V DC 20 AMPS .,Dead Stock,Dead Stock,0.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
567900990014,BATTERY CHARGER 230 V/110 V/40 A,Dead Stock,Dead Stock,0.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
56160010,Battery Charger 230V/24V 30 amps.,Dead Stock,Dead Stock,0.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
56160100,Battery Charger 230V  AC /24V DC 40 amps.,Dead Stock,Dead Stock,0.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
560607190017,TJ  230/24/2A,Slow Moving,Slow Moving,21600.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
560608680016,TRACK TJ WITH POTENTIAL FREE,Active,Active,122857.16,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
549008690013,TJ 110/24/2A,Slow Moving,Very Slow Moving,10600.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
522000650514,BATTERY CHARGER 110/24V/15A.,Active,Active,0.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
522000650514,BATTERY CHARGER 110/24V/15A.,Active,Active,0.0,B,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
539862920019,Battery Charger 110/24V/20 Amps,Dead Stock,Dead Stock,0.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
56501006,CABLE 24 C X  1.5 sqmm.,Active,Monitor,1075190.41,A,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
56501006,CABLE 24 C X  1.5 sqmm.,Active,Monitor,1075190.41,A,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
56501006,CABLE 24 C X  1.5 sqmm.,Active,Monitor,1075190.41,A,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
56501006,CABLE 24 C X  1.5 sqmm.,Active,Monitor,1075190.41,A,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
56501018,CABLE 30 C x 1.5 sqmm,Active,Monitor,1981131.94,A,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
56501018,CABLE 30 C x 1.5 sqmm,Active,Monitor,1981131.94,A,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
56501018,CABLE 30 C x 1.5 sqmm,Active,Monitor,1981131.94,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
56501018,CABLE 30 C x 1.5 sqmm,Active,Monitor,1981131.94,A,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
56509959,CABLE  12 CX 1.5 SQMM,Active,Monitor,670202.57,B,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
56509959,CABLE  12 CX 1.5 SQMM,Active,Monitor,670202.57,A,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
56509959,CABLE  12 CX 1.5 SQMM,Active,Monitor,670202.57,A,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
56509960,CABLE 2 CX 25 SQMM,Active,Monitor,579900.29,B,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
56509960,CABLE 2 CX 25 SQMM,Active,Monitor,579900.29,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
56509960,CABLE 2 CX 25 SQMM,Active,Monitor,579900.29,B,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
569007580017,CABLE UNDER GROUND JELLY FILLED 20 PAIR OF 0.5 MM,Dead Stock,Dead Stock,0.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
569007580017,CABLE UNDER GROUND JELLY FILLED 20 PAIR OF 0.5 MM,Dead Stock,Dead Stock,0.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
56110029,CABLE PVC 3 CX 10 SQMM,Active,Monitor,206190.0,B,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
56110029,CABLE PVC 3 CX 10 SQMM,Active,Monitor,206190.0,A,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
56119033,CABLE PVC 19 C X 1.5 SQMM,Active,Monitor,54499.41,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
56119033,CABLE PVC 19 C X 1.5 SQMM,Active,Monitor,54499.41,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
56119537,CABLE 2 C X  2.5 SQMM,Active,Monitor,729254.75,A,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
56119537,CABLE 2 C X  2.5 SQMM,Active,Monitor,729254.75,A,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
561195890016,CABLE 10 PAIR TRIBUTARY,Dead Stock,Dead Stock,25900.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
561195900010,CABLE 6 QUAD JELLY FILLED.,Slow Moving,Very Slow Moving,0.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
561195900010,CABLE 6 QUAD JELLY FILLED.,Slow Moving,Very Slow Moving,0.0,A,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
561195900010,CABLE 6 QUAD JELLY FILLED.,Slow Moving,Very Slow Moving,0.0,A,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
559001390012,CABLE COPPER 35  SQMM,Dead Stock,Dead Stock,5880.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
559001400017,CABLE COPPER 10 SQMM,Dead Stock,Dead Stock,0.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
67900185,AUTO BATTERY 12 V/ 75 AH,Dead Stock,Dead Stock,0.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
561500180019,VRLA BATTERY 2V/200AH (60 NOS AS A SET ),Dead Stock,Dead Stock,0.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
561500180019,VRLA BATTERY 2V/200AH (60 NOS AS A SET ),Dead Stock,Dead Stock,0.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
561500220017,12V/42 AH VRLA batteries,Slow Moving,Very Slow Moving,0.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
561548620019,CELL 12 V/42 AH MFB,Slow Moving,Very Slow Moving,19514.7,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
50540324,CELL SECONDARY  2V/80AH,Active,Active,1130537.12,A,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
50541523,LOW MAINTENANCE LEAD ACID STATIONARY SECONDARY CELLS 2V /120 AH,Active,Active,1470272.41,A,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
50550081,LOW MAINTENANCE LEAD ACID STATIONARY SECONDARY CELLS 2V/ 200AH CAPACITY,Active,Active,864346.3,A,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
565199970014,CANCELLATION COUNTER FOR PANEL (ELECTROMAGNETIC).,Active,Monitor,3680.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
567911480016,COLLARS FOR PANEL MAGNETIC TYPE.,Slow Moving,Slow Moving,250.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
564682040011,LED STRIP FOR PANEL INDICATION,Slow Moving,Very Slow Moving,2665.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
560600520012,PANEL PUSH SWITCH WHITE/RED (WITH CONTACT),Active,Active,621180.0,B,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
560606960010,Panel Knob black.,Active,Active,28213.91,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
560606970015,Panel Knob Green.,Active,Active,416.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
560606980010,Panel Knob Red,Active,Active,15406.2,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
560606990014,Panel Knob Yellow,Active,Active,34577.38,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
560607040019,THUMB SWITCH 3 POSITION.,Slow Moving,Very Slow Moving,1006720.0,A,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
560607060018,THUMB SWITCH 3 POSITION WITH BLACK KNOB.,Dead Stock,Dead Stock,24640.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
