PL_Code,Description,FY2020_21,FY2022_23,FY2023_24,FY2024_25,FY2025_26,AAC,EAR_Qty,Pending_Supply,Current_Stock,Unit_Cost
50901126,Lead Acid Batteries  - 4V/12 AH,0.0,0.0,0.0,0.0,0.0,0.0,380.0,0.0,0.0,928.0
56507641,Channel Bond Pin,232533.0,20000.0,127100.0,215475.0,242087.0,230000.0,407500.0,169892.0,133772.0,1.62
72081181/72207413,Drill Twist 7.2 mm,5525.0,5800.0,0.0,2409.0,5025.0,6570.0,10030.0,6000.0,2528.0,70.45
56502540,Fuse ND type  RDSO spn 78/92 6 Amps,4850.0,5300.0,4163.0,5121.0,4065.0,5450.0,9250.0,3530.0,3715.0,76.45
56502606,Fuse ND type RDSO spn 78/92 10 Amps,1310.0,1270.0,2750.0,3753.0,2560.0,4050.0,5550.0,2000.0,3140.0,79.95
56502576,Fuse ND type RDSO spn 78/92 16 Amps,3150.0,1650.0,3150.0,3491.0,2880.0,4200.0,6150.0,6200.0,3672.0,80.36
54253561,Hand Plungerlock with key,13.0,6.0,12.0,2.0,1.0,25.0,21.0,43.0,2.0,6962.0
45174404/45174416,Hydro meter complete set,241.0,1564.0,0.0,587.0,1244.0,1500.0,1400.0,439.0,1192.0,62.66
47200054/47200250,Transformer 230/110V  - 1 KVA,4.0,8.0,20.0,20.0,2.0,42.0,112.0,13.0,2.0,6547.82
50360693/50370110,4 wire way station control telephone RDSO/SPN IRS.TC.38/97 with latest amendment,536.0,706.0,0.0,575.0,660.0,800.0,865.0,49.0,587.0,1392.4
50353603,Portable 4 wire Emergency Control Telephone with six pin flat type socket,137.0,161.0,145.0,259.0,270.0,370.0,400.0,200.0,332.0,1416.0
50231832/50231881,Telephone Electronic Push Button,1506.0,863.0,0.0,764.0,444.0,1600.0,894.0,920.0,1131.0,477.9
50231959,Telephone Electronic Push Button   main - Extn .1+1,202.0,80.0,7.0,73.0,33.0,83.0,135.0,145.0,199.0,3250.0
50232356/50232319,Magneto telephone,993.0,629.0,0.0,1244.0,2046.0,1921.0,1865.0,200.0,114.0,5246.8
40981381,Wire coil PVC 16/0.2 mm,0.0,0.0,0.0,0.0,0.0,0.0,86330.0,,0.0,0.0
56160100,Battery Charger 230V/24V 40 AMPS,14.0,0.0,0.0,0.0,1.0,,25.0,5.0,0.0,55460.0
56468040,LED Green Aspect with accessories,615.0,734.0,965.0,1131.0,1015.0,1000.0,1980.0,143.0,472.0,10166.88
56468052,LED Yellow aspect with accessories,516.0,781.0,1247.0,1012.0,1053.0,1289.0,2250.0,84.0,632.0,8906.64
56468039,LED Red aspect with accessories,560.0,752.0,1139.0,1443.0,1190.0,1500.0,2030.0,89.0,943.0,8897.2
56451027,Relay AC  Immune Plug in  type style-QBCA1,123.0,327.0,714.0,772.0,559.0,438.0,5780.0,75.0,46.0,3367.77
56450217,Relay AC Immune Plug in type style-QSPA1,1183.0,1533.0,807.0,683.0,771.0,900.0,1700.0,200.0,296.0,5243.92
56450229,Relay AC Immune Plug in type style-QTA2,2573.0,2109.0,1376.0,1133.0,1819.0,960.0,2235.0,1104.0,156.0,2356.46
50370080,4 Wire DTMP Way Station Equipment,33.0,71.0,179.0,307.0,358.0,675.0,865.0,337.0,216.0,2891.0
50210014,Emergency Socket Box,793.0,280.0,131.0,103.0,112.0,190.0,120.0,107.0,204.0,3630.86
56462050,AC Shunt Signal LED with in built current regulator,560.0,797.0,757.0,830.0,540.0,770.0,2570.0,50.0,435.0,5711.2
56468064,Calling on LED Signal lightning unit 100 V AC,165.0,286.0,190.0,261.0,248.0,290.0,1350.0,100.0,150.0,6846.36
56509960,Cable 2 C x 25 sq.mm,1012.0,9215.0,5515.0,7013.0,29.69,48.3,69000.0,24.0,9.057,1174.1
56119033,Cable 19 C x 1.5 sq.mm,0.0,0.0,0.0,2738.0,0.0,0.0,33500.0,3.0,236.0,341197.0
56511516,Railjoint Insulation 60Kg.,0.0,0.0,0.0,0.0,0.0,0.0,295.0,300.0,0.0,866.12
56163034,Voltage stabilizer 3 KVA-230V.,15.0,12.0,7.0,3.0,1.0,19.0,11.0,13.0,17.0,38792.5
56468027,Route LED Signal lightning unit 100 V AC,527.0,716.0,699.0,931.0,517.0,750.0,3300.0,110.0,319.0,5967.2
56987122/56110029,Cable 3 C x 10 sq.mm,995.0,5045.0,1379.0,3007.0,0.0,5.0,5500.0,6.0,3988.0,124490.0
50132453,Telephone card 3 Way 1.5m long,0.0,0.0,0.0,0.0,0.0,0.0,25.0,,0.0,0.0
54252222,E-TYPE LOCK,0.0,0.0,0.0,0.0,0.0,0.0,1070.0,0.0,0.0,2758.0
56505959,RKT single various wards,0.0,0.0,0.0,0.0,0.0,0.0,920.0,0.0,0.0,9031.0
67900185,Auto Battery 12V/75AH,0.0,6.0,11.0,0.0,0.0,0.0,143.0,1.0,0.0,0.0
56509686,Transformer 230/110V  -  3 KVA,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0
56301704,Ground Connection for IRS Point Machine,694.0,734.0,334.0,55.0,0.0,0.0,135.0,0.0,0.0,0.0
56986210,FS CABLE,0.0,0.0,0.0,0.0,0.0,0.0,450.0,0.0,0.0,0.0
56160112,BATTERY CHARGER 230V/24V/50AMPS,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0
91150401,SOLDER CORE RESIN FILLED (Kgs.),0.0,0.0,65.0,124.5,73.0,116.0,60.0,100.0,125.0,2338.26
56060002,RAIL JOINT INSULATION 52kg. nylon comp.,0.0,0.0,0.0,0.0,0.0,0.0,720.0,0.0,0.0,0.0
50132600,Telephone card 3 Way 1.5m long,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0
41095066,PVC Insulation TAPE (Mtrs),0.0,0.0,0.0,0.0,319890.0,595170.0,15000.0,0.0,31965.0,0.0
40070359,Wire coil 3/0 75 mm,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0
56985526,Fuse ND Type RDSO Spn 78/92 4A Maps,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,0.0,0.0
