PL_Code,Description,Current_Stock,Unit,Unit_Cost,Inventory_Value,Last_Receipt_Date,Last_Issue_Date,Days_Since_Movement,Inventory_Aging_Class,Movement_Status,Inventory_Value_Band,Depot,Operational_ABC
563047460017,GALVANIZED GROUND CONNECTION  FOR POINT MACHINE,0.0,Set,19683.57,0.0,17-06-2025,17-01-2026,141,Monitor,Active,"< Rs 10,000",SSE/SRM/TVC057253-S AND T-SR,C
563047620010,WARD PLATE FOR CRANK HANDLE ( IRS POINT MACHINE),5.0,Nos.,144.0,720.0,08-12-2022,22-04-2025,411,Very Slow Moving,Slow Moving,"< Rs 10,000",SSE/SRM/TVC057253-S AND T-SR,C
563048130013,POINT TEST GAUGE,41.0,Nos.,1300.0,53300.0,29-04-2024,06-11-2025,213,Slow Moving,Slow Moving,"Rs 10,000 - 1 Lakh",SSE/SRM/TVC057253-S AND T-SR,C
564681410013,CIRCUIT CONTROLLER-4 WAY,1.0,Nos.,1300.0,1300.0,23-09-2021,05-08-2022,1402,Dead Stock,Dead Stock,"< Rs 10,000",SSE/SRM/TVC057253-S AND T-SR,C
560604184353,EMERGENCY SLIDING BOOM COMPLETE SET,0.0,Set,301970.0,0.0,20-05-2024,10-07-2024,697,Very Slow Moving,Slow Moving,"< Rs 10,000",SSE/SRM/TVC057253-S AND T-SR,C
560610430019,TLD BOX FRP,6.0,Nos.,3520.0,21120.0,19-08-2021,21-03-2024,808,Dead Stock,Dead Stock,"Rs 10,000 - 1 Lakh",SSE/SRM/TVC057253-S AND T-SR,C
561195910015,CABLE LINKS (TAG ALUMINIUM).,210.0,Nos.,2.5,525.0,20-08-2021,27-10-2022,1319,Dead Stock,Dead Stock,"< Rs 10,000",SSE/SRM/TVC057253-S AND T-SR,C
542400340012,EWS LOCK WITH KEY,0.0,Nos.,114.27,0.0,03-10-2024,10-11-2025,209,Slow Moving,Slow Moving,"< Rs 10,000",SSE/SRM/TVC057253-S AND T-SR,C
54253561,HAND PLUNGER LOCK,4.0,Nos.,7917.4,31669.58,15-12-2025,08-04-2025,174,Monitor,Active,"Rs 10,000 - 1 Lakh",SSE/SRM/TVC057253-S AND T-SR,C
543100010017,A type foundation,25.0,Nos.,5491.0,137275.0,29-03-2023,08-12-2023,912,Dead Stock,Dead Stock,Rs 1 Lakh - 10 Lakh,SSE/SRM/TVC057253-S AND T-SR,C
545401080018,WIRE BOND 3 Mtrs,1.0,Nos.,394.19,394.19,29-04-2025,22-05-2026,16,Active,Active,"< Rs 10,000",SSE/SRM/TVC057253-S AND T-SR,C
545401100017,WIRE LEAD 3 MTRS,1.0,Nos.,443.66,443.66,06-05-2025,22-05-2026,16,Active,Active,"< Rs 10,000",SSE/SRM/TVC057253-S AND T-SR,C
545401170019,WIRE LEAD 3.1 Mtrs,0.0,Nos.,550.0,0.0,09-01-2023,20-01-2025,503,Very Slow Moving,Slow Moving,"< Rs 10,000",SSE/SRM/TVC057253-S AND T-SR,C
545401180013,WIRE BOND 2 Mtrs,0.0,Nos.,391.0,0.0,26-03-2025,13-05-2025,390,Very Slow Moving,Slow Moving,"< Rs 10,000",SSE/SRM/TVC057253-S AND T-SR,C
549007160016,BOLT ANCHOR 900X 25mm,22.0,Nos.,288.9,6355.8,26-02-2021,27-10-2022,1319,Dead Stock,Dead Stock,"< Rs 10,000",SSE/SRM/TVC057253-S AND T-SR,C
549007180015,BOLT U 3/4,2.0,Nos.,60.0,120.0,26-02-2021,,1927,Dead Stock,Dead Stock,"< Rs 10,000",SSE/SRM/TVC057253-S AND T-SR,C
549007230018,GROUND LEVER 1 WAY,77.0,Nos.,12000.0,924000.0,01-03-2021,26-10-2022,1320,Dead Stock,Dead Stock,Rs 1 Lakh - 10 Lakh,SSE/SRM/TVC057253-S AND T-SR,A
549007240012,SCREW JOINT 1  1/4,2.0,Nos.,600.0,1200.0,02-03-2021,24-06-2025,348,Slow Moving,Slow Moving,"< Rs 10,000",SSE/SRM/TVC057253-S AND T-SR,C
549008140013,SPRING WARD FOR E TYPE LOCK.,700.0,Nos.,8.1,5670.0,14-06-2021,08-05-2026,30,Active,Active,"< Rs 10,000",SSE/SRM/TVC057253-S AND T-SR,C
549008160012,WIRE LEAD 5 MTRS,0.0,Nos.,550.0,0.0,16-06-2021,05-08-2022,1402,Dead Stock,Dead Stock,"< Rs 10,000",SSE/SRM/TVC057253-S AND T-SR,C
551200010250,E Type LOCKS.VARIOUS WARDS,3.0,Nos.,1256.7,3770.1,29-03-2023,02-06-2026,5,Active,Active,"< Rs 10,000",SSE/SRM/TVC057253-S AND T-SR,C
552000450010,ONE WAY GUIDE ROLLER ASSEMBLY SET,56.0,Set,1386.5,77644.0,29-03-2023,23-05-2026,15,Active,Active,"Rs 10,000 - 1 Lakh",SSE/SRM/TVC057253-S AND T-SR,C
555400100010,APPARATUS CASE HALF TOP SHEET,11.0,Nos.,1350.0,14850.0,25-02-2021,10-08-2022,1397,Dead Stock,Dead Stock,"Rs 10,000 - 1 Lakh",SSE/SRM/TVC057253-S AND T-SR,C
555500060010,MS  BACKING PLATE 52 KG,124.0,Nos.,950.0,117800.0,14-11-2023,14-05-2024,754,Dead Stock,Dead Stock,Rs 1 Lakh - 10 Lakh,SSE/SRM/TVC057253-S AND T-SR,C
555500090014,SCREW COUPLING DOUBLE END,0.0,Nos.,1300.0,0.0,16-06-2021,24-06-2025,348,Slow Moving,Slow Moving,"< Rs 10,000",SSE/SRM/TVC057253-S AND T-SR,C
555500100019,SCREW COUPLING SINGLE END,0.0,Nos.,927.0,0.0,16-06-2021,04-08-2022,1403,Dead Stock,Dead Stock,"< Rs 10,000",SSE/SRM/TVC057253-S AND T-SR,C
555500120018,SWITCH EXTENTION PIECE,2.0,Nos.,500.0,1000.0,17-06-2021,,1816,Dead Stock,Dead Stock,"< Rs 10,000",SSE/SRM/TVC057253-S AND T-SR,C
556200010280,Trestle 2 way,4.0,Nos.,500.0,2000.0,16-06-2021,22-11-2025,197,Slow Moving,Slow Moving,"< Rs 10,000",SSE/SRM/TVC057253-S AND T-SR,C
559000640010,WIRE LEAD 2 MTRS,12.0,Nos.,403.43,4841.17,26-03-2025,11-03-2026,88,Active,Active,"< Rs 10,000",SSE/SRM/TVC057253-S AND T-SR,C
559001420016,WIRE LEAD 2.1 MTRS,5.0,Nos.,550.0,2750.0,09-01-2023,22-05-2026,16,Active,Active,"< Rs 10,000",SSE/SRM/TVC057253-S AND T-SR,C
559001430010,WIRE LEAD 4.1 MTRS,5.0,Nos.,550.0,2750.0,16-03-2022,10-03-2025,454,Very Slow Moving,Slow Moving,"< Rs 10,000",SSE/SRM/TVC057253-S AND T-SR,C
539802164075,CABLE MARKERS IRON TYPE(SIGNAL),3713.0,Nos.,175.0,649775.0,26-02-2021,27-07-2022,1411,Dead Stock,Dead Stock,Rs 1 Lakh - 10 Lakh,SSE/SRM/TVC057253-S AND T-SR,B
539802852307,FENCING FARME FOR GRS APPARATUS CASE,0.0,Set,25401.0,0.0,15-06-2024,15-02-2025,477,Very Slow Moving,Slow Moving,"< Rs 10,000",SSE/SRM/TVC057253-S AND T-SR,C
539805041006,Crank Handle FOR POINT MACHINE,85.0,Nos.,720.0,61200.0,26-02-2021,,1927,Dead Stock,Dead Stock,"Rs 10,000 - 1 Lakh",SSE/SRM/TVC057253-S AND T-SR,C
539810200188,WIRE LEAD  4 MTRS,0.0,Nos.,407.0,0.0,26-03-2025,22-11-2025,197,Slow Moving,Slow Moving,"< Rs 10,000",SSE/SRM/TVC057253-S AND T-SR,C
539814540012,spring tumbler for E type lock.,0.0,Nos.,9.9,0.0,13-03-2021,08-05-2026,30,Active,Active,"< Rs 10,000",SSE/SRM/TVC057253-S AND T-SR,C
539853650015,LAMP FOR POINT INDICATOR,14.0,Nos.,751.82,10525.48,23-08-2021,22-04-2025,411,Very Slow Moving,Slow Moving,"Rs 10,000 - 1 Lakh",SSE/SRM/TVC057253-S AND T-SR,C
541000020015,Solid Joint 1 1/4.,16.0,Nos.,1076.0,17216.0,14-06-2021,08-12-2023,912,Dead Stock,Dead Stock,"Rs 10,000 - 1 Lakh",SSE/SRM/TVC057253-S AND T-SR,C
541002470012,CRANK VERTICAL 12   X 12,0.0,Nos.,2676.8,0.0,29-03-2023,14-03-2026,85,Active,Active,"< Rs 10,000",SSE/SRM/TVC057253-S AND T-SR,C
541100110014,GROUND LEVER 2 WAY,6.0,Nos.,16000.0,96000.0,26-02-2021,,1927,Dead Stock,Dead Stock,"Rs 10,000 - 1 Lakh",SSE/SRM/TVC057253-S AND T-SR,C
541100120019,POINT  INDICATOR   STAND,13.0,Nos.,2000.0,26000.0,01-03-2021,10-08-2022,1397,Dead Stock,Dead Stock,"Rs 10,000 - 1 Lakh",SSE/SRM/TVC057253-S AND T-SR,C
541100400016,RELAY RACK -3 WAY ( SIEMENS),0.0,Nos.,35000.0,0.0,16-12-2021,18-12-2021,1632,Dead Stock,Dead Stock,"< Rs 10,000",SSE/SRM/TVC057253-S AND T-SR,C
542120140011,CRANKS STRAIGHT ARM ADJUSTABLE.,26.0,Nos.,2078.0,54028.0,06-10-2023,22-05-2026,16,Active,Active,"Rs 10,000 - 1 Lakh",SSE/SRM/TVC057253-S AND T-SR,C
542120280015,CRANK NORMAL  OR HORIZONTAL,0.0,Nos.,1882.1,0.0,11-10-2023,11-10-2023,970,Dead Stock,Dead Stock,"< Rs 10,000",SSE/SRM/TVC057253-S AND T-SR,C
542300120014,SPRING IN SET FOR E TYPE LOCK,0.0,Set,17.55,0.0,27-10-2022,08-05-2026,30,Active,Active,"< Rs 10,000",SSE/SRM/TVC057253-S AND T-SR,C
542400130250,SPLIT STRUCTURE BAR,1.0,Nos.,500.0,500.0,17-06-2021,,1816,Dead Stock,Dead Stock,"< Rs 10,000",SSE/SRM/TVC057253-S AND T-SR,C
727902100014,SOLDERING IRON,0.0,Nos.,265.0,0.0,14-06-2021,12-04-2022,1517,Dead Stock,Dead Stock,"< Rs 10,000",SSE/SRM/TVC057253-S AND T-SR,C
565000360016,TRACK FEED RESISTANCE 15 OHMS,60.0,Nos.,309.16,18549.6,20-07-2022,22-04-2025,411,Very Slow Moving,Slow Moving,"Rs 10,000 - 1 Lakh",SSE/SRM/TVC057253-S AND T-SR,C
565099690019,Track feed Resistance 30 ohms,316.0,Nos.,249.05,78701.06,23-03-2026,27-05-2026,11,Active,Active,"Rs 10,000 - 1 Lakh",SSE/SRM/TVC057253-S AND T-SR,C
567901940018,DIGITAL VOICE ANNOUNCING SYSTEM,4.0,Nos.,9330.34,37321.34,04-12-2025,22-05-2026,16,Active,Active,"Rs 10,000 - 1 Lakh",SSE/SRM/TVC057253-S AND T-SR,C
567901960017,FILTER UNIT FOR BLOCK INSTRUMENT,56.0,Nos.,14100.16,789608.98,19-11-2025,30-01-2025,200,Slow Moving,Slow Moving,Rs 1 Lakh - 10 Lakh,SSE/SRM/TVC057253-S AND T-SR,A
567911510010,DIGITAL VOICE ANNOUNCING SYSTEM WITH ACCESSORIES,0.0,Set,12000.0,0.0,16-06-2021,07-01-2023,1247,Dead Stock,Dead Stock,"< Rs 10,000",SSE/SRM/TVC057253-S AND T-SR,C
569008850016,RESISTANCE  10 W 100 OHMS ( CERAMIC TYPE),128.0,Nos.,11.58,1482.24,29-08-2022,27-05-2026,11,Active,Active,"< Rs 10,000",SSE/SRM/TVC057253-S AND T-SR,C
561800380014,CHANGE OVER SWITCH ( ROTARY TYPE),0.0,Nos.,850.0,0.0,20-08-2021,26-12-2024,528,Very Slow Moving,Slow Moving,"< Rs 10,000",SSE/SRM/TVC057253-S AND T-SR,C
563000960010,POINT MOTOR (IP67),0.0,Nos.,29500.0,0.0,29-12-2022,02-01-2023,1252,Dead Stock,Dead Stock,"< Rs 10,000",SSE/SRM/TVC057253-S AND T-SR,C
563001550010,IRS Point Machine 143 mm stroke with IP 67 motor,0.0,Nos.,96539.0,0.0,19-03-2025,28-03-2025,436,Very Slow Moving,Slow Moving,"< Rs 10,000",SSE/SRM/TVC057253-S AND T-SR,C
563003520010,IRS Point machine 143 mm Stroke (IP 65),0.0,Nos.,115000.0,0.0,25-10-2025,13-11-2025,206,Slow Moving,Slow Moving,"< Rs 10,000",SSE/SRM/TVC057253-S AND T-SR,C
56301571,ROTARY TYPE  POINT MACHINE110V,0.0,Nos.,80556.43,0.0,15-11-2024,11-10-2025,239,Slow Moving,Slow Moving,"< Rs 10,000",SSE/SRM/TVC057253-S AND T-SR,C
563045831119,IRS Point machine 220 mm,2.0,Nos.,100967.0,201934.0,18-04-2026,02-06-2026,5,Active,Active,Rs 1 Lakh - 10 Lakh,SSE/SRM/TVC057253-S AND T-SR,B
56060026,Choke B Type,0.0,Nos.,1734.6,0.0,13-03-2021,28-06-2022,1440,Dead Stock,Dead Stock,"< Rs 10,000",SSE/SRM/TVC057253-S AND T-SR,C
560604290013,Earth leakage detector,0.0,Nos.,97940.0,0.0,12-02-2024,01-03-2024,828,Dead Stock,Dead Stock,"< Rs 10,000",SSE/SRM/TVC057253-S AND T-SR,C
560607020010,SPD D TYPE 110V AC/DC,0.0,Nos.,1725.0,0.0,13-03-2021,06-01-2022,1613,Dead Stock,Dead Stock,"< Rs 10,000",SSE/SRM/TVC057253-S AND T-SR,C
560610760019,ELECTROLYTIC CONDENSER 5000 MFD 50 V DC,2379.0,Nos.,138.93,330514.47,21-08-2025,27-05-2026,11,Active,Active,Rs 1 Lakh - 10 Lakh,SSE/SRM/TVC057253-S AND T-SR,B
560611570019,SPD D TYPE 24 V AC/DC,3.0,Nos.,2006.0,6018.0,17-02-2022,,1571,Dead Stock,Dead Stock,"< Rs 10,000",SSE/SRM/TVC057253-S AND T-SR,C
560614190015,SPD CLASS C TYPE 110V,0.0,Set,2589.97,0.0,21-10-2022,13-12-2022,1272,Dead Stock,Dead Stock,"< Rs 10,000",SSE/SRM/TVC057253-S AND T-SR,C
560614200010,SPD CLASS C TYPE 24V,0.0,Set,2366.63,0.0,02-05-2024,30-01-2025,493,Very Slow Moving,Slow Moving,"< Rs 10,000",SSE/SRM/TVC057253-S AND T-SR,C
560621570016,ELECTROLYTIC CONDENSER 1000 MFD 50 V DC,2110.0,Nos.,14.38,30350.24,16-11-2023,21-05-2026,17,Active,Active,"Rs 10,000 - 1 Lakh",SSE/SRM/TVC057253-S AND T-SR,C
559001380018,EARTH SENSORING UNIT,0.0,Nos.,14900.0,0.0,19-08-2021,07-07-2023,1066,Dead Stock,Dead Stock,"< Rs 10,000",SSE/SRM/TVC057253-S AND T-SR,C
56010011,BLOCK INSTT DOUBLE LINE (SGE).,5.0,Nos.,150658.7,753293.52,26-05-2026,02-06-2026,5,Active,Active,Rs 1 Lakh - 10 Lakh,SSE/SRM/TVC057253-S AND T-SR,A
469030130949,LED BASED TRI COLOUR TORCH,10.0,Nos.,600.0,6000.0,23-08-2021,27-10-2022,1319,Dead Stock,Dead Stock,"< Rs 10,000",SSE/SRM/TVC057253-S AND T-SR,C
502323190434,Signal post Telephone,37.0,Set,5518.95,204201.19,09-06-2025,03-12-2025,186,Slow Moving,Slow Moving,Rs 1 Lakh - 10 Lakh,SSE/SRM/TVC057253-S AND T-SR,B
539803844586,BLOCK BELL EQUIPMENT 24V,24.0,Nos.,2596.4,62313.7,25-11-2024,03-12-2025,186,Slow Moving,Slow Moving,"Rs 10,000 - 1 Lakh",SSE/SRM/TVC057253-S AND T-SR,C
539812641007,ANNOUNCIATOR various type.,4.0,Nos.,4636.67,18546.67,03-08-2024,26-05-2025,377,Very Slow Moving,Slow Moving,"Rs 10,000 - 1 Lakh",SSE/SRM/TVC057253-S AND T-SR,C
539812641093,ANNOUNCIATOR 10 way,3.0,Nos.,10293.0,30879.0,08-07-2025,24-12-2025,165,Monitor,Active,"Rs 10,000 - 1 Lakh",SSE/SRM/TVC057253-S AND T-SR,C
539812641100,ANNOUNCIATOR 8 way,2.0,Nos.,9350.0,18700.0,08-07-2025,27-05-2026,11,Active,Active,"Rs 10,000 - 1 Lakh",SSE/SRM/TVC057253-S AND T-SR,C
539814510019,SM'S CONTROL CONTACT(BUTTERFLY CONTACT),3.0,Nos.,19.0,57.0,13-03-2021,15-12-2023,905,Dead Stock,Dead Stock,"< Rs 10,000",SSE/SRM/TVC057253-S AND T-SR,C
539814520013,SMS ALERT SYSTEM (CHARGER MONITORING),5.0,Nos.,14143.0,70715.0,13-03-2021,,1912,Dead Stock,Dead Stock,"Rs 10,000 - 1 Lakh",SSE/SRM/TVC057253-S AND T-SR,C
539860970019,Maintainers Head Lamp,33.0,Nos.,2270.0,74910.0,28-05-2024,30-10-2024,585,Very Slow Moving,Slow Moving,"Rs 10,000 - 1 Lakh",SSE/SRM/TVC057253-S AND T-SR,C
56500350,BATTERY CHARGER 110V AC 24V DC 30 AMPS,8.0,Nos.,33057.04,264456.28,27-02-2026,27-05-2026,11,Active,Active,Rs 1 Lakh - 10 Lakh,SSE/SRM/TVC057253-S AND T-SR,B
56500452,BATTERY CHARGER 230V AC 110V DC 30 AMPS .,7.0,Nos.,60190.04,421330.31,27-02-2026,24-11-2025,100,Monitor,Active,Rs 1 Lakh - 10 Lakh,SSE/SRM/TVC057253-S AND T-SR,B
56509935,BATTERY CHARGER 230V AC / 24V DC 20 AMPS .,0.0,Nos.,31850.93,0.0,14-11-2022,21-11-2022,1294,Dead Stock,Dead Stock,"< Rs 10,000",SSE/SRM/TVC057253-S AND T-SR,C
567900990014,BATTERY CHARGER 230 V/110 V/40 A,0.0,Nos.,74045.0,0.0,26-05-2022,03-12-2022,1282,Dead Stock,Dead Stock,"< Rs 10,000",SSE/SRM/TVC057253-S AND T-SR,C
56160010,Battery Charger 230V/24V 30 amps.,0.0,Nos.,42330.37,0.0,,29-05-2023,1105,Dead Stock,Dead Stock,"< Rs 10,000",SSE/SRM/TVC057253-S AND T-SR,C
56160100,Battery Charger 230V  AC /24V DC 40 amps.,0.0,Nos.,50012.86,0.0,09-10-2021,29-03-2023,1166,Dead Stock,Dead Stock,"< Rs 10,000",SSE/SRM/TVC057253-S AND T-SR,C
560607190017,TJ  230/24/2A,2.0,Nos.,10800.0,21600.0,16-03-2021,22-11-2025,197,Slow Moving,Slow Moving,"Rs 10,000 - 1 Lakh",SSE/SRM/TVC057253-S AND T-SR,C
560608680016,TRACK TJ WITH POTENTIAL FREE,11.0,Nos.,11168.83,122857.16,21-01-2026,22-05-2026,16,Active,Active,Rs 1 Lakh - 10 Lakh,SSE/SRM/TVC057253-S AND T-SR,C
549008690013,TJ 110/24/2A,1.0,Nos.,10600.0,10600.0,14-11-2022,24-12-2024,530,Very Slow Moving,Slow Moving,"Rs 10,000 - 1 Lakh",SSE/SRM/TVC057253-S AND T-SR,C
522000650514,BATTERY CHARGER 110/24V/15A.,0.0,Nos.,26500.0,0.0,28-07-2023,22-05-2026,16,Active,Active,"< Rs 10,000",SSE/SRM/TVC057253-S AND T-SR,C
539862920019,Battery Charger 110/24V/20 Amps,0.0,Nos.,36417.95,0.0,22-11-2021,06-07-2022,1432,Dead Stock,Dead Stock,"< Rs 10,000",SSE/SRM/TVC057253-S AND T-SR,C
56501006,CABLE 24 C X  1.5 sqmm.,2498.0,MTR,430.42,1075190.41,15-12-2025,09-10-2025,174,Monitor,Active,Rs 10 Lakh - 1 Crore,SSE/SRM/TVC057253-S AND T-SR,A
56501018,CABLE 30 C x 1.5 sqmm,3346.0,MTR,592.09,1981131.94,15-12-2025,10-11-2025,174,Monitor,Active,Rs 10 Lakh - 1 Crore,SSE/SRM/TVC057253-S AND T-SR,A
56509959,CABLE  12 CX 1.5 SQMM,2982.0,MTR,224.75,670202.57,15-12-2025,13-10-2025,174,Monitor,Active,Rs 1 Lakh - 10 Lakh,SSE/SRM/TVC057253-S AND T-SR,B
56509960,CABLE 2 CX 25 SQMM,5.335,KM,108697.34,579900.29,11-08-2025,15-12-2025,174,Monitor,Active,Rs 1 Lakh - 10 Lakh,SSE/SRM/TVC057253-S AND T-SR,B
569007580017,CABLE UNDER GROUND JELLY FILLED 20 PAIR OF 0.5 MM,0.0,MTR,138.0,0.0,12-12-2022,12-01-2023,1242,Dead Stock,Dead Stock,"< Rs 10,000",SSE/SRM/TVC057253-S AND T-SR,C
56110029,CABLE PVC 3 CX 10 SQMM,1996.0,MTR,103.3,206190.0,27-02-2026,03-02-2026,100,Monitor,Active,Rs 1 Lakh - 10 Lakh,SSE/SRM/TVC057253-S AND T-SR,B
56119033,CABLE PVC 19 C X 1.5 SQMM,261.0,MTR,208.81,54499.41,05-10-2023,20-02-2026,107,Monitor,Active,"Rs 10,000 - 1 Lakh",SSE/SRM/TVC057253-S AND T-SR,C
56119537,CABLE 2 C X  2.5 SQMM,7630.0,MTR,95.58,729254.75,27-02-2026,24-01-2026,100,Monitor,Active,Rs 1 Lakh - 10 Lakh,SSE/SRM/TVC057253-S AND T-SR,A
561195890016,CABLE 10 PAIR TRIBUTARY,350.0,MTR,74.0,25900.0,04-03-2021,,1921,Dead Stock,Dead Stock,"Rs 10,000 - 1 Lakh",SSE/SRM/TVC057253-S AND T-SR,C
561195900010,CABLE 6 QUAD JELLY FILLED.,0.0,MTR,233.74,0.0,05-10-2023,19-02-2025,473,Very Slow Moving,Slow Moving,"< Rs 10,000",SSE/SRM/TVC057253-S AND T-SR,C
559001390012,CABLE COPPER 35  SQMM,28.0,MTR,210.0,5880.0,23-08-2021,,1749,Dead Stock,Dead Stock,"< Rs 10,000",SSE/SRM/TVC057253-S AND T-SR,C
559001400017,CABLE COPPER 10 SQMM,0.0,MTR,134.0,0.0,23-08-2021,04-01-2023,1250,Dead Stock,Dead Stock,"< Rs 10,000",SSE/SRM/TVC057253-S AND T-SR,C
67900185,AUTO BATTERY 12 V/ 75 AH,0.0,Nos.,5875.2,0.0,09-02-2022,09-06-2022,1459,Dead Stock,Dead Stock,"< Rs 10,000",SSE/SRM/TVC057253-S AND T-SR,C
561500180019,VRLA BATTERY 2V/200AH (60 NOS AS A SET ),0.0,Set,259200.0,0.0,20-09-2022,01-11-2022,1314,Dead Stock,Dead Stock,"< Rs 10,000",SSE/SRM/TVC057253-S AND T-SR,C
561500220017,12V/42 AH VRLA batteries,0.0,Nos.,4281.71,0.0,09-05-2023,11-12-2024,543,Very Slow Moving,Slow Moving,"< Rs 10,000",SSE/SRM/TVC057253-S AND T-SR,C
561548620019,CELL 12 V/42 AH MFB,6.0,Nos.,3252.45,19514.7,14-12-2022,23-10-2024,592,Very Slow Moving,Slow Moving,"Rs 10,000 - 1 Lakh",SSE/SRM/TVC057253-S AND T-SR,C
50540324,CELL SECONDARY  2V/80AH,331.0,Nos.,3415.52,1130537.12,23-03-2026,30-03-2026,69,Active,Active,Rs 10 Lakh - 1 Crore,SSE/SRM/TVC057253-S AND T-SR,A
50541523,LOW MAINTENANCE LEAD ACID STATIONARY SECONDARY CELLS 2V /120 AH,333.0,Nos.,4415.23,1470272.41,04-06-2026,27-11-2025,3,Active,Active,Rs 10 Lakh - 1 Crore,SSE/SRM/TVC057253-S AND T-SR,A
50550081,LOW MAINTENANCE LEAD ACID STATIONARY SECONDARY CELLS 2V/ 200AH CAPACITY,138.0,Nos.,6263.38,864346.3,07-01-2026,02-06-2026,5,Active,Active,Rs 1 Lakh - 10 Lakh,SSE/SRM/TVC057253-S AND T-SR,A
565199970014,CANCELLATION COUNTER FOR PANEL (ELECTROMAGNETIC).,8.0,Nos.,460.0,3680.0,07-09-2024,06-03-2026,93,Monitor,Active,"< Rs 10,000",SSE/SRM/TVC057253-S AND T-SR,C
567911480016,COLLARS FOR PANEL MAGNETIC TYPE.,5.0,Nos.,50.0,250.0,10-06-2021,27-11-2025,192,Slow Moving,Slow Moving,"< Rs 10,000",SSE/SRM/TVC057253-S AND T-SR,C
564682040011,LED STRIP FOR PANEL INDICATION,65.0,Set,41.0,2665.0,07-09-2024,14-01-2025,509,Very Slow Moving,Slow Moving,"< Rs 10,000",SSE/SRM/TVC057253-S AND T-SR,C
