PL_Code,Description,Inventory_Action,Normalized_Inventory_Value,Movement_Status,Source_Universe,Inventory_Value
539802990017,DIGITAL INSULATION TESTER,Rationalize,0.0,Slow Moving,Operational,0.0
539803389469,Emergency Socket Box (FRP),Dispose,19500.0,Dead Stock,Operational,19500.0
539804287050,POWER SUPPLY CARD FOR EFFTRONICS MAKE RTU,Dispose,76999.72,Dead Stock,Operational,76999.72
539805714736,Junction type route indicator 1 way,Rationalize,10860.0,Slow Moving,Operational,10860.0
539805736276,ROUTE INDICATOR JUNCTION TYPE,Retain,0.0,Active,Operational,0.0
539805781336,POST TYPE SHUNT SIGNAL COMPLETE SET,Retain,40040.0,Active,Operational,40040.0
539810560028,SCC-2 CARD(710P) CEL MAKE,Rationalize,0.0,Slow Moving,Operational,0.0
539812640015,ANNOUNCIATOR 8 WAY,Retain,0.0,Active,Operational,0.0
539812650010,INSULATION FOR GAUGE TIE PLATE 3 HOLES,Retain,254767.09,Active,Operational,254767.09
539812660014,CLS POLE,Dispose,0.0,Dead Stock,Operational,0.0
539812660014,CLS POLE,Rationalize,17121.28,Slow Moving,Operational,17121.28
539812670019,ELECTRONIC PUSH BUTTON TELEPHONE 1+1,Dispose,0.0,Dead Stock,Operational,0.0
539812680013,CABLE TERMINATION BOX (FRP),Retain,70045.23,Active,Operational,70045.23
539812690018,INSULATION FOR 'D' BRACKET,Retain,5699.11,Active,Operational,5699.11
539812700012,BATTERY POWER PACK 230/110/3.6/2.2 AH,Retain,206046.88,Active,Operational,206046.88
539812720011,BATTERY POWER PACK 110/3.6/2.2 AH,Retain,3963.21,Active,Operational,3963.21
539812730016,BOX GRS FULL (DOUBLE WALLED),Retain,113770.0,Active,Operational,113770.0
539812740010,TX COIL AMPLITUDE,Dispose,0.0,Dead Stock,Operational,0.0
539812750015,RX COIL AMPLITUDE,Dispose,0.0,Dead Stock,Operational,0.0
539812760010,BOX GRS FULL (RTU TYPE),Dispose,0.0,Dead Stock,Operational,0.0
539812760010,BOX GRS FULL (RTU TYPE),Dispose,0.0,Dead Stock,Operational,0.0
539812760010,BOX GRS FULL (RTU TYPE),Dispose,0.0,Dead Stock,Operational,0.0
539812770014,BLOCK BELL EQUIPMENT,Rationalize,13691.19,Slow Moving,Operational,13691.19
539812780019,CONDENSER UNIT FOR TLB UNIT NO.1,Dispose,0.0,Dead Stock,Operational,0.0
539812790013,CONDENSER UNIT FOR TLB UNIT.II,Dispose,0.0,Dead Stock,Operational,0.0
539812800018,CONDENSER UNIT FOR TLB UNIT.III,Dispose,0.0,Dead Stock,Operational,0.0
539812810012,CONDENSER UNIT FOR TLB UNIT.NO.IV,Dispose,0.0,Dead Stock,Operational,0.0
539812820017,CLS 2 ASPECT,Retain,284181.64,Active,Operational,284181.64
539812820017,CLS 2 ASPECT,Rationalize,108108.0,Slow Moving,Operational,108108.0
539812830011,BOX GRS HALF SIZE 1/2,Dispose,0.0,Dead Stock,Operational,0.0
539812840016,CHOKE 'B' TYPE,Retain,27543.99,Active,Operational,27543.99
539812840016,CHOKE B TYPE,Retain,0.0,Active,Operational,0.0
539812850010,FUSE ND 4 AMPS,Retain,193504.15,Active,Operational,193504.15
539812860015,FUSE ND 2 AMPS,Retain,189566.58,Active,Operational,189566.58
539812900013,LED SIGNAL RED ASPECT FOR ROAD WARNING,Retain,82559.26,Active,Operational,82559.26
539812900013,LED SIGNAL RED ASPECT FOR ROAD WARNING,Dispose,0.0,Dead Stock,Operational,0.0
539812910018,LED SIGNAL YELLOW FOR ROAD WARNING,Retain,167876.82,Active,Operational,167876.82
539812910018,LED SIGNAL YELLOW FOR ROAD WARNING,Dispose,0.0,Dead Stock,Operational,0.0
539812920012,LED ECR (QECX),Retain,58644.86,Active,Operational,58644.86
539812920012,LED ECR (QECX),Rationalize,20109.6,Slow Moving,Operational,20109.6
539812930017,PUSH SWITCH FOR TLB INSTRUMENT,Dispose,0.0,Dead Stock,Operational,0.0
539812940011,PUSH SWITCH WITH WHITE KNOB FOR PANEL,Retain,98226.83,Active,Operational,98226.83
539812950016,FUSE PBT,Retain,11411.2,Active,Operational,11411.2
539812950016,FUSE PBT,Retain,0.0,Active,Operational,0.0
539812950016,FUSE PBT,Retain,0.0,Active,Operational,0.0
539812950016,FUSE PBT,Retain,0.0,Active,Operational,0.0
539812960010,RELAY QBA1,Rationalize,351936.0,Slow Moving,Operational,351936.0
539812970015,RELAY QT2,Dispose,0.0,Dead Stock,Operational,0.0
539812980010,SM'S KEY ASSEMBLE FOR PANEL,Rationalize,10524.58,Slow Moving,Operational,10524.58
539812990014,THUMB SWITCH 2 POSITION,Retain,93186.0,Active,Operational,93186.0
539813000010,TELEPHONE LIGHT WEIGHT PORTABLE CONTROL PHONE,Dispose,0.0,Dead Stock,Operational,0.0
539813010015,TRACK FEED RESISTANCE 0.30 OHMS,Retain,185042.49,Active,Operational,185042.49
539813020010,TRANSMITTER 1800 HZ (DIODO INSTRUMENT),Retain,77020.96,Active,Operational,77020.96
539813450015,CABLE ROUTE TRACER,Dispose,0.0,Dead Stock,Operational,0.0
539816660010,ELETROLYTE CAPACITOR 5000 MFD,Retain,19284.15,Active,Operational,19284.15
539816670014,RECEIVER 1800 HZ (DIODO INSTRUMENT),Rationalize,39163.58,Slow Moving,Operational,39163.58
539816680019,RECEIVER 2700 HZ (DIODO INSTRUMENT),Rationalize,0.0,Slow Moving,Operational,0.0
539816690013,TRANSMITTER 2700 HZ (DIODO INSTRUMENT),Rationalize,96275.51,Slow Moving,Operational,96275.51
539816700018,TRANSFORMER RECTIFIER 110V/24/2A,Rationalize,0.0,Slow Moving,Operational,0.0
539816710012,TRANSFORMER 110/110/1 KVA,Dispose,14160.0,Dead Stock,Operational,14160.0
539816720017,CLS 3 ASPECT,Dispose,0.0,Dead Stock,Operational,0.0
539816720017,CLS 3 ASPECT,Rationalize,0.0,Slow Moving,Operational,0.0
539816730011,GROUND CONNECTION ROD FOR IRS POINT MACHINE,Dispose,0.0,Dead Stock,Operational,0.0
539816740016,INVERTER 24DC/110VA/500VA,Retain,68378.64,Active,Operational,68378.64
539816750010,TRACK LEAD JUNCTION BOX WITH ANGLE,Retain,23535.0,Active,Operational,23535.0
539816760015,WIRE PVC 7/1.4MM DIA 100 METRE LENGTH,Rationalize,0.0,Slow Moving,Operational,0.0
539817400018,PPTC FUSE 2 Amps,Retain,35706.8,Active,Operational,35706.8
539818310013,DYNAMIC HANDSET,Rationalize,5936.77,Slow Moving,Operational,5936.77
539818320018,RUBBER BEADING,Rationalize,53624.45,Slow Moving,Operational,53624.45
539818360016,Retro Reflective Arrow Marker.,Retain,9590.0,Active,Operational,9590.0
539818390010,DIGITAL VOICE ANNOUNCIATOR AMPLIFIER,Dispose,0.0,Dead Stock,Operational,0.0
539818400014,DIGITAL VOICE ANNOUNCIATOR DRIVER UNIT,Dispose,0.0,Dead Stock,Operational,0.0
539818410019,DIGITAL VOICE ANNOUNCIATOR HORN,Dispose,0.0,Dead Stock,Operational,0.0
539818770012,RKT,Retain,1574507.91,Active,Operational,1574507.91
539818770012,RKT,Rationalize,149399.57,Slow Moving,Operational,149399.57
539819560013,SPD CLASS 'C' 110V AC,Dispose,0.0,Dead Stock,Operational,0.0
539819570018,SPD CLASS 'C' 110V DC,Dispose,2754.28,Dead Stock,Operational,2754.28
539819580012,SPD CLASS 'C' 24V DC,Retain,44615.8,Active,Operational,44615.8
539819590017,RESISTANCE 100 OHM 10 WATTS,Rationalize,401.2,Slow Moving,Operational,401.2
539819600011,WIRE COIL 3/0.75 (3/20),Retain,179960.05,Active,Operational,179960.05
539819620010,TRACK FEED RESISTANCE 0-15 OHMS,Rationalize,0.0,Slow Moving,Operational,0.0
539819630015,SPD CLASS 'B&C' 230V AC,Retain,33040.0,Active,Operational,33040.0
539820810017,CABLE PVC 3C X 10 SQMM ALUMINIUM,Rationalize,0.0,Slow Moving,Operational,0.0
539820810017,CABLE PVC 3C X 10 SQMM ALUMINIUM,Retain,457927.6,Active,Operational,457927.6
539820820011,CABLE 30C X 1.5 SQMM COPPER,Retain,0.0,Active,Operational,0.0
539820830016,HEATING ELEMENT,Retain,0.0,Active,Operational,0.0
539820840010,CABLE PVC 6 QUAD,Dispose,0.0,Dead Stock,Operational,0.0
539820850015,CRANK ADJUSTABLE 12 X 18,Rationalize,112550.84,Slow Moving,Operational,112550.84
539820860010,CABLE MARKER RCC,Dispose,51617.97,Dead Stock,Operational,51617.97
539820870014,DWC PIPE,Rationalize,0.0,Slow Moving,Operational,0.0
539820870014,DWC PIPE,Retain,588686.28,Active,Operational,588686.28
539820870014,DWC PIPE,Retain,183503.04,Active,Operational,183503.04
539820880019,CRANK ADJUSTABLE STRAIGHT 300 X 450 MM,Dispose,73046.4,Dead Stock,Operational,73046.4
539820890013,CRANK HORIZONTAL 300 X 300 MM,Retain,42336.0,Active,Operational,42336.0
539820900018,GUIDE ROLLER ASSEMBLY,Retain,43395.02,Active,Operational,43395.02
539820910012,G.I PIPE 50 MM DIA,Retain,98936.7,Active,Operational,98936.7
539820910012,G.I PIPE 50 MM DIA,Retain,109549.44,Active,Operational,109549.44
539820910012,G.I PIPE 50 MM DIA,Retain,274728.0,Active,Operational,274728.0
539820920017,EYE JOINT 32 MM,Rationalize,8111.25,Slow Moving,Operational,8111.25
539820930011,NAME BOARDS,Retain,7316.75,Active,Operational,7316.75
539821000015,ROD OF 18' LONG,Rationalize,472350.0,Slow Moving,Operational,472350.0
539821010010,NUMBER PLATES,Retain,932.16,Active,Operational,932.16
539821020014,SIGNAL SURFACE BASE,Retain,18208.71,Active,Operational,18208.71
539821030019,STOP BOARD,Dispose,17714.16,Dead Stock,Operational,17714.16
539821890010,CRANK HANDLE FOR IRS POINT MACHINE,Retain,1974.9,Active,Operational,1974.9
539821900014,PANEL KNOBS,Retain,23826.0,Active,Operational,23826.0
539821910019,L BRACKET INSULATION,Retain,57948.0,Active,Operational,57948.0
539821920013,CTB MS,Rationalize,0.0,Slow Moving,Operational,0.0
539822940019,FIXING PLATE FOR CH,Retain,1320.0,Active,Operational,1320.0
539822950013,GROUND CONNECTION FOR IRS POINT MACHINE (GALVANISED),Retain,1118312.89,Active,Operational,1118312.89
539823010012,PANEL FOR INTERLOCKING FOR LC,Retain,0.0,Active,Operational,0.0
539823140011,RELAY QNA1 K 1000 OHMS,Retain,0.0,Active,Operational,0.0
539823150016,TRANSFORMER 110V AC / 110 V AC / 500 VA,Dispose,18714.8,Dead Stock,Operational,18714.8
539823160010,VOLTAGE STABILIZER 1 KVA,Dispose,17600.0,Dead Stock,Operational,17600.0
539823170015,RESET BOX CEL MAKE,Dispose,0.0,Dead Stock,Operational,0.0
539823320013,PAINT RED OXIDE,Dispose,0.0,Dead Stock,Operational,0.0
539823330018,RAIN SUIT SHIRT WITH PANT AND CAP,Retain,17280.0,Active,Operational,17280.0
539823360011,SAFETY SHOE,Rationalize,2580.0,Slow Moving,Operational,2580.0
539823380010,INSULATION FOR SPILIT STRECHER BAR,Retain,49593.0,Active,Operational,49593.0
539823770018,TWO ASPECT MAIN LED SIGNAL,Dispose,0.0,Dead Stock,Operational,0.0
539823780012,THREE ASPECT MAIN LED SIGNAL,Dispose,0.0,Dead Stock,Operational,0.0
539823790017,EMERGENCY PANEL,Dispose,730410.0,Dead Stock,Operational,730410.0
539823821270,SMs SLIDE 8 WAY,Rationalize,0.0,Slow Moving,Operational,0.0
539823821282,SMs SLIDE 16 WAY,Rationalize,0.0,Slow Moving,Operational,0.0
539823821294,SMs SLIDE 12 WAY,Rationalize,0.0,Slow Moving,Operational,0.0
539824790013,BATTERY POWER PACK 230/12/7AH,Rationalize,11092.0,Slow Moving,Operational,11092.0
539824800018,CABLE PVC 12C X 1.5 SQMM COPPER,Retain,0.0,Active,Operational,0.0
539824800018,CABLE PVC 12C X 1.5 SQMM COPPER,Rationalize,0.0,Slow Moving,Operational,0.0
539824810012,CABLE 24C X 1.5 SQMM COPPER,Retain,0.0,Active,Operational,0.0
539824810012,CABLE 24C X 1.5 SQMM COPPER,Retain,1509060.03,Active,Operational,1509060.03
539824820017,PPTC FUSE 3 AMPS,Dispose,288.75,Dead Stock,Operational,288.75
539824830011,PPTC FUSE 1.10 AMPS,Rationalize,14000.0,Slow Moving,Operational,14000.0
539824850010,IPS BATTERY CHARGER MONITOR SMS ALERT,Dispose,97769.0,Dead Stock,Operational,97769.0
539824860015,IPS POWER SUPPLY FOR LC GATE,Rationalize,0.0,Slow Moving,Operational,0.0
539824870010,CABLE 10 PAIR,Dispose,0.0,Dead Stock,Operational,0.0
539824880014,LED CURRENT REGULATOR WITH FUSE BLOCK,Rationalize,0.0,Slow Moving,Operational,0.0
539824890019,MAINTENANCE FREE EARTH,Rationalize,0.0,Slow Moving,Operational,0.0
539824890019,MAINTENANCE FREE EARTH,Retain,85543.84,Active,Operational,85543.84
539824890019,MAINTENANCE FREE EARTH,Retain,421777.65,Active,Operational,421777.65
539824900013,RELAY RACK SIEMENS,Retain,0.0,Active,Operational,0.0
539824910018,RELAY RACK TO HOLD 100 RELAYS,Dispose,0.0,Dead Stock,Operational,0.0
539824910031,RELAY RACK TO HOLD 168 RELAYS,Rationalize,0.0,Slow Moving,Operational,0.0
539824920012,TRANSFORMER RECTIFIER TO CHARGE 1 TO 3-4 CELL CAPACITY TJ (TFBC),Retain,272279.7,Active,Operational,272279.7
539824920012,TRANSFORMER RECTIFIER TO CHARGE 1 TO 3-4 CELL CAPACITY TJ (TFBC),Retain,0.0,Active,Operational,0.0
539824930017,TRANSFORMER ISOLATION,Rationalize,0.0,Slow Moving,Operational,0.0
539824970015,ELECTRONIC PUSH BUTTON TELEPHONE,Dispose,0.0,Dead Stock,Operational,0.0
539824990014,LED RED WITH CURRENT REGULATOR,Dispose,0.0,Dead Stock,Operational,0.0
539825320016,LED YELLOW WITH CURRENT REGULATOR,Dispose,0.0,Dead Stock,Operational,0.0
539825330010,LED GREEN WITH CURRENT REGULATOR,Rationalize,0.0,Slow Moving,Operational,0.0
539825370019,A TYPE FOUNDATION,Rationalize,1066193.38,Slow Moving,Operational,1066193.38
539825570010,CLS LADDER 3.5 MTRS WITH PLAT FORM,Rationalize,0.0,Slow Moving,Operational,0.0
539825580014,CLS LADDER 4.5 MTRS WITH PLAT FORM,Retain,203272.0,Active,Operational,203272.0
539825590019,CLS POST 3.5 MTRS,Retain,51966.15,Active,Operational,51966.15
539825600013,DOUBLE LOCK KEY,Retain,673.0,Active,Operational,673.0
539825610018,C MARKER BOARD,Rationalize,13398.8,Slow Moving,Operational,13398.8
539825640011,FENCING FOR BOXES,Retain,254856.0,Active,Operational,254856.0
539825650016,GOODS WARNING BOARD,Dispose,0.0,Dead Stock,Operational,0.0
539825670015,E TYPE LOCK,Retain,134838.5,Active,Operational,134838.5
539825670015,E TYPE LOCK WITH KEY,Retain,127612.8,Active,Operational,127612.8
539825710013,LADDER FOUNDATION SHOE,Retain,0.0,Active,Operational,0.0
539825720018,"MARKER BOARD P""",Rationalize,6068.0,Slow Moving,Operational,6068.0
539825730012,"MARKER BOARD G""",Rationalize,656.0,Slow Moving,Operational,656.0
539825800014,ROD JOINT WITH INSULATION 32 MM DIA,Rationalize,7392.0,Slow Moving,Operational,7392.0
539825810019,SCREW JOINT 33 MM (S.E),Rationalize,173004.0,Slow Moving,Operational,173004.0
539825820013,BOND WIRE G.I.8 SWG,Rationalize,4602.0,Slow Moving,Operational,4602.0
539825830018,DRILL BIT 9/32 (7.2MM),Dispose,0.0,Dead Stock,Operational,0.0
539829680106,SMR module (HBL),Retain,90434.44,Active,Operational,90434.44
539830710020,Signal Conditioning Card no 1 (SCC1 card)Make: CEL.,Retain,254374.28,Active,Operational,254374.28
539832390016,"DC DC converter 24-32V , 5A",Dispose,0.0,Dead Stock,Operational,0.0
539837660010,TRANSFORMER 230/110/500VA,Rationalize,14160.0,Slow Moving,Operational,14160.0
539838080013,DIGITAL  EARTH RESISTANCE TESTER,Rationalize,8640.0,Slow Moving,Operational,8640.0
539839010018,Empty cable drum,Dispose,0.0,Dead Stock,Operational,0.0
539840170538,LIMIT SWITCH  NEW TOP ROLLER TYPE WITH 2 NO + 2 NC CONTACTS(New Design as per RDSO Letter....,Retain,2879.2,Active,Operational,2879.2
539847620010,floppy,Dispose,26.0,Dead Stock,Operational,26.0
539849020010,TOOL KIT SET,Rationalize,0.0,Slow Moving,Operational,0.0
539849030014,LED TORCH LIGHT TRI COLOR,Dispose,16764.0,Dead Stock,Operational,16764.0
539849040019,HP LASER JET MODEL 1020 PRINTER,Dispose,0.0,Dead Stock,Operational,0.0
539849050013,TOOL KIT WITH GREESE GUN,Rationalize,0.0,Slow Moving,Operational,0.0
539849060018,CHAIR TUBULAR STEEL WITH ARM 'S' TYPE,Dispose,0.0,Dead Stock,Operational,0.0
539849070012,COLLAR LINE BLOCK,Rationalize,1014.63,Slow Moving,Operational,1014.63
539849140014,RAIL JOINT INSULATION 60 KG COMPLETE SET,Rationalize,8151.65,Slow Moving,Operational,8151.65
539849150019,EWS LOCK (1 KEY FOR 10 LOCKS),Retain,27435.25,Active,Operational,27435.25
539849680010,Jn. type route indicator 2way,Rationalize,0.0,Slow Moving,Operational,0.0
539851450011,SUIT DARK GREY 1.5M,Dispose,0.0,Dead Stock,Operational,0.0
539851470010,SAREES BLUE,Dispose,0.0,Dead Stock,Operational,0.0
539851480015,SHIRT CLOTH GREY,Dispose,0.0,Dead Stock,Operational,0.0
539851490010,REFLECTIVE JACKET,Retain,10664.0,Active,Operational,10664.0
539856860010,BELL CONTACT ASSEMBLY FOR SGE BLOCK INSTRUMENT,Retain,27822.67,Active,Operational,27822.67
539860970019,Maintainers Head Lamp,Retain,124080.75,Active,Operational,124080.75
539861910018,LIGHT DUTY DRILLING MACHINE,Dispose,0.0,Dead Stock,Operational,0.0
539861920012,BATTEY OPERATED DRILLING MACHINE,Dispose,0.0,Dead Stock,Operational,0.0
539863160010,ANNOUNCIATOR 6 WAY,Retain,17090.0,Active,Operational,17090.0
539863170014,ANNOUNCIATOR 10 WAY,Retain,41172.0,Active,Operational,41172.0
539863180019,ANNOUNCIATOR 12 WAY,Retain,33984.0,Active,Operational,33984.0
539863190013,FRP TYPE ROAD WARNING SIGNAL DIGITAL VOICE ANNOUNCIATOR SYSTEM,Dispose,0.0,Dead Stock,Operational,0.0
539863480015,ASM Panel Module as per HBL make IPS system,Dispose,0.0,Dead Stock,Operational,0.0
539863860018,ROD JOINT INSULATION,Retain,2674.66,Active,Operational,2674.66
539863930010,MONO BLOCK BATTERY 12V/130AH,Dispose,0.0,Dead Stock,Operational,0.0
539865390017,E TYPE LOCK KEY,Dispose,0.0,Dead Stock,Operational,0.0
539865400011,E TYPE LOCK WITH DIFFERENT WARD,Dispose,0.0,Dead Stock,Operational,0.0
539868290125,UFSBI BLOCK INSRTUMENT WITH OUT QN1 RELAYS,Rationalize,2606088.0,Slow Moving,Operational,2606088.0
539868320014,CIRCUIT CONTROLLER 4WAY/8WAY,Dispose,0.0,Dead Stock,Operational,0.0
539868600011,Fit and Forget Lead wire 1.5 mtr,Rationalize,0.0,Slow Moving,Operational,0.0
