PL_Code,Description,Unit,UDM_Text,Unit_Cost,Normalized_Unit_Cost,Potential_Unit_Mismatch,Inventory_Value,Normalized_Inventory_Value,Inventory_Investment_Required,Normalized_Investment_Required,Procurement_Priority_Score,Normalized_Procurement_Priority_Score
52156576/56500452,Battery charger 230V AC 110V DC 30A,Nos,36 Nos,59590.0,59590.0,No,417130.0,417130.0,2937251.57,2937191.1,14686257.87,14685955.5
56160100,Battery Charger 230V/24V 40 AMPS,Nos,71  Nos,55460.0,55460.0,No,0.0,0.0,1168032.11,1167987.6,5840160.56,5839938.0
56450229,Relay AC Immune Plug in type style-QTA2,Nos,2917 Nos,2356.46,2356.46,No,367607.76,367607.76,2727684.4,2727673.14,5455368.81,5455346.29
50360693/50370110,4 wire way station control telephone RDSO/SPN IRS.TC.38/97 with latest amendment,Nos,870 Nos +2 sets,1392.4,1392.4,No,817338.8,817338.8,1985898.05,1985896.58,1985898.05,1985896.58
50210014,Emergency Socket Box,Nos,449 Nos,3630.86,3630.86,No,740695.44,740695.44,765773.01,765784.68,1531546.02,1531569.37
50370080,4 Wire DTMP Way Station Equipment,Nos,348 Nos,2891.0,2891.0,No,624456.0,624456.0,610456.52,610463.56,1220913.05,1220927.12
47200054/47200250,Transformer 230/110V  - 1 KVA,Nos,58 Nos.,6547.82,6547.82,No,13095.64,13095.64,448377.13,448394.71,896754.26,896789.43
56505959,RKT single various wards,,pin does not exist,9031.0,9031.0,No,0.0,0.0,415426.0,415426.0,415426.0,415426.0
72081181/72207413,Drill Twist 7.2 mm,Nos,11840 Nos,70.45,70.45,No,178097.6,178097.6,180297.54,180297.75,360595.09,360595.51
56507641,Channel Bond Pin,Nos,490247 Nos.,1.62,1.62,No,216710.64,216710.64,174261.95,174261.96,348523.91,348523.92
50901126,Lead Acid Batteries  - 4V/12 AH,,5 CLOSED,928.0,928.0,No,0.0,0.0,35264.0,35264.0,176320.0,176320.0
54252222,E-TYPE LOCK,,Pin does not exist,2758.0,2758.0,No,0.0,0.0,147553.0,147553.0,147553.0,147553.0
54253561,Hand Plungerlock with key,Nos,28 Nos,6962.0,6962.0,No,13924.0,13924.0,45786.29,45809.96,91572.59,91619.92
45174404/45174416,Hydro meter complete set,Nos,120 Nos +1882.995 sets sets,62.66,62.66,No,74690.72,74690.72,42750.23,42750.41,85500.47,85500.82
56511516,Railjoint Insulation 60Kg.,Set,10+360 Sets,866.12,866.12,No,0.0,0.0,6387.64,6391.97,31938.18,31959.83
56502606,Fuse ND type RDSO spn 78/92 10 Amps,Nos,13115 Nos,79.95,79.95,No,251043.0,251043.0,3280.37,3280.35,16401.85,16401.74
67900203,Auto Battery  12V X130 AH 19 plate,,2.0,0.0,0.0,No,0.0,0.0,0.0,0.0,0.0,0.0
56509376,A.R.A Terminal Block 25mm PBT small,,97600.0,52.42,52.42,No,534684.0,534684.0,0.0,0.0,0.0,0.0
50353603,Portable 4 wire Emergency Control Telephone with six pin flat type socket,Nos,473 Nos,1416.0,1416.0,No,470112.0,470112.0,0.0,0.0,0.0,0.0
56502576,Fuse ND type RDSO spn 78/92 16 Amps,Nos,1340 Nos,80.36,80.36,No,295081.92,295081.92,0.0,0.0,0.0,0.0
56502540,Fuse ND type  RDSO spn 78/92 6 Amps,Nos,17717 Nos,76.45,76.45,No,284011.75,284011.75,0.0,0.0,0.0,0.0
56509388,A.R.A Terminal Block 60mm PBT,Nos,50423 Nos,74.34,74.34,No,208152.0,208152.0,0.0,0.0,0.0,0.0
52156618/56509935,Battery charger 230V  AC/24V DC-20A,Nos,28 Nos,0.0,0.0,No,0.0,0.0,0.0,0.0,0.0,0.0
56500350,Battery charger 110V AC 24V DC 30A,Nos,36 Nos,0.0,0.0,No,0.0,0.0,0.0,0.0,0.0,0.0
50231959,Telephone Electronic Push Button   main - Extn .1+1,Set,80sets,3250.0,3250.0,No,646750.0,646750.0,0.0,0.0,0.0,0.0
50231832/50231881,Telephone Electronic Push Button,Nos,850 Nos,477.9,477.9,No,540504.9,540504.9,0.0,0.0,0.0,0.0
56163034,Voltage stabilizer 3 KVA-230V.,Nos,32 Nos,38792.5,38792.5,No,659472.5,659472.5,0.0,0.0,0.0,0.0
40981381,Wire coil PVC 16/0.2 mm,MTR,83000No+7295.010Mtr+17.000hmtrrolls,0.0,0.0,No,0.0,0.0,0.0,0.0,0.0,0.0
50132453,Telephone card 3 Way 1.5m long,,5.0,0.0,0.0,No,0.0,0.0,0.0,0.0,0.0,0.0
67900185,Auto Battery 12V/75AH,Nos,10 Nos,0.0,0.0,No,0.0,0.0,0.0,0.0,0.0,0.0
56509686,Transformer 230/110V  -  3 KVA,,Pin does not exist,0.0,0.0,No,0.0,0.0,0.0,0.0,0.0,0.0
56301704,Ground Connection for IRS Point Machine,Set,3+385 Sets,0.0,0.0,No,0.0,0.0,0.0,0.0,0.0,0.0
56986210,FS CABLE,,Pin does not exist,0.0,0.0,No,0.0,0.0,0.0,0.0,0.0,0.0
56160112,BATTERY CHARGER 230V/24V/50AMPS,Nos,4 Nos,0.0,0.0,No,0.0,0.0,0.0,0.0,0.0,0.0
91150401,SOLDER CORE RESIN FILLED (Kgs.),Kgs,3050gms+138.505 kgs,2338.26,2338.26,No,292282.5,292282.5,0.0,0.0,0.0,0.0
56060002,RAIL JOINT INSULATION 52kg. nylon comp.,Nos,25 Nos+1210 sets,0.0,0.0,No,0.0,0.0,0.0,0.0,0.0,0.0
50132600,Telephone card 3 Way 1.5m long,Nos,2525 Nos,0.0,0.0,No,0.0,0.0,0.0,0.0,0.0,0.0
41095066,PVC Insulation TAPE (Mtrs),MTR,1242 Nos.+29644 MTR + 129 Rolls,0.0,0.0,No,0.0,0.0,0.0,0.0,0.0,0.0
40070359,Wire coil 3/0 75 mm,,0.0,0.0,0.0,No,0.0,0.0,0.0,0.0,0.0,0.0
56985526,Fuse ND Type RDSO Spn 78/92 4A Maps,,0.0,0.0,0.0,No,0.0,0.0,0.0,0.0,0.0,0.0
