PL_Code,Description,Inventory_Domain,Business_Unit,Division,Equipment_Family,Source_Universe,ABC_Class,Criticality,Current_Stock,Unit_Cost,Inventory_Value,Depot,Snapshot_Date,Pipeline_Version
50370080,4 Wire DTMP Way Station Equipment,Railway_Operations,MAS,Chennai,Telephone,Strategic,B2,S3,216.0,2891.0,624456.0,,2026-03-31,12.5.0
56451027,Relay AC  Immune Plug in  type style-QBCA1,Railway_Operations,MDU,Madurai,Relay,Both,B2,S3,46.0,3367.77,154917.42,SSE/SRM/SIG/MDU087221-S AND T-SR,2026-03-31,12.5.0
50360693/50370110,4 wire way station control telephone RDSO/SPN IRS.TC.38/97 with latest amendment,Railway_Operations,MAS,Chennai,Telephone,Strategic,C,S4,587.0,1392.4,817338.8,,2026-03-31,12.5.0
50231832/50231881,Telephone Electronic Push Button,Railway_Operations,MAS,Chennai,Telephone,Strategic,C,S3,1131.0,477.9,540504.9,,2026-03-31,12.5.0
56163034,Voltage stabilizer 3 KVA-230V.,Railway_Operations,MDU,Madurai,Power Supply,Both,C,S3,17.0,38792.5,659472.5,SSE/SRM/SIG/MDU087221-S AND T-SR,2026-03-31,12.5.0
56509376,A.R.A Terminal Block 25mm PBT small,Railway_Operations,MDU,Madurai,Termination / Wiring,Both,C,S2,10200.0,52.42,534684.0,SSE/SRM/SIG/MDU087221-S AND T-SR,2026-03-31,12.5.0
50210014,Emergency Socket Box,Railway_Operations,MAS,Chennai,Termination / Wiring,Strategic,C,S3,204.0,3630.86,740695.44,,2026-03-31,12.5.0
56987122/56110029,Cable 3 C x 10 sq.mm,Railway_Operations,MAS,Chennai,Signal Cable,Strategic,C,S1,3988.0,124490.0,496466120.0,,2026-03-31,12.5.0
50353603,Portable 4 wire Emergency Control Telephone with six pin flat type socket,Railway_Operations,MAS,Chennai,Telephone,Strategic,C,S3,332.0,1416.0,470112.0,,2026-03-31,12.5.0
72081181/72207413,Drill Twist 7.2 mm,Railway_Operations,MAS,Chennai,Other / Unclassified,Strategic,C,S3,2528.0,70.45,178097.6,,2026-03-31,12.5.0
56502540,Fuse ND type  RDSO spn 78/92 6 Amps,Railway_Operations,MDU,Madurai,Other / Unclassified,Both,C,S2,3715.0,76.45,284011.75,SSE/SRM/SIG/MDU087221-S AND T-SR,2026-03-31,12.5.0
56507641,Channel Bond Pin,Railway_Operations,MDU,Madurai,Other / Unclassified,Both,C,S3,133772.0,1.62,216710.64,SSE/SRM/SIG/MDU087221-S AND T-SR,2026-03-31,12.5.0
56509388,A.R.A Terminal Block 60mm PBT,Railway_Operations,MDU,Madurai,Termination / Wiring,Both,C,S2,2800.0,74.34,208152.0,SSE/SRM/SIG/MDU087221-S AND T-SR,2026-03-31,12.5.0
56502576,Fuse ND type RDSO spn 78/92 16 Amps,Railway_Operations,MDU,Madurai,Other / Unclassified,Both,C,S2,3672.0,80.36,295081.92,SSE/SRM/SIG/MDU087221-S AND T-SR,2026-03-31,12.5.0
56502606,Fuse ND type RDSO spn 78/92 10 Amps,Railway_Operations,MDU,Madurai,Other / Unclassified,Both,C,S2,3140.0,79.95,251043.0,SSE/SRM/SIG/MDU087221-S AND T-SR,2026-03-31,12.5.0
47200054/47200250,Transformer 230/110V  - 1 KVA,Railway_Operations,MAS,Chennai,Other / Unclassified,Strategic,C,S3,2.0,6547.82,13095.64,,2026-03-31,12.5.0
91150401,SOLDER CORE RESIN FILLED (Kgs.),Railway_Operations,MAS,Chennai,LED Signal,Strategic,C,S4,125.0,2338.26,292282.5,,2026-03-31,12.5.0
50231959,Telephone Electronic Push Button   main - Extn .1+1,Railway_Operations,MAS,Chennai,Telephone,Strategic,C,S3,199.0,3250.0,646750.0,,2026-03-31,12.5.0
54253561,Hand Plungerlock with key,Railway_Operations,MDU,Madurai,Other / Unclassified,Both,C,S3,2.0,6962.0,13924.0,SSE/SRM/SIG/MDU087221-S AND T-SR,2026-03-31,12.5.0
45174404/45174416,Hydro meter complete set,Railway_Operations,MAS,Chennai,Other / Unclassified,Strategic,C,S3,1192.0,62.66,74690.72,,2026-03-31,12.5.0
56509960,Cable 2 C x 25 sq.mm,Railway_Operations,MDU,Madurai,Signal Cable,Both,C,S1,9.057,1174.1,10633.82,SSE/SRM/SIG/MDU087221-S AND T-SR,2026-03-31,12.5.0
67900203,Auto Battery  12V X130 AH 19 plate,Railway_Operations,MDU,Madurai,Battery / Cell,Both,C,S3,0.0,0.0,0.0,SSE/SRM/SIG/MDU087221-S AND T-SR,2026-03-31,12.5.0
56500350,Battery charger 110V AC 24V DC 30A,Railway_Operations,MDU,Madurai,Power Supply,Both,C,S4,21.0,0.0,0.0,SSE/SRM/SIG/MDU087221-S AND T-SR,2026-03-31,12.5.0
52156618/56509935,Battery charger 230V  AC/24V DC-20A,Railway_Operations,MAS,Chennai,Power Supply,Strategic,C,S2,0.0,0.0,0.0,,2026-03-31,12.5.0
50901126,Lead Acid Batteries  - 4V/12 AH,Railway_Operations,MAS,Chennai,Battery / Cell,Strategic,C,S2,0.0,928.0,0.0,,2026-03-31,12.5.0
40981381,Wire coil PVC 16/0.2 mm,Railway_Operations,MDU,Madurai,Other / Unclassified,Both,C,S3,0.0,0.0,0.0,SSE/SRM/SIG/MDU087221-S AND T-SR,2026-03-31,12.5.0
56160100,Battery Charger 230V/24V 40 AMPS,Railway_Operations,MDU,Madurai,Power Supply,Both,C,S2,0.0,55460.0,0.0,SSE/SRM/SIG/MDU087221-S AND T-SR,2026-03-31,12.5.0
56119033,Cable 19 C x 1.5 sq.mm,Railway_Operations,MDU,Madurai,Signal Cable,Both,C,S1,236.0,341197.0,80522492.0,SSE/SRM/SIG/MDU087221-S AND T-SR,2026-03-31,12.5.0
56511516,Railjoint Insulation 60Kg.,Railway_Operations,MAS,Chennai,Other / Unclassified,Strategic,C,S2,0.0,866.12,0.0,,2026-03-31,12.5.0
50132453,Telephone card 3 Way 1.5m long,Railway_Operations,MAS,Chennai,Telephone,Strategic,C,S3,0.0,0.0,0.0,,2026-03-31,12.5.0
54252222,E-TYPE LOCK,Railway_Operations,MAS,Chennai,Other / Unclassified,Strategic,C,S4,0.0,2758.0,0.0,,2026-03-31,12.5.0
56505959,RKT single various wards,Railway_Operations,MAS,Chennai,Other / Unclassified,Strategic,C,S4,0.0,9031.0,0.0,,2026-03-31,12.5.0
67900185,Auto Battery 12V/75AH,Railway_Operations,MAS,Chennai,Battery / Cell,Strategic,C,S4,0.0,0.0,0.0,,2026-03-31,12.5.0
56509686,Transformer 230/110V  -  3 KVA,Railway_Operations,MAS,Chennai,Other / Unclassified,Strategic,C,S4,0.0,0.0,0.0,,2026-03-31,12.5.0
56301704,Ground Connection for IRS Point Machine,Railway_Operations,MDU,Madurai,Point Machine,Both,C,S4,0.0,0.0,0.0,SSE/SRM/SIG/MDU087221-S AND T-SR,2026-03-31,12.5.0
56986210,FS CABLE,Railway_Operations,MAS,Chennai,Signal Cable,Strategic,C,S4,0.0,0.0,0.0,,2026-03-31,12.5.0
56160112,BATTERY CHARGER 230V/24V/50AMPS,Railway_Operations,MDU,Madurai,Power Supply,Both,C,S4,0.0,0.0,0.0,SSE/SRM/SIG/MDU087221-S AND T-SR,2026-03-31,12.5.0
56060002,RAIL JOINT INSULATION 52kg. nylon comp.,Railway_Operations,MDU,Madurai,Other / Unclassified,Both,C,S4,0.0,0.0,0.0,SSE/SRM/SIG/MDU087221-S AND T-SR,2026-03-31,12.5.0
50132600,Telephone card 3 Way 1.5m long,Railway_Operations,MAS,Chennai,Telephone,Strategic,C,S4,0.0,0.0,0.0,,2026-03-31,12.5.0
41095066,PVC Insulation TAPE (Mtrs),Railway_Operations,TVC,Thiruvananthapuram,Other / Unclassified,Strategic,C,S4,31965.0,0.0,0.0,,2026-03-31,12.5.0
40070359,Wire coil 3/0 75 mm,Railway_Operations,MAS,Chennai,Other / Unclassified,Strategic,C,S4,0.0,0.0,0.0,,2026-03-31,12.5.0
56985526,Fuse ND Type RDSO Spn 78/92 4A Maps,Railway_Operations,MAS,Chennai,Other / Unclassified,Strategic,C,S4,0.0,0.0,0.0,,2026-03-31,12.5.0
86010050,PORTABLE STORED PRESSURE ABC TYPE DRY CHEMICAL POWDER FIRE EXTINGUISHER OF 6 Kg. CAPACITY ....,Railway_Operations,MDU,Madurai,Other / Unclassified,Operational,C,,0.0,967.11,0.0,SSE/SRM/SIG/MDU087221-S AND T-SR,2026-03-31,12.5.0
861600910011,ISOLATOR BASE DETECTOR BASE,Railway_Operations,MDU,Madurai,Other / Unclassified,Operational,C,,0.0,1500.0,0.0,SSE/SRM/SIG/MDU087221-S AND T-SR,2026-03-31,12.5.0
861600970019,RELAY MODULE ADDRESSABLE RE -717 MR,Railway_Operations,MDU,Madurai,Relay,Operational,C,,0.0,3700.0,0.0,SSE/SRM/SIG/MDU087221-S AND T-SR,2026-03-31,12.5.0
861600990018,CONTROL MODULE ADDRESSABLE RE-717 MC,Railway_Operations,MDU,Madurai,Other / Unclassified,Operational,C,,6.0,5000.0,30000.0,SSE/SRM/SIG/MDU087221-S AND T-SR,2026-03-31,12.5.0
861601000014,MONITOR MODULE ADDRESSABLE RE- 717 MM,Railway_Operations,MDU,Madurai,Other / Unclassified,Operational,C,,5.0,3000.0,15000.0,SSE/SRM/SIG/MDU087221-S AND T-SR,2026-03-31,12.5.0
863500010164,Smoke cum heat sensor,Railway_Operations,MDU,Madurai,Other / Unclassified,Operational,C,,20.0,3500.0,70000.0,SSE/SRM/SIG/MDU087221-S AND T-SR,2026-03-31,12.5.0
565099650010,A22. Remote Terminal Unit(RTU) with 64 digital input & 16 analog input as per technical sp....,Railway_Operations,MDU,Madurai,Other / Unclassified,Operational,C,,0.0,171927.66,0.0,SSE/SRM/SIG/MDU087221-S AND T-SR,2026-03-31,12.5.0
565172840739,EXTERNAL MODEM FOR RTU,Railway_Operations,MDU,Madurai,Network Equipment,Operational,A,,53.0,23716.74,1256987.43,SSE/SRM/SIG/MDU087221-S AND T-SR,2026-03-31,12.5.0
567911510010,DIGITAL VOICE ANNOUNCING SYSTEM,Railway_Operations,MDU,Madurai,Other / Unclassified,Operational,A,,89.0,9649.23,858781.56,SSE/SRM/SIG/MDU087221-S AND T-SR,2026-03-31,12.5.0
567911560024,PCB-SMR Address card for IPS suitable for existing AMARARAJA make,Railway_Operations,MDU,Madurai,IPS,Operational,C,,0.0,4720.0,0.0,SSE/SRM/SIG/MDU087221-S AND T-SR,2026-03-31,12.5.0
567911860019,LC gate Road warning FRB Hood (3 aspects),Railway_Operations,MDU,Madurai,Other / Unclassified,Operational,C,,1.0,11800.0,11800.0,SSE/SRM/SIG/MDU087221-S AND T-SR,2026-03-31,12.5.0
567912100082,GSM Modem for SMS generation,Railway_Operations,MDU,Madurai,Network Equipment,Operational,C,,0.0,11670.2,0.0,SSE/SRM/SIG/MDU087221-S AND T-SR,2026-03-31,12.5.0
567918190135,QL1 Relay 11F/4B,Railway_Operations,MDU,Madurai,Relay,Operational,C,,0.0,3528.2,0.0,SSE/SRM/SIG/MDU087221-S AND T-SR,2026-03-31,12.5.0
567918870018,PCB-110V MUIB1 with N/C logic suitable for existing AMARARAJA make IPS.,Railway_Operations,MDU,Madurai,IPS,Operational,C,,0.0,11210.0,0.0,SSE/SRM/SIG/MDU087221-S AND T-SR,2026-03-31,12.5.0
567918880012,PCB Potential free contacts board suitable for existing make AMARARAJA IPS,Railway_Operations,MDU,Madurai,IPS,Operational,C,,0.0,8260.0,0.0,SSE/SRM/SIG/MDU087221-S AND T-SR,2026-03-31,12.5.0
567918890017,PCB-PFC interface board,Railway_Operations,MDU,Madurai,Other / Unclassified,Operational,C,,0.0,7670.0,0.0,SSE/SRM/SIG/MDU087221-S AND T-SR,2026-03-31,12.5.0
567918900011,PCB -Battery disconnect indication board.(BDIB) suitable for  AMARARAJA MAKE IPS,Railway_Operations,MDU,Madurai,IPS,Operational,C,,0.0,5900.0,0.0,SSE/SRM/SIG/MDU087221-S AND T-SR,2026-03-31,12.5.0
567918910016,PCB-MOV Class D protection board -1ph suitable for existing AMARARAJA make IPS,Railway_Operations,MDU,Madurai,IPS,Operational,C,,0.0,3540.0,0.0,SSE/SRM/SIG/MDU087221-S AND T-SR,2026-03-31,12.5.0
567918920010,PCB ?SCR Snubber BD for IPS SSBACC suitable for existing AMARARAJA make IPS.,Railway_Operations,MDU,Madurai,IPS,Operational,C,,0.0,2950.0,0.0,SSE/SRM/SIG/MDU087221-S AND T-SR,2026-03-31,12.5.0
567918940010,24-40V/5A DC-DC Conv Module Mini PMB Ver suitable for AMARA RAJA IPS.,Railway_Operations,MDU,Madurai,IPS,Operational,C,,0.0,22420.0,0.0,SSE/SRM/SIG/MDU087221-S AND T-SR,2026-03-31,12.5.0
567918950014,PMB-03-06/0.1A DC-DC CONV WITH TINY Sw suitable for AMARARAJA IPS,Railway_Operations,MDU,Madurai,IPS,Operational,C,,0.0,5310.0,0.0,SSE/SRM/SIG/MDU087221-S AND T-SR,2026-03-31,12.5.0
567918960020,Power module-1.0KVA INVERTER-DADI-IPS suitable for AMARA RAJA IPS,Railway_Operations,MDU,Madurai,IPS,Operational,C,,0.0,47200.0,0.0,SSE/SRM/SIG/MDU087221-S AND T-SR,2026-03-31,12.5.0
567919050011,Processor card suitable for Efftronics make,Railway_Operations,MDU,Madurai,Other / Unclassified,Operational,C,,1.0,47200.0,47200.0,SSE/SRM/SIG/MDU087221-S AND T-SR,2026-03-31,12.5.0
567919060016,Digital Interface Card Suitable for Efftronics make Datalogger.,Railway_Operations,MDU,Madurai,Other / Unclassified,Operational,C,,3.0,15999.62,47998.86,SSE/SRM/SIG/MDU087221-S AND T-SR,2026-03-31,12.5.0
567919120013,DUAL MODEM CARD SUITABLE FOR EFFTRONICS MAKE DATALOGGER,Railway_Operations,MDU,Madurai,Network Equipment,Operational,C,,0.0,31860.0,0.0,SSE/SRM/SIG/MDU087221-S AND T-SR,2026-03-31,12.5.0
567919140012,GDT CARD SUITABLE FOR EFFTRONICS MAKE DATALOGGER,Railway_Operations,MDU,Madurai,Other / Unclassified,Operational,C,,0.0,6836.92,0.0,SSE/SRM/SIG/MDU087221-S AND T-SR,2026-03-31,12.5.0
567919430014,SURGE CARD SUITABLE FOR SIRVEEN MAKE.,Railway_Operations,MDU,Madurai,Other / Unclassified,Operational,C,,0.0,5310.0,0.0,SSE/SRM/SIG/MDU087221-S AND T-SR,2026-03-31,12.5.0
567921140019,DUAL E1 MODEM FOR EFFTRONICS MAKE DATALOGGER,Railway_Operations,MDU,Madurai,Network Equipment,Operational,C,,0.0,39412.0,0.0,SSE/SRM/SIG/MDU087221-S AND T-SR,2026-03-31,12.5.0
567921570014,DISPLAY CARD FOR EFFTRONICS MAKE DATALOGGER RTU,Railway_Operations,MDU,Madurai,Other / Unclassified,Operational,C,,5.0,28999.68,144998.4,SSE/SRM/SIG/MDU087221-S AND T-SR,2026-03-31,12.5.0
567921580019,MOTHER BOARD SUITABLE FOR SIRVEEN MAKE RTU,Railway_Operations,MDU,Madurai,Other / Unclassified,Operational,C,,0.0,21240.0,0.0,SSE/SRM/SIG/MDU087221-S AND T-SR,2026-03-31,12.5.0
567921590013,ANALOG INPUT 16 CHANNELS SUITABLE FOR SIRVEEN MAKE RTU,Railway_Operations,MDU,Madurai,Other / Unclassified,Operational,C,,0.0,25960.0,0.0,SSE/SRM/SIG/MDU087221-S AND T-SR,2026-03-31,12.5.0
567921600018,ANALOG SCANNER CARD SUITABLE FOR SIRVEEN MAKE RTU,Railway_Operations,MDU,Madurai,Printer,Operational,C,,0.0,23010.0,0.0,SSE/SRM/SIG/MDU087221-S AND T-SR,2026-03-31,12.5.0
567921610012,DIGITAL INPUT CARD 128 SUITABLE  FOR SIRVEEN MAKE RTU,Railway_Operations,MDU,Madurai,Other / Unclassified,Operational,C,,0.0,24780.0,0.0,SSE/SRM/SIG/MDU087221-S AND T-SR,2026-03-31,12.5.0
567921620017,DIGITAL SCANNER AND TELE CONTROL CARD  SUITABLE  FOR SIRVEEN MAKE RTU,Railway_Operations,MDU,Madurai,Printer,Operational,C,,0.0,33630.0,0.0,SSE/SRM/SIG/MDU087221-S AND T-SR,2026-03-31,12.5.0
567921630011,DIGITAL TERMINATION CARD  SUITABLE  FOR SIRVEEN MAKE RTU,Railway_Operations,MDU,Madurai,Other / Unclassified,Operational,C,,0.0,8260.0,0.0,SSE/SRM/SIG/MDU087221-S AND T-SR,2026-03-31,12.5.0
567921640016,DISPLAY CARD  SUITABLE  FOR SIRVEEN MAKE RTU,Railway_Operations,MDU,Madurai,Other / Unclassified,Operational,C,,0.0,18880.0,0.0,SSE/SRM/SIG/MDU087221-S AND T-SR,2026-03-31,12.5.0
567921650010,ANALOG SINGLE MODEM (EXTERNAL)  SUITABLE  FOR SIRVEEN MAKE RTU,Railway_Operations,MDU,Madurai,Network Equipment,Operational,C,,0.0,18290.0,0.0,SSE/SRM/SIG/MDU087221-S AND T-SR,2026-03-31,12.5.0
567921660015,BATTERY CHARGER (WITH OUT BATTERIES)  SUITABLE  FOR SIRVEEN MAKE RTU,Railway_Operations,MDU,Madurai,Power Supply,Operational,C,,0.0,25960.0,0.0,SSE/SRM/SIG/MDU087221-S AND T-SR,2026-03-31,12.5.0
567924530015,ANU VIDYUT MAKE EARTH LEAKGE  DETECTOR  CHANNEL MODULE,Railway_Operations,MDU,Madurai,Other / Unclassified,Operational,B,,34.0,5463.4,185755.6,SSE/SRM/SIG/MDU087221-S AND T-SR,2026-03-31,12.5.0
567924550014,ANUVIDYUT MAKE  EARTH LEAKAGE DETECTOR   MAIN MODULE,Railway_Operations,MDU,Madurai,Other / Unclassified,Operational,C,,30.0,5564.1,166923.06,SSE/SRM/SIG/MDU087221-S AND T-SR,2026-03-31,12.5.0
567925360014,Insulating Components for Ground connection 143 mm,Railway_Operations,MDU,Madurai,Other / Unclassified,Operational,C,,0.0,832.0,0.0,SSE/SRM/SIG/MDU087221-S AND T-SR,2026-03-31,12.5.0
567925370019,Insulating Components for Ground connection 220 mm,Railway_Operations,MDU,Madurai,Other / Unclassified,Operational,C,,30.0,1168.0,35040.0,SSE/SRM/SIG/MDU087221-S AND T-SR,2026-03-31,12.5.0
567926720038,ANU VIDYUT MAKE ELD  METER MODULE,Railway_Operations,MDU,Madurai,Other / Unclassified,Operational,B,,25.0,8296.58,207414.5,SSE/SRM/SIG/MDU087221-S AND T-SR,2026-03-31,12.5.0
569003030540,FIRE ALARM CABLE 2 X 1.5 SQMM UNARMOURED Cable,Railway_Operations,MDU,Madurai,Signal Cable,Operational,C,,0.0,101.5,0.0,SSE/SRM/SIG/MDU087221-S AND T-SR,2026-03-31,12.5.0
569003530068,FIRE ALARM AUDIO VISUAL ALARM (HOOTER AND STROBE) WITH BACK BOX AS PER RDSO/SPN/217/2018 V....,Railway_Operations,MDU,Madurai,Other / Unclassified,Operational,C,,8.0,13408.0,107264.0,SSE/SRM/SIG/MDU087221-S AND T-SR,2026-03-31,12.5.0
569004470407,"Professional Large Format Display, Size 55 INCH .",Railway_Operations,MDU,Madurai,Other / Unclassified,Operational,C,,1.0,52460.0,52460.0,SSE/SRM/SIG/MDU087221-S AND T-SR,2026-03-31,12.5.0
569005090059,LHS Interface Module with EOL as per  RDSO/SPN/217/2021 Ver 3 or latest.,Railway_Operations,MDU,Madurai,Other / Unclassified,Operational,C,,5.0,3600.0,18000.0,SSE/SRM/SIG/MDU087221-S AND T-SR,2026-03-31,12.5.0
569005100028,FIRE ALARM LOOP CARD,Railway_Operations,MDU,Madurai,Other / Unclassified,Operational,C,,0.0,499.0,0.0,SSE/SRM/SIG/MDU087221-S AND T-SR,2026-03-31,12.5.0
569008650210,Analog Card without controller suitable for Efftronics make RTU,Railway_Operations,MDU,Madurai,Other / Unclassified,Operational,B,,10.0,23600.0,236000.0,SSE/SRM/SIG/MDU087221-S AND T-SR,2026-03-31,12.5.0
569014610111,Fire Alarm Power supply Panel,Railway_Operations,MDU,Madurai,Other / Unclassified,Operational,C,,1.0,999.0,999.0,SSE/SRM/SIG/MDU087221-S AND T-SR,2026-03-31,12.5.0
569044840015,Fit and Forget Lead wire 4mtrs,Railway_Operations,MDU,Madurai,Other / Unclassified,Operational,C,,0.0,395.0,0.0,SSE/SRM/SIG/MDU087221-S AND T-SR,2026-03-31,12.5.0
569054070012,Contact springs for Plunger contact assembly in set,Railway_Operations,MDU,Madurai,Other / Unclassified,Operational,C,,3.0,436.6,1309.8,SSE/SRM/SIG/MDU087221-S AND T-SR,2026-03-31,12.5.0
569065080010,EOLB Operating panel with relays,Railway_Operations,MDU,Madurai,Relay,Operational,A,,3.0,218271.0,654813.0,SSE/SRM/SIG/MDU087221-S AND T-SR,2026-03-31,12.5.0
569067990017,Supply of SMPS based IPS suitable for interlocked LC gate in RE area with VRLA batteries,Railway_Operations,MDU,Madurai,IPS,Operational,C,,0.0,1136362.0,0.0,SSE/SRM/SIG/MDU087221-S AND T-SR,2026-03-31,12.5.0
56985721,PLUG TYPE RELAY 12 VOLTS DC4F ( RELAY QB3),Railway_Operations,MDU,Madurai,Relay,Operational,C,,0.0,8120.0,0.0,SSE/SRM/SIG/MDU087221-S AND T-SR,2026-03-31,12.5.0
56985800,ELECTRONIC TIME DELAY DEVICE ( 60 SEC),Railway_Operations,MDU,Madurai,Other / Unclassified,Operational,B,,82.0,3053.97,250425.79,SSE/SRM/SIG/MDU087221-S AND T-SR,2026-03-31,12.5.0
56986130,RELAY STYLE QBAT AC TRACK,Railway_Operations,MDU,Madurai,Relay,Operational,C,,5.0,10911.34,54556.72,SSE/SRM/SIG/MDU087221-S AND T-SR,2026-03-31,12.5.0
570109490386,Supply and installation of embedded PC with Dualmonitors - one of size 21.5 for SM to ente....,Railway_Operations,MDU,Madurai,Other / Unclassified,Operational,C,,0.0,299000.0,0.0,SSE/SRM/SIG/MDU087221-S AND T-SR,2026-03-31,12.5.0
570124280012,MULTIMONITER SOFTWARE ALONG WITHYARD DIGITALIZATION CD,Railway_Operations,MDU,Madurai,Other / Unclassified,Operational,C,,0.0,40.0,0.0,SSE/SRM/SIG/MDU087221-S AND T-SR,2026-03-31,12.5.0
570124290017,PC BASED LED MULTIMONITOR DISPLAY,Railway_Operations,MDU,Madurai,LED Signal,Operational,C,,0.0,283550.0,0.0,SSE/SRM/SIG/MDU087221-S AND T-SR,2026-03-31,12.5.0
570124300011,LARGE FORMAT LED DISPLAY 42 TV(SAMSUNG),Railway_Operations,MDU,Madurai,LED Signal,Operational,C,,0.0,69443.0,0.0,SSE/SRM/SIG/MDU087221-S AND T-SR,2026-03-31,12.5.0
570124310016,UPS 3 KVA,Railway_Operations,MDU,Madurai,Other / Unclassified,Operational,C,,2.0,50290.0,100580.0,SSE/SRM/SIG/MDU087221-S AND T-SR,2026-03-31,12.5.0
730500640101,Single piece Spring Inserted Reusable seize nut of Size( Size M-10) Make : SAPER LOCK,Railway_Operations,MDU,Madurai,Other / Unclassified,Operational,C,,0.0,212.4,0.0,SSE/SRM/SIG/MDU087221-S AND T-SR,2026-03-31,12.5.0
834700901223,PH METER,Railway_Operations,MDU,Madurai,Other / Unclassified,Operational,C,,1.0,735.0,735.0,SSE/SRM/SIG/MDU087221-S AND T-SR,2026-03-31,12.5.0
560603820857,D Bracket for ground connection,Railway_Operations,MDU,Madurai,Other / Unclassified,Operational,C,,0.0,580.16,0.0,SSE/SRM/SIG/MDU087221-S AND T-SR,2026-03-31,12.5.0
560603820869,L Bracket for ground connection,Railway_Operations,MDU,Madurai,Other / Unclassified,Operational,C,,0.0,580.16,0.0,SSE/SRM/SIG/MDU087221-S AND T-SR,2026-03-31,12.5.0
560604184353,EMERGENCY SLIDING BOOM COMPLETE SET,Railway_Operations,MDU,Madurai,Other / Unclassified,Operational,C,,0.0,202692.0,0.0,SSE/SRM/SIG/MDU087221-S AND T-SR,2026-03-31,12.5.0
