PL_Code,Description,Current_Stock,Inventory_Value,Days_Since_Movement,Depot
409000511438,PEDASTAL FANS,2.0,1600.0,1693,SSE/S/SRM/TPJ077355-S AND T-SR
565199032324,Released Inverter 110V DC / 230V,2.0,1600.0,1086,SSE/S/SRM/TPJ077355-S AND T-SR
539855720010,Generator Portable,1.0,1500.0,1693,SSE/S/SRM/TPJ077355-S AND T-SR
570100822428,CPU HCL make,1.0,1500.0,1692,SSE/S/SRM/TPJ077355-S AND T-SR
432900230899,Distilled Water Plant,1.0,1500.0,1693,SSE/S/SRM/TPJ077355-S AND T-SR
565199410021,Data Logger RTU Fault Analysis Software,1.0,1500.0,783,SSE/S/SRM/TPJ077355-S AND T-SR
727901391219,Platform weighing machine 1000 kg,1.0,1500.0,1692,SSE/S/SRM/TPJ077355-S AND T-SR
727900038706,Bench Vice  5,2.0,1500.0,1692,SSE/S/SRM/TPJ077355-S AND T-SR
56985710,CONTRACTOR UNIT ASSEMBLY,13.0,1456.0,1333,SSE/S/SRM/TPJ077355-S AND T-SR
40071110,CABLE PVC INSULATED UNARMOURED SINGLE CORE MULTI STRAND COPPER CONDUCTOR OF SIZE 1.5 SQMM ....,100.0,1400.0,1097,SSE/S/SRM/TPJ077355-S AND T-SR
539802230011,PVC Pipe 25 mm,10.0,1120.0,1671,SSE/S/SRM/TPJ077355-S AND T-SR
56300128,LOCK ROD LUG & DETECTOR ROD LUG IN SET FOR GROUND CONNECTION. ONE SET COMPRISING OF (a) LO....,8.0,1088.0,1100,SSE/S/SRM/TPJ077355-S AND T-SR
543400060026,ROD JOINT [ EYE JOINT ],34.0,1020.0,986,SSE/S/SRM/TPJ077355-S AND T-SR
565000090130,B type CHOKE,1.0,1000.0,1292,SSE/S/SRM/TPJ077355-S AND T-SR
561300760480,Released Block Bell equipment,2.0,1000.0,1303,SSE/S/SRM/TPJ077355-S AND T-SR
570103410010,Computer monitor TFT-18.5 MAKE-HCL,1.0,1000.0,1692,SSE/S/SRM/TPJ077355-S AND T-SR
543600060010,LAMP stand.,9.0,900.0,1110,SSE/S/SRM/TPJ077355-S AND T-SR
469034151893,TABLE STEEL OFF SIZE,3.0,900.0,1692,SSE/S/SRM/TPJ077355-S AND T-SR
83151837,TWINE WHITE 100 GRAMS A BALL TO CSO/VOC NO.J.042 IS.2413/1978,45.0,800.1,1241,SSE/S/SRM/TPJ077355-S AND T-SR
727924850012,Spring adjusting Tool for DLB and FM Diado Block Instrument to Drg.No. CWM SK/01123.,4.0,800.0,837,SSE/S/SRM/TPJ077355-S AND T-SR
469043980011,TABLE GLASS PLAIN  ( 8 MM THICK ),1.0,750.0,1692,SSE/S/SRM/TPJ077355-S AND T-SR
556200010139,TRESTLES,49.0,735.0,940,SSE/S/SRM/TPJ077355-S AND T-SR
783000282034,Rack wooden OF SIZES,7.0,700.0,1291,SSE/S/SRM/TPJ077355-S AND T-SR
673500020118,Hand Cart,2.0,700.0,981,SSE/S/SRM/TPJ077355-S AND T-SR
420423880012,Hand Crimping tool (1.5-10sq mm),1.0,600.0,1693,SSE/S/SRM/TPJ077355-S AND T-SR
783000550016,STOOL WOODEN,3.0,525.0,1692,SSE/S/SRM/TPJ077355-S AND T-SR
75544453,TWINE COUNTRY JUTE 3PLY TO IS.SPECN.NO.1912/84 VARIETY NO.6.,5.0,500.6,1254,SSE/S/SRM/TPJ077355-S AND T-SR
10300601013,Tachometer Meter  OEM:GR Part No:105652090146 Make:NA,1.0,500.0,1693,SSE/S/SRM/TPJ077355-S AND T-SR
783000720013,BENCH WOODEN,1.0,500.0,1693,SSE/S/SRM/TPJ077355-S AND T-SR
473500354432,OIL PUMP ROTARY TYPE,1.0,500.0,1692,SSE/S/SRM/TPJ077355-S AND T-SR
508312470018,DIMMER START,1.0,500.0,1693,SSE/S/SRM/TPJ077355-S AND T-SR
753000050019,Nylon ropes. 1/2 Inch SIZES,50.0,500.0,1692,SSE/S/SRM/TPJ077355-S AND T-SR
783000514553,COMPUTER TABLE -SMALL,1.0,500.0,1692,SSE/S/SRM/TPJ077355-S AND T-SR
469035021002,VERNIER CALIPERS 0 MM-300 MM,1.0,500.0,1692,SSE/S/SRM/TPJ077355-S AND T-SR
654800060170,LIFTING PULLING MACHINE Portable Type (Tarfar),1.0,500.0,1693,SSE/S/SRM/TPJ077355-S AND T-SR
721800090282,Screw driver set (BOX),19.0,475.0,1692,SSE/S/SRM/TPJ077355-S AND T-SR
469029100015,HAMMER BALL PIN 0.5 KG,6.0,390.0,1693,SSE/S/SRM/TPJ077355-S AND T-SR
721429140016,SPANNER DOUBLE END SET,3.0,375.0,1692,SSE/S/SRM/TPJ077355-S AND T-SR
560605111783,SPANNER DOUBLE ENDED,27.0,324.0,1301,SSE/S/SRM/TPJ077355-S AND T-SR
783000253046,SOFA 3 SEATER,1.0,300.0,1692,SSE/S/SRM/TPJ077355-S AND T-SR
721801220010,SPANNER RING OF SIZES,23.0,276.0,1692,SSE/S/SRM/TPJ077355-S AND T-SR
420296880041,SWITCH CHANGE OVER 63A(CS 292),3.0,225.0,1270,SSE/S/SRM/TPJ077355-S AND T-SR
562100260023,Butterfly Contact,22.0,220.0,1802,SSE/S/SRM/TPJ077355-S AND T-SR
469029110010,HAMMER SLEDGE 7 lbs,2.0,220.0,1693,SSE/S/SRM/TPJ077355-S AND T-SR
727900640017,Rail Jumpers,1.0,200.0,1692,SSE/S/SRM/TPJ077355-S AND T-SR
561300660101,TOL Indicator Assembly,1.0,200.0,1637,SSE/S/SRM/TPJ077355-S AND T-SR
570102670012,Keyboard,1.0,200.0,1692,SSE/S/SRM/TPJ077355-S AND T-SR
725051380318,TAPE MEASURING,2.0,200.0,1692,SSE/S/SRM/TPJ077355-S AND T-SR
615400010060,Ladder wooden - 6(feet),1.0,150.0,1692,SSE/S/SRM/TPJ077355-S AND T-SR
565094831178,Sealing plier,8.0,120.0,1692,SSE/S/SRM/TPJ077355-S AND T-SR
830314340011,"MV (N) G 97 B, CREDIT NOTE BOOK IN SIZE 12X5.2/3 (BOOKS) Text Printing on One side over 60....",2.0,100.0,1353,SSE/S/SRM/TPJ077355-S AND T-SR
560605360011,SCREW DRIVER -V/ SIZE,5.0,100.0,1692,SSE/S/SRM/TPJ077355-S AND T-SR
461506450019,BONDS,5.0,100.0,1693,SSE/S/SRM/TPJ077355-S AND T-SR
479007400129,HACK SAW FRAME,1.0,100.0,1693,SSE/S/SRM/TPJ077355-S AND T-SR
305302300014,HEAVY DUTY DRILL BITT (HSS) SIZE 4.00 MM MAKE by: JK/ MIRINDA/I.T (Indian Tools),8.0,96.0,1693,SSE/S/SRM/TPJ077355-S AND T-SR
83151412,STATIONERY LACES TAG COTTON 100 CMS LONG TO IS.8499/88.,2.0,77.2,1426,SSE/S/SRM/TPJ077355-S AND T-SR
799048680148,Padlock G.I. SIZE 65MM,1.0,75.0,1692,SSE/S/SRM/TPJ077355-S AND T-SR
539845530016,CORDLESS MOUSE,1.0,75.0,1692,SSE/S/SRM/TPJ077355-S AND T-SR
727902880019,Box Spanner,11.0,66.0,1693,SSE/S/SRM/TPJ077355-S AND T-SR
727902129831,SPANNER ADJUSTABLE,4.0,60.0,1692,SSE/S/SRM/TPJ077355-S AND T-SR
723870750402,shoval Round nose,2.0,50.0,1692,SSE/S/SRM/TPJ077355-S AND T-SR
729072480024,Wire Striper,3.0,45.0,1692,SSE/S/SRM/TPJ077355-S AND T-SR
10100241011,"PLUNGER,GOVERNOR SPRING OEM:CU Part No:70820 Make:NA",14.0,28.0,1357,SSE/S/SRM/TPJ077355-S AND T-SR
722400660010,DRILLING MECHINE 13 TO 23 MM,0.0,0.0,1178,SSE/S/SRM/TPJ077355-S AND T-SR
470200733647,PORTABLE GENERATOR HIMALAYAN POWER,0.0,0.0,1654,SSE/S/SRM/TPJ077355-S AND T-SR
500500680017,Half split DWC pipe,0.0,0.0,1178,SSE/S/SRM/TPJ077355-S AND T-SR
543800040018,Signal Pole Tubular with 140 mm outer dia 4.6 Mtrs tall,0.0,0.0,1100,SSE/S/SRM/TPJ077355-S AND T-SR
564682320019,"SIGNALS, COLOUR LIGHT, MULTI UNIT TYPE, SEARCH LIGHT TYPE.",0.0,0.0,1497,SSE/S/SRM/TPJ077355-S AND T-SR
567914060014,Electrical Signalling equipments and spares not otherwise classified.,0.0,0.0,932,SSE/S/SRM/TPJ077355-S AND T-SR
567908380018,ARA/PBT FUSE BLOCK,0.0,0.0,1217,SSE/S/SRM/TPJ077355-S AND T-SR
560612340010,Misc Signalling spares,0.0,0.0,1360,SSE/S/SRM/TPJ077355-S AND T-SR
569012540014,Miscellaneous.,0.0,0.0,1521,SSE/S/SRM/TPJ077355-S AND T-SR
560408090011,Digital Axle Counter spares,0.0,0.0,1521,SSE/S/SRM/TPJ077355-S AND T-SR
560408100016,Digital Axle Counter spares,0.0,0.0,1521,SSE/S/SRM/TPJ077355-S AND T-SR
560408120015,Digital Axle Counter spares,0.0,0.0,1187,SSE/S/SRM/TPJ077355-S AND T-SR
560408130010,Digital Axle Counter spares,0.0,0.0,1521,SSE/S/SRM/TPJ077355-S AND T-SR
560408140014,Digital Axle Counter spares,0.0,0.0,1521,SSE/S/SRM/TPJ077355-S AND T-SR
560408150019,Digital Axle Counter spares,0.0,0.0,1143,SSE/S/SRM/TPJ077355-S AND T-SR
560408160013,Digital Axle Counter spares,0.0,0.0,1521,SSE/S/SRM/TPJ077355-S AND T-SR
560408170018,Digital Axle Counter spares,0.0,0.0,1521,SSE/S/SRM/TPJ077355-S AND T-SR
560408180012,Digital Axle Counter spares,0.0,0.0,1521,SSE/S/SRM/TPJ077355-S AND T-SR
539882500024,REMOTE TERMINAL UNIT (RTU) OF 64 DIGITAL & 16 ANALOG INPUTS WITH ALL ACCESSORIES,0.0,0.0,779,SSE/S/SRM/TPJ077355-S AND T-SR
529002880011,Miscellaneous.,0.0,0.0,1397,SSE/S/SRM/TPJ077355-S AND T-SR
560403860010,"DC-DC Converter for MSDAC, Make-CEL",0.0,0.0,1510,SSE/S/SRM/TPJ077355-S AND T-SR
509000346672,VRLA Battery 200AH / 2V,0.0,0.0,1462,SSE/S/SRM/TPJ077355-S AND T-SR
509047950014,VRLA battery,0.0,0.0,1381,SSE/S/SRM/TPJ077355-S AND T-SR
331200520110,ROTARY KEY Transmission (RKT),0.0,0.0,797,SSE/S/SRM/TPJ077355-S AND T-SR
561300661026,magneto phone,0.0,0.0,1312,SSE/S/SRM/TPJ077355-S AND T-SR
549006110030,Earth Electrode with Acessoried As Per Drawing No. SG/SN/02/13,0.0,0.0,963,SSE/S/SRM/TPJ077355-S AND T-SR
560608710010,PBT TERMINAL 60mm,0.0,0.0,1217,SSE/S/SRM/TPJ077355-S AND T-SR
539804978320,TV SMART LED 55 INCH LG MAKE,0.0,0.0,1200,SSE/S/SRM/TPJ077355-S AND T-SR
472200010180,INTEGRATED POWER SUPPLY (IPS)  06 Line,0.0,0.0,1144,SSE/S/SRM/TPJ077355-S AND T-SR
567900218792,Electronic interlocking (EI) processor card unit,0.0,0.0,1327,SSE/S/SRM/TPJ077355-S AND T-SR
539882130014,ASSY.HLC RS422/485 INTERFACE ISOLATER,0.0,0.0,1187,SSE/S/SRM/TPJ077355-S AND T-SR
429076285917,AIR CONDITIONER 02 TON CAPACITY SPLIT A C,0.0,0.0,1128,SSE/S/SRM/TPJ077355-S AND T-SR
390300140025,". ASTRONOMICAL TIMER SWITCH FOR STREET LIGHT CONTROL SINGLE PHASE, 10KW/73A, 230V50HZ, IP ....",0.0,0.0,876,SSE/S/SRM/TPJ077355-S AND T-SR
569009550016,FIRE ALARM HEAT AND SMOKE MULTI SENSOR as per RDSO/SPN /217 /2018 ver-2 or latest.,0.0,0.0,1168,SSE/S/SRM/TPJ077355-S AND T-SR
861600920016,LINEAR HEAT SENSING CABLE,0.0,0.0,1168,SSE/S/SRM/TPJ077355-S AND T-SR
861600930010,LINEAR HEAT SENSING INTERFACE MODULES WITH EOL,0.0,0.0,1168,SSE/S/SRM/TPJ077355-S AND T-SR
479007733880,Fire Alarm Fire Survival Cable 2 X 1.5 sq.mm unarmored,0.0,0.0,1168,SSE/S/SRM/TPJ077355-S AND T-SR
569003510021,FIRE ALARM CONTROL MODULE,0.0,0.0,1168,SSE/S/SRM/TPJ077355-S AND T-SR
861600950010,GSM MODULE FOR CONTROL PANEL,0.0,0.0,1168,SSE/S/SRM/TPJ077355-S AND T-SR
861600960026,FIRE ALARM ANALOGUE ADDRESSABLE AND RESETTABLE MANUAL CALL POINT WITH BACK BOX  AS PER RDS....,0.0,0.0,1168,SSE/S/SRM/TPJ077355-S AND T-SR
439099344859,FIRE ALARM ELECTRONIC HOOTER CUM STROBE,0.0,0.0,1168,SSE/S/SRM/TPJ077355-S AND T-SR
861600990018,CONTROL MODULE ADDRESSABLE RE-717 MC,0.0,0.0,1168,SSE/S/SRM/TPJ077355-S AND T-SR
861601000014,MONITOR MODULE ADDRESSABLE RE- 717 MM,0.0,0.0,1168,SSE/S/SRM/TPJ077355-S AND T-SR
565000094328,B type CHOKE coil for single rail Track Circuit on 25KV 50 Hz AC electrified section as pe....,0.0,0.0,1097,SSE/S/SRM/TPJ077355-S AND T-SR
560404362326,AXLE COUNTER RX COIL (CEL),0.0,0.0,1047,SSE/S/SRM/TPJ077355-S AND T-SR
560400080211,AXLE COUNTER TX COIL (CEL),0.0,0.0,1047,SSE/S/SRM/TPJ077355-S AND T-SR
539809231008,Battery Charger 230/60V ; 20Amp,0.0,0.0,1801,SSE/S/SRM/TPJ077355-S AND T-SR
561300660060,Galvo Assembly,0.0,0.0,1052,SSE/S/SRM/TPJ077355-S AND T-SR
561301120011,Diodo Block Receiver 1800Hz,0.0,0.0,1415,SSE/S/SRM/TPJ077355-S AND T-SR
569001060395,AVR,0.0,0.0,996,SSE/S/SRM/TPJ077355-S AND T-SR
539810930014,Inverter 24 Volt/110 V AC ; 500 VA,0.0,0.0,1241,SSE/S/SRM/TPJ077355-S AND T-SR
539818400014,DIGITAL VOICE ANNOUNCIATOR DRIVER UNIT,0.0,0.0,1357,SSE/S/SRM/TPJ077355-S AND T-SR
501800241427,Horn unit (40w),0.0,0.0,1357,SSE/S/SRM/TPJ077355-S AND T-SR
560602392864,PANEL COUNTER ASSEMBLY 24V DC,0.0,0.0,1044,SSE/S/SRM/TPJ077355-S AND T-SR
549007491537,Pipe GI. 100mm,0.0,0.0,828,SSE/S/SRM/TPJ077355-S AND T-SR
539818040010,Relay Connector,0.0,0.0,1291,SSE/S/SRM/TPJ077355-S AND T-SR
542100010018,CRANKS Adjustable 12X18 inch,0.0,0.0,871,SSE/S/SRM/TPJ077355-S AND T-SR
549005950012,Bottom Roller,0.0,0.0,986,SSE/S/SRM/TPJ077355-S AND T-SR
549005930013,Top Roller,0.0,0.0,1000,SSE/S/SRM/TPJ077355-S AND T-SR
549005940018,Top Roller Pin,0.0,0.0,986,SSE/S/SRM/TPJ077355-S AND T-SR
981100050010,SCREW COUPLING,0.0,0.0,1031,SSE/S/SRM/TPJ077355-S AND T-SR
555500010079,Segmented Gate Boom 10,0.0,0.0,986,SSE/S/SRM/TPJ077355-S AND T-SR
549007220621,CLS HOOD FOR CALLING ON /ROUTE,0.0,0.0,1433,SSE/S/SRM/TPJ077355-S AND T-SR
541500070160,BACK STAGING OF MAIN SIGNAL LADDER ASSEMBLY,0.0,0.0,1210,SSE/S/SRM/TPJ077355-S AND T-SR
543500020075,CLS LADDER SHOE,0.0,0.0,817,SSE/S/SRM/TPJ077355-S AND T-SR
544100020010,SIGNAL POST 4.5 mts,0.0,0.0,986,SSE/S/SRM/TPJ077355-S AND T-SR
404008912178,Route Arm,0.0,0.0,1100,SSE/S/SRM/TPJ077355-S AND T-SR
509041001511,Solar Panels for Signalling purpose 12V/35W/70W/80W,0.0,0.0,1301,SSE/S/SRM/TPJ077355-S AND T-SR
567900801023,SURGE PROTECTION DEVICE,0.0,0.0,1690,SSE/S/SRM/TPJ077355-S AND T-SR
465100010014,ANGLE 9037,0.0,0.0,1434,SSE/S/SRM/TPJ077355-S AND T-SR
40071110,CABLE 3/0.75mm SINGLE CORE PVC INSULATED UNARMOURED RAILWAY SIGNALLING CABLE COMPRISING OF....,0.0,0.0,871,SSE/S/SRM/TPJ077355-S AND T-SR
52156576,BATTERY CHARGER 230V AC 110V DC 30 AMPS SPECN.No.IRS-S-86/2000 WITH AMENDMENT - 4. OR LATE....,0.0,0.0,1364,SSE/S/SRM/TPJ077355-S AND T-SR
565000074639,Retroreflective sticker for Goods Warning Board,0.0,0.0,1100,SSE/S/SRM/TPJ077355-S AND T-SR
469028501865,STOP BOARD W/O ANGLE,0.0,0.0,790,SSE/S/SRM/TPJ077355-S AND T-SR
567909680010,Tumbler Spring For E - Type Lock,0.0,0.0,1663,SSE/S/SRM/TPJ077355-S AND T-SR
67900197,LEAD ACID STORAGE BATTERY FOR MOTOR VEHICLES 17 PLATES DRY UNCHARGED 12 VOLTS/120 AH. CAPA....,0.0,0.0,1434,SSE/S/SRM/TPJ077355-S AND T-SR
539863180019,ANNOUNCIATOR 12 WAY,0.0,0.0,1245,SSE/S/SRM/TPJ077355-S AND T-SR
542100010079,Ordinary Crank,0.0,0.0,1070,SSE/S/SRM/TPJ077355-S AND T-SR
561301160010,Bell Unit for SGE Block Instrument,0.0,0.0,740,SSE/S/SRM/TPJ077355-S AND T-SR
460400080015,RECTIFIERS,0.0,0.0,904,SSE/S/SRM/TPJ077355-S AND T-SR
500600291023,Amplifier for Announcing System (LC gate),0.0,0.0,1052,SSE/S/SRM/TPJ077355-S AND T-SR
560101300018,SPRING TENSION ADJUSTER FOR DOUBLE LINE BLOCK INSTRUMENT,0.0,0.0,1093,SSE/S/SRM/TPJ077355-S AND T-SR
721400940018,SINGLE ENDED SPANNER (OFF SIZES),0.0,0.0,1093,SSE/S/SRM/TPJ077355-S AND T-SR
539809150010,IRS type high thrase point machine 220mm,0.0,0.0,1364,SSE/S/SRM/TPJ077355-S AND T-SR
560601570011,electrical detectors,0.0,0.0,856,SSE/S/SRM/TPJ077355-S AND T-SR
542100020012,STRAIGHT ARM CRANK 12X12,0.0,0.0,1070,SSE/S/SRM/TPJ077355-S AND T-SR
542120120012,Straight Arm Adjustable Crank. 12X18.,0.0,0.0,1070,SSE/S/SRM/TPJ077355-S AND T-SR
539821020014,SIGNAL SURFACE BASE,0.0,0.0,1234,SSE/S/SRM/TPJ077355-S AND T-SR
560603406251,SIGNAL LADDER,0.0,0.0,1237,SSE/S/SRM/TPJ077355-S AND T-SR
539827130012,Ladder platform for CLS signal maintenance platform.,0.0,0.0,1234,SSE/S/SRM/TPJ077355-S AND T-SR
564200060017,signal Hood,0.0,0.0,1210,SSE/S/SRM/TPJ077355-S AND T-SR
549007661110,A TYPE FOUNDATION,0.0,0.0,870,SSE/S/SRM/TPJ077355-S AND T-SR
560406770018,GG TRONICS MAKE AXLE COUNTER WITH CARDS,0.0,0.0,1115,SSE/S/SRM/TPJ077355-S AND T-SR
509843660310,Relay box for SSDAC GG TRONICS,0.0,0.0,1110,SSE/S/SRM/TPJ077355-S AND T-SR
543400010187,SOLID JOINT 32mm (BUTT END) AS PER RDSO DRG.NO. SA 6050/M (ADV.) WITH (ALT-3).,0.0,0.0,1070,SSE/S/SRM/TPJ077355-S AND T-SR
559002710014,E TYPE LOCK SPRING,0.0,0.0,1124,SSE/S/SRM/TPJ077355-S AND T-SR
508310190020,Supply of 24 Volt 120/130 AH VRLA BATTERY BANK As per RDSO Spec. IRS:S-93/96 (SW-9/25-A),0.0,0.0,1063,SSE/S/SRM/TPJ077355-S AND T-SR
539874770010,CABLE 60 CORE X 1SQ.MM COPPER,0.0,0.0,1044,SSE/S/SRM/TPJ077355-S AND T-SR
565094341898,MS Box for LC Gate Switch,0.0,0.0,986,SSE/S/SRM/TPJ077355-S AND T-SR
91110506,Lead Wool or Yarn for Caulking as per IS:782/1978 (3rd Rev.) or latest.,0.0,0.0,982,SSE/S/SRM/TPJ077355-S AND T-SR
759098202799,PLB HDPE Pipe Size:40/33mm  with required  accessories as per latest RDSO Spec. No.RDSO/S....,0.0,0.0,941,SSE/S/SRM/TPJ077355-S AND T-SR
560603406263,Signal ladder of Sizes  With/Without Clamp  for CLS,0.0,0.0,1086,SSE/S/SRM/TPJ077355-S AND T-SR
539802824762,"DWC SPLIT PIPE 120/103mm dia, 2mtr long in already dug cable trenches as per drawing no.SK....",0.0,0.0,828,SSE/S/SRM/TPJ077355-S AND T-SR
479900041827,4KVA Stabilizer for AC UNIT,0.0,0.0,778,SSE/S/SRM/TPJ077355-S AND T-SR
