PL_Code,Description,Current_Stock,Unit,Unit_Cost,Inventory_Value,Last_Receipt_Date,Last_Issue_Date,Days_Since_Movement,Inventory_Aging_Class,Movement_Status,Inventory_Value_Band,Depot,Operational_ABC,Inventory_Domain,Business_Unit,Division,Snapshot_Date,Pipeline_Version
539807240018,TIMER RELAY 30 SECOND,29.0,Nos.,1850.0,53650.0,15-01-2021,,1969,Dead Stock,Dead Stock,"Rs 10,000 - 1 Lakh",SSE/S/SRM/SA067532-S AND T-SR,C,Railway_Operations,SA,Salem,2026-03-31,12.5.0
56985800,Timer relay 60 Second,0.0,Nos.,2416.92,0.0,10-12-2021,05-12-2023,915,Dead Stock,Dead Stock,"< Rs 10,000",SSE/S/SRM/SA067532-S AND T-SR,C,Railway_Operations,SA,Salem,2026-03-31,12.5.0
56220509,ELECTRONIC TIME DELAY DEVICE 120 Second,0.0,Nos.,2462.68,0.0,10-12-2021,05-12-2023,915,Dead Stock,Dead Stock,"< Rs 10,000",SSE/S/SRM/SA067532-S AND T-SR,C,Railway_Operations,SA,Salem,2026-03-31,12.5.0
56986130,RELAY STYLE QBAT DC TRACK RELAY 2F/2B,0.0,Nos.,10967.76,0.0,13-09-2025,25-02-2026,102,Monitor,Active,"< Rs 10,000",SSE/S/SRM/SA067532-S AND T-SR,C,Railway_Operations,SA,Salem,2026-03-31,12.5.0
56508116,RELAY QN1 8F/8B PLUG IN TYPE,150.0,Nos.,7600.68,1140102.0,22-05-2026,08-04-2026,16,Active,Active,Rs 10 Lakh - 1 Crore,SSE/S/SRM/SA067532-S AND T-SR,A,Railway_Operations,SA,Salem,2026-03-31,12.5.0
56500142,RELAY QNA1 ACI 8F/8B,0.0,Nos.,8777.76,0.0,25-10-2025,15-11-2025,204,Slow Moving,Slow Moving,"< Rs 10,000",SSE/S/SRM/SA067532-S AND T-SR,C,Railway_Operations,SA,Salem,2026-03-31,12.5.0
56450217,RELAYS -SPECIAL  TYPE- METAL TO  CARBON -QSPAI- CONFIRMATION SPECN. BRS.933A.,25.0,Nos.,11659.96,291499.08,27-06-2025,05-03-2026,94,Monitor,Active,Rs 1 Lakh - 10 Lakh,SSE/S/SRM/SA067532-S AND T-SR,B,Railway_Operations,SA,Salem,2026-03-31,12.5.0
56450229,"RELAY AC IMMUNE PLUG IN TYPE STYLE QTA2 CONFORMING TO BRS - 939A,BRS.966 (APPENDIX F-21) &....",70.0,Nos.,9135.0,639450.0,18-02-2026,08-04-2026,60,Active,Active,Rs 1 Lakh - 10 Lakh,SSE/S/SRM/SA067532-S AND T-SR,B,Railway_Operations,SA,Salem,2026-03-31,12.5.0
539807250012,RELAY QBCA1 2F(HD)/4B,0.0,Nos.,5780.0,0.0,26-07-2023,18-10-2023,963,Dead Stock,Dead Stock,"< Rs 10,000",SSE/S/SRM/SA067532-S AND T-SR,C,Railway_Operations,SA,Salem,2026-03-31,12.5.0
539807260017,Relay QNA1K 6F-6B (1000 Ohms),0.0,Nos.,7285.0,0.0,31-03-2021,20-04-2021,1874,Dead Stock,Dead Stock,"< Rs 10,000",SSE/S/SRM/SA067532-S AND T-SR,C,Railway_Operations,SA,Salem,2026-03-31,12.5.0
539807270011,Relay AC LED ECR QECX61 ( 4F/4B ),0.0,Nos.,12224.0,0.0,13-12-2025,19-01-2026,139,Monitor,Active,"< Rs 10,000",SSE/S/SRM/SA067532-S AND T-SR,C,Railway_Operations,SA,Salem,2026-03-31,12.5.0
56160112,Battery Charger 230V/24V 50 amps. As per RDSO Specn. No. IRS.S.86/2000 (Amndt.-4) or lates....,0.0,Nos.,68067.0,0.0,15-01-2021,05-07-2021,1798,Dead Stock,Dead Stock,"< Rs 10,000",SSE/S/SRM/SA067532-S AND T-SR,C,Railway_Operations,SA,Salem,2026-03-31,12.5.0
56500361,Battery Charger 230V/24V 50 amps. As per RDSO Specn. No. IRS.S.86/2000 (Amndt.-4) or lates....,0.0,Nos.,69009.3,0.0,28-07-2021,14-08-2021,1758,Dead Stock,Dead Stock,"< Rs 10,000",SSE/S/SRM/SA067532-S AND T-SR,C,Railway_Operations,SA,Salem,2026-03-31,12.5.0
45174404,HYDROMETER ASSEMBLY COMPLETE AS PER SEL DRG 126 CONSISTING OF (1) HYDROMETER GRADUATED FR....,0.0,Nos.,52.63,0.0,15-01-2021,07-06-2022,1461,Dead Stock,Dead Stock,"< Rs 10,000",SSE/S/SRM/SA067532-S AND T-SR,C,Railway_Operations,SA,Salem,2026-03-31,12.5.0
45174416,HYDROMETER ASSEMBLY COMPLETE AS PER SEL DRG 126 CONSISTING OF (1) HYDROMETER GRADUATED FRO....,15.0,Set,61.75,926.21,12-07-2025,19-02-2026,108,Monitor,Active,"< Rs 10,000",SSE/S/SRM/SA067532-S AND T-SR,C,Railway_Operations,SA,Salem,2026-03-31,12.5.0
50540324,LOW MAINTENANCE LEAD ACID  STATIONARY SECONDARY CELLS  2V/80AH CAPACITY AT  10 HRS RATE OF....,79.0,Nos.,3388.93,267725.47,10-10-2025,12-03-2026,87,Active,Active,Rs 1 Lakh - 10 Lakh,SSE/S/SRM/SA067532-S AND T-SR,B,Railway_Operations,SA,Salem,2026-03-31,12.5.0
50541523,LOW MAINTENANCE LEAD ACID STATIONARY SECONDARY CELLS 2V /120 AH   TO SPECIFICATION.IRS:S-8....,587.0,Nos.,3884.29,2280080.58,19-12-2024,20-06-2025,352,Slow Moving,Slow Moving,Rs 10 Lakh - 1 Crore,SSE/S/SRM/SA067532-S AND T-SR,A,Railway_Operations,SA,Salem,2026-03-31,12.5.0
50550081,LOW MAINTENANCE LEAD ACID STATIONARY SECONDARY CELLS 2V/ 200AH CAPACITY  AT 10 HRS. RATE O....,0.0,Nos.,5991.66,0.0,21-03-2024,23-08-2025,288,Slow Moving,Slow Moving,"< Rs 10,000",SSE/S/SRM/SA067532-S AND T-SR,C,Railway_Operations,SA,Salem,2026-03-31,12.5.0
561195700010,Arrow Plate for Signal,10.0,Nos.,221.0,2210.0,15-01-2021,09-12-2021,1641,Dead Stock,Dead Stock,"< Rs 10,000",SSE/S/SRM/SA067532-S AND T-SR,C,Railway_Operations,SA,Salem,2026-03-31,12.5.0
549005860011,Block Collars,50.0,Nos.,24.0,1200.0,23-05-2025,12-03-2026,87,Active,Active,"< Rs 10,000",SSE/S/SRM/SA067532-S AND T-SR,C,Railway_Operations,SA,Salem,2026-03-31,12.5.0
56468039,"RED aspect Main LED signal, 110 V AC Retrofitable in existing CLS Housing and compatible w....",278.0,Nos.,8424.41,2341985.42,14-02-2026,26-09-2025,113,Monitor,Active,Rs 10 Lakh - 1 Crore,SSE/S/SRM/SA067532-S AND T-SR,A,Railway_Operations,SA,Salem,2026-03-31,12.5.0
56468052,"YELLOW aspect Main LED signal, 110 V AC Retrofitable in existing CLS Housing and compatibl....",152.0,Nos.,8689.63,1320824.06,14-02-2026,16-02-2026,111,Monitor,Active,Rs 10 Lakh - 1 Crore,SSE/S/SRM/SA067532-S AND T-SR,A,Railway_Operations,SA,Salem,2026-03-31,12.5.0
56468040,"GREENaspect Main LED signal, 110 V AC Retrofitable in existing CLS Housing and compatible ....",236.0,Nos.,9612.23,2268487.12,14-02-2026,05-11-2025,113,Monitor,Active,Rs 10 Lakh - 1 Crore,SSE/S/SRM/SA067532-S AND T-SR,A,Railway_Operations,SA,Salem,2026-03-31,12.5.0
56468027,ROUTE LED SIGNAL LIGHTING UNIT 100V AC RE-PROFITABLE IN EXISTING CLS HOUSING AND COMPATIBL....,0.0,Nos.,6060.68,0.0,19-12-2025,24-12-2025,165,Monitor,Active,"< Rs 10,000",SSE/S/SRM/SA067532-S AND T-SR,C,Railway_Operations,SA,Salem,2026-03-31,12.5.0
56468064,CALLING ON LED SIGNAL LIGHTING UNIT 100VAC RE-PROFITABLE IN EXISTING CLS HOUSING AND COMPA....,0.0,Nos.,6829.43,0.0,27-03-2025,21-06-2025,351,Slow Moving,Slow Moving,"< Rs 10,000",SSE/S/SRM/SA067532-S AND T-SR,C,Railway_Operations,SA,Salem,2026-03-31,12.5.0
56462050,AC SHUNT SIGNAL (LED) WITH INBUILT CURRENT REGULATOR WITH RDSO INSPECTION. RDSO SPE. NO. R....,0.0,Nos.,6035.5,0.0,27-03-2025,09-02-2026,118,Monitor,Active,"< Rs 10,000",SSE/S/SRM/SA067532-S AND T-SR,C,Railway_Operations,SA,Salem,2026-03-31,12.5.0
560402940010,SCC-1 Card (710A) Digital Axle Counter spares,5.0,Nos.,30680.0,153400.0,15-01-2021,,1969,Dead Stock,Dead Stock,Rs 1 Lakh - 10 Lakh,SSE/S/SRM/SA067532-S AND T-SR,C,Railway_Operations,SA,Salem,2026-03-31,12.5.0
560402950014,SCC-2 Card (710A) Digital Axle Counter spares,5.0,Nos.,30680.0,153400.0,15-01-2021,,1969,Dead Stock,Dead Stock,Rs 1 Lakh - 10 Lakh,SSE/S/SRM/SA067532-S AND T-SR,C,Railway_Operations,SA,Salem,2026-03-31,12.5.0
560402960019,Relay Drive Card ( CEL Make ) Digital Axle Counter spares,6.0,Nos.,30680.0,184080.0,15-01-2021,,1969,Dead Stock,Dead Stock,Rs 1 Lakh - 10 Lakh,SSE/S/SRM/SA067532-S AND T-SR,C,Railway_Operations,SA,Salem,2026-03-31,12.5.0
560402970013,Reset Box ( CEL Make ),0.0,Nos.,43660.0,0.0,15-01-2021,14-07-2022,1424,Dead Stock,Dead Stock,"< Rs 10,000",SSE/S/SRM/SA067532-S AND T-SR,C,Railway_Operations,SA,Salem,2026-03-31,12.5.0
47200054,TRANSFORMERS 230/110V 1 KVA TO RDSO SPECIFICATION NO.RDSO/SPECN.262/1981 AND TO DRG NO 262....,0.0,Nos.,4617.0,0.0,29-01-2022,18-10-2023,963,Dead Stock,Dead Stock,"< Rs 10,000",SSE/S/SRM/SA067532-S AND T-SR,C,Railway_Operations,SA,Salem,2026-03-31,12.5.0
560601990012,ISOLATION TRANSFORMER 110V/110V/50VA,0.0,Nos.,2000.0,0.0,31-03-2021,21-07-2021,1782,Dead Stock,Dead Stock,"< Rs 10,000",SSE/S/SRM/SA067532-S AND T-SR,C,Railway_Operations,SA,Salem,2026-03-31,12.5.0
565100010052,Isolation Transformer for LED Signal 110v/110v 50 VA,0.0,Nos.,1925.11,0.0,21-07-2021,16-12-2021,1634,Dead Stock,Dead Stock,"< Rs 10,000",SSE/S/SRM/SA067532-S AND T-SR,C,Railway_Operations,SA,Salem,2026-03-31,12.5.0
40981381,WIRE Coil PVC COPPER 16/.2MM  Copper/ATC Copper Multi Stand,5.0,HMTR,755.19,3775.95,03-04-2026,18-06-2025,65,Active,Active,"< Rs 10,000",SSE/S/SRM/SA067532-S AND T-SR,C,Railway_Operations,SA,Salem,2026-03-31,12.5.0
560608500014,Choke B Type,0.0,Nos.,1745.54,0.0,18-12-2021,29-08-2025,282,Slow Moving,Slow Moving,"< Rs 10,000",SSE/S/SRM/SA067532-S AND T-SR,C,Railway_Operations,SA,Salem,2026-03-31,12.5.0
72207413,"DRILL TWIST H.S.S. STRAIGHT SHANK JOBBERS"" 7.2 MM TO IS: 5101/1969, 5099/1983.",1350.0,Nos.,68.72,92766.6,24-01-2026,21-05-2026,17,Active,Active,"Rs 10,000 - 1 Lakh",SSE/S/SRM/SA067532-S AND T-SR,C,Railway_Operations,SA,Salem,2026-03-31,12.5.0
562100250017,SM's Slide 2 Way,0.0,Nos.,4000.0,0.0,19-05-2021,16-02-2026,111,Monitor,Active,"< Rs 10,000",SSE/S/SRM/SA067532-S AND T-SR,C,Railway_Operations,SA,Salem,2026-03-31,12.5.0
539807340013,"Track Feed Resistance ( 0-30 Ohms)Tapping at 2,4,8,16 Ohms",0.0,Nos.,283.78,0.0,15-11-2022,26-09-2025,254,Slow Moving,Slow Moving,"< Rs 10,000",SSE/S/SRM/SA067532-S AND T-SR,C,Railway_Operations,SA,Salem,2026-03-31,12.5.0
539807350018,Track Feed Battery Charger 110V/10AMPS,0.0,Nos.,9339.0,0.0,15-01-2021,04-10-2021,1707,Dead Stock,Dead Stock,"< Rs 10,000",SSE/S/SRM/SA067532-S AND T-SR,C,Railway_Operations,SA,Salem,2026-03-31,12.5.0
539812600017,MAINTAINER HEAD LAMP,8.0,Nos.,2701.0,21608.0,14-03-2026,23-03-2026,76,Active,Active,"Rs 10,000 - 1 Lakh",SSE/S/SRM/SA067532-S AND T-SR,C,Railway_Operations,SA,Salem,2026-03-31,12.5.0
56060002,"NYLON INSULATED RAILJOINT 52 KG TO SPECIFICATION IRS: S-40/84, DRAWING NO.SA-22101 (ALT-6)....",80.0,Set,715.0,57200.0,15-01-2021,16-02-2026,111,Monitor,Active,"Rs 10,000 - 1 Lakh",SSE/S/SRM/SA067532-S AND T-SR,C,Railway_Operations,SA,Salem,2026-03-31,12.5.0
565099930018,Rod Joint Insulation For LC Whether,15.0,Set,155.0,2325.0,15-01-2021,07-10-2025,243,Slow Moving,Slow Moving,"< Rs 10,000",SSE/S/SRM/SA067532-S AND T-SR,C,Railway_Operations,SA,Salem,2026-03-31,12.5.0
565198330017,INVERTER 24VDC/110VAC/500VA,0.0,Nos.,38500.0,0.0,05-07-2021,24-08-2022,1383,Dead Stock,Dead Stock,"< Rs 10,000",SSE/S/SRM/SA067532-S AND T-SR,C,Railway_Operations,SA,Salem,2026-03-31,12.5.0
564680680045,CLS unit 3 Aspect ( MILD STEEL ),0.0,Nos.,31000.0,0.0,05-07-2021,15-07-2021,1788,Dead Stock,Dead Stock,"< Rs 10,000",SSE/S/SRM/SA067532-S AND T-SR,C,Railway_Operations,SA,Salem,2026-03-31,12.5.0
564700020010,Calling On Aspect  Unit ( HOOD ASSEMBLY ),0.0,Nos.,11000.0,0.0,23-02-2022,12-03-2022,1548,Dead Stock,Dead Stock,"< Rs 10,000",SSE/S/SRM/SA067532-S AND T-SR,C,Railway_Operations,SA,Salem,2026-03-31,12.5.0
539820960015,Annunciator 8 Way,0.0,Nos.,9350.0,0.0,29-08-2025,30-08-2025,281,Slow Moving,Slow Moving,"< Rs 10,000",SSE/S/SRM/SA067532-S AND T-SR,C,Railway_Operations,SA,Salem,2026-03-31,12.5.0
565010000010,Rail Joint Insulation 60 KG (RJ ),45.0,Set,1019.52,45878.4,16-10-2023,05-03-2026,94,Monitor,Active,"Rs 10,000 - 1 Lakh",SSE/S/SRM/SA067532-S AND T-SR,C,Railway_Operations,SA,Salem,2026-03-31,12.5.0
567900830011,Solar Panel 12V/35Watts,0.0,Nos.,9000.0,0.0,15-01-2021,05-03-2026,94,Monitor,Active,"< Rs 10,000",SSE/S/SRM/SA067532-S AND T-SR,C,Railway_Operations,SA,Salem,2026-03-31,12.5.0
539807370017,Road Warning LED RED ( RWS ),0.0,Nos.,10109.55,0.0,27-09-2024,12-03-2026,87,Active,Active,"< Rs 10,000",SSE/S/SRM/SA067532-S AND T-SR,C,Railway_Operations,SA,Salem,2026-03-31,12.5.0
539807380011,Road Warning LED Yellow ( RWS ),0.0,Nos.,10907.88,0.0,27-09-2024,24-01-2026,134,Monitor,Active,"< Rs 10,000",SSE/S/SRM/SA067532-S AND T-SR,C,Railway_Operations,SA,Salem,2026-03-31,12.5.0
567900840016,Road Warning Amplifier ( Digital Voice Annunciating System ),0.0,Nos.,2800.0,0.0,22-09-2022,14-12-2023,906,Dead Stock,Dead Stock,"< Rs 10,000",SSE/S/SRM/SA067532-S AND T-SR,C,Railway_Operations,SA,Salem,2026-03-31,12.5.0
567900850010,Driver Unit With Horn  (ONE SET CONSIST OF DRIVER UNIT 2 NOS  & HORN 2 NOS),1.0,Set,2240.0,2240.0,22-09-2022,18-08-2025,293,Slow Moving,Slow Moving,"< Rs 10,000",SSE/S/SRM/SA067532-S AND T-SR,C,Railway_Operations,SA,Salem,2026-03-31,12.5.0
565010000010,Electric Key Transmitter (EKT),2.0,Nos.,11346.0,22692.0,06-02-2026,06-05-2026,32,Active,Active,"Rs 10,000 - 1 Lakh",SSE/S/SRM/SA067532-S AND T-SR,C,Railway_Operations,SA,Salem,2026-03-31,12.5.0
50232319,MAGNETIC TELEPHONE WITH ELECTRO DYNAMIC TRANDUCERS CONFIRMING TO RDSO SPECN.NO.IRS-TC-36/9....,0.0,Nos.,5097.82,0.0,17-04-2026,02-05-2026,36,Active,Active,"< Rs 10,000",SSE/S/SRM/SA067532-S AND T-SR,C,Railway_Operations,SA,Salem,2026-03-31,12.5.0
567900870010,Panel Knob for Control Panel,210.0,Nos.,405.32,85117.41,12-08-2024,25-08-2025,286,Slow Moving,Slow Moving,"Rs 10,000 - 1 Lakh",SSE/S/SRM/SA067532-S AND T-SR,C,Railway_Operations,SA,Salem,2026-03-31,12.5.0
567900880014,Thumb Switch 2 Position,3.0,Nos.,5035.58,15106.74,08-08-2023,23-10-2025,227,Slow Moving,Slow Moving,"Rs 10,000 - 1 Lakh",SSE/S/SRM/SA067532-S AND T-SR,C,Railway_Operations,SA,Salem,2026-03-31,12.5.0
567900890019,Push Switch For Panel,10.0,Nos.,3177.14,31771.43,12-01-2024,13-12-2025,176,Monitor,Active,"Rs 10,000 - 1 Lakh",SSE/S/SRM/SA067532-S AND T-SR,C,Railway_Operations,SA,Salem,2026-03-31,12.5.0
567900900013,PPTC Fuse 2 Amps,1000.0,Nos.,9.55,9550.0,15-01-2021,09-05-2025,394,Very Slow Moving,Slow Moving,"< Rs 10,000",SSE/S/SRM/SA067532-S AND T-SR,C,Railway_Operations,SA,Salem,2026-03-31,12.5.0
567900910018,PPTC Fuse 4 Amps,0.0,Nos.,16.99,0.0,15-01-2021,,1969,Dead Stock,Dead Stock,"< Rs 10,000",SSE/S/SRM/SA067532-S AND T-SR,C,Railway_Operations,SA,Salem,2026-03-31,12.5.0
567900920012,PPTC Fuse 6 Amps,0.0,Nos.,19.7,0.0,15-01-2021,,1969,Dead Stock,Dead Stock,"< Rs 10,000",SSE/S/SRM/SA067532-S AND T-SR,C,Railway_Operations,SA,Salem,2026-03-31,12.5.0
567900930017,ND Fuse 2 Amps,760.0,Nos.,78.18,59413.0,19-12-2025,06-04-2026,62,Active,Active,"Rs 10,000 - 1 Lakh",SSE/S/SRM/SA067532-S AND T-SR,C,Railway_Operations,SA,Salem,2026-03-31,12.5.0
567900940011,ND Fuse 4 Amps,330.0,Nos.,80.59,26596.02,19-12-2025,09-01-2026,149,Monitor,Active,"Rs 10,000 - 1 Lakh",SSE/S/SRM/SA067532-S AND T-SR,C,Railway_Operations,SA,Salem,2026-03-31,12.5.0
56502540,ND Fuse 6Amps capacity,300.0,Nos.,70.25,21074.7,18-01-2025,05-03-2026,94,Monitor,Active,"Rs 10,000 - 1 Lakh",SSE/S/SRM/SA067532-S AND T-SR,C,Railway_Operations,SA,Salem,2026-03-31,12.5.0
56502606,ND FUSE 10Amps capacity,100.0,Nos.,75.86,7586.2,18-01-2025,05-03-2026,94,Monitor,Active,"< Rs 10,000",SSE/S/SRM/SA067532-S AND T-SR,C,Railway_Operations,SA,Salem,2026-03-31,12.5.0
56502576,ND FUSE 16Amps capacity,350.0,Nos.,76.64,26822.95,12-09-2024,05-03-2026,94,Monitor,Active,"Rs 10,000 - 1 Lakh",SSE/S/SRM/SA067532-S AND T-SR,C,Railway_Operations,SA,Salem,2026-03-31,12.5.0
539807450013,Transmitter Insert,20.0,Nos.,35.0,700.0,15-01-2021,,1969,Dead Stock,Dead Stock,"< Rs 10,000",SSE/S/SRM/SA067532-S AND T-SR,C,Railway_Operations,SA,Salem,2026-03-31,12.5.0
539807460018,Dot Matrix printer,3.0,Nos.,8101.0,24303.0,29-12-2021,,1621,Dead Stock,Dead Stock,"Rs 10,000 - 1 Lakh",SSE/S/SRM/SA067532-S AND T-SR,C,Railway_Operations,SA,Salem,2026-03-31,12.5.0
56301571,ROTARY TYPE  IRS  POINT MACHINE110V 143MM,0.0,Nos.,66075.0,0.0,25-12-2021,25-09-2023,986,Dead Stock,Dead Stock,"< Rs 10,000",SSE/S/SRM/SA067532-S AND T-SR,C,Railway_Operations,SA,Salem,2026-03-31,12.5.0
563045890010,Tool Kit For IRS Point Machine,0.0,Nos.,3110.0,0.0,25-12-2021,24-11-2022,1291,Dead Stock,Dead Stock,"< Rs 10,000",SSE/S/SRM/SA067532-S AND T-SR,C,Railway_Operations,SA,Salem,2026-03-31,12.5.0
563045900014,Point CT Box ( Iron ),41.0,Nos.,746.0,30586.0,25-04-2022,08-04-2026,60,Active,Active,"Rs 10,000 - 1 Lakh",SSE/S/SRM/SA067532-S AND T-SR,C,Railway_Operations,SA,Salem,2026-03-31,12.5.0
539807470012,IRS POINT MACHINE 143MM IP-67/400V ACI.,0.0,Nos.,94923.0,0.0,08-01-2026,24-04-2026,44,Active,Active,"< Rs 10,000",SSE/S/SRM/SA067532-S AND T-SR,C,Railway_Operations,SA,Salem,2026-03-31,12.5.0
561300880010,S/L Token less B/I Transmitter (TX-1800HZ ),0.0,Nos.,18880.0,0.0,15-01-2021,07-06-2025,365,Slow Moving,Slow Moving,"< Rs 10,000",SSE/S/SRM/SA067532-S AND T-SR,C,Railway_Operations,SA,Salem,2026-03-31,12.5.0
561300890015,S/L Token less B/I Transmitter (TX-2700HZ ),0.0,Nos.,18880.0,0.0,15-01-2021,13-04-2024,785,Dead Stock,Dead Stock,"< Rs 10,000",SSE/S/SRM/SA067532-S AND T-SR,C,Railway_Operations,SA,Salem,2026-03-31,12.5.0
561300900010,S/L Token less B/I Receiver (RX-1800HZ ),0.0,Nos.,18880.0,0.0,15-01-2021,07-06-2025,365,Slow Moving,Slow Moving,"< Rs 10,000",SSE/S/SRM/SA067532-S AND T-SR,C,Railway_Operations,SA,Salem,2026-03-31,12.5.0
561300910014,S/L Token less B/I Receiver (RX-2700HZ ),0.0,Nos.,18880.0,0.0,15-01-2021,28-11-2023,922,Dead Stock,Dead Stock,"< Rs 10,000",SSE/S/SRM/SA067532-S AND T-SR,C,Railway_Operations,SA,Salem,2026-03-31,12.5.0
539807480017,Train Shunt Meter,3.0,Nos.,6237.0,18711.0,15-07-2021,10-02-2026,117,Monitor,Active,"Rs 10,000 - 1 Lakh",SSE/S/SRM/SA067532-S AND T-SR,C,Railway_Operations,SA,Salem,2026-03-31,12.5.0
567900950016,FRB Hood 3 Aspect.,0.0,Nos.,7450.0,0.0,15-01-2021,14-03-2026,85,Active,Active,"< Rs 10,000",SSE/S/SRM/SA067532-S AND T-SR,C,Railway_Operations,SA,Salem,2026-03-31,12.5.0
561300920019,UFSBI Block Instruments,0.0,Nos.,934101.0,0.0,15-01-2021,07-05-2022,1492,Dead Stock,Dead Stock,"< Rs 10,000",SSE/S/SRM/SA067532-S AND T-SR,C,Railway_Operations,SA,Salem,2026-03-31,12.5.0
539807490011,Measuring Tape 5 Mts Long,0.0,Nos.,153.0,0.0,15-01-2021,03-10-2025,247,Slow Moving,Slow Moving,"< Rs 10,000",SSE/S/SRM/SA067532-S AND T-SR,C,Railway_Operations,SA,Salem,2026-03-31,12.5.0
539807500016,Hacksaw Frame 300MM,0.0,Nos.,120.0,0.0,15-01-2021,03-10-2025,247,Slow Moving,Slow Moving,"< Rs 10,000",SSE/S/SRM/SA067532-S AND T-SR,C,Railway_Operations,SA,Salem,2026-03-31,12.5.0
539807510010,Long Nose Plier 6 inch,0.0,Nos.,188.98,0.0,15-01-2021,26-09-2025,254,Slow Moving,Slow Moving,"< Rs 10,000",SSE/S/SRM/SA067532-S AND T-SR,C,Railway_Operations,SA,Salem,2026-03-31,12.5.0
539807520015,Cutting Plier 8 Inch,0.0,Nos.,248.9,0.0,15-01-2021,03-10-2025,247,Slow Moving,Slow Moving,"< Rs 10,000",SSE/S/SRM/SA067532-S AND T-SR,C,Railway_Operations,SA,Salem,2026-03-31,12.5.0
567900960010,Adjustable Wrench 8 Inch,0.0,Nos.,284.98,0.0,15-01-2021,26-09-2025,254,Slow Moving,Slow Moving,"< Rs 10,000",SSE/S/SRM/SA067532-S AND T-SR,C,Railway_Operations,SA,Salem,2026-03-31,12.5.0
